0 errors cleared
t=0 V=4.19518 A=0.0095462 W=0.040048 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.19514 A=0.00953672 W=0.0400079 mAh_cumul=0.00529818 Wh_cumul=2.22266e-05 
t=3 V=4.16861 A=1.24923 W=5.20755 mAh_cumul=0.352307 Wh_cumul=0.00146877 
t=4 V=4.1658 A=1.24914 W=5.20367 mAh_cumul=0.69929 Wh_cumul=0.00291423 
t=5 V=4.16413 A=1.24914 W=5.20158 mAh_cumul=1.04627 Wh_cumul=0.00435912 
t=6 V=4.16278 A=1.24913 W=5.19985 mAh_cumul=1.39325 Wh_cumul=0.00580352 
t=7 V=4.16158 A=1.24914 W=5.1984 mAh_cumul=1.74024 Wh_cumul=0.00724752 
t=8 V=4.1605 A=1.24913 W=5.19701 mAh_cumul=2.08722 Wh_cumul=0.00869113 
t=9 V=4.15955 A=1.24912 W=5.19578 mAh_cumul=2.4342 Wh_cumul=0.0101344 
t=10 V=4.15864 A=1.24913 W=5.19468 mAh_cumul=2.78118 Wh_cumul=0.0115774 
t=11 V=4.15783 A=1.24912 W=5.19363 mAh_cumul=3.12815 Wh_cumul=0.01302 
t=12 V=4.15702 A=1.24912 W=5.19262 mAh_cumul=3.47513 Wh_cumul=0.0144624 
t=13 V=4.15623 A=1.24912 W=5.19163 mAh_cumul=3.82211 Wh_cumul=0.0159046 
t=14 V=4.15546 A=1.24912 W=5.19067 mAh_cumul=4.16909 Wh_cumul=0.0173464 
t=15 V=4.15478 A=1.24912 W=5.18982 mAh_cumul=4.51606 Wh_cumul=0.018788 
t=16 V=4.15411 A=1.24913 W=5.18902 mAh_cumul=4.86305 Wh_cumul=0.0202294 
t=17 V=4.15346 A=1.24912 W=5.18817 mAh_cumul=5.21002 Wh_cumul=0.0216706 
t=18 V=4.15281 A=1.24913 W=5.1874 mAh_cumul=5.557 Wh_cumul=0.0231115 
t=19 V=4.15218 A=1.24912 W=5.18657 mAh_cumul=5.90398 Wh_cumul=0.0245522 
