0 errors cleared
t=0 V=2.67767 A=0.00606856 W=0.0162496 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.67847 A=0.00607132 W=0.0162618 mAh_cumul=0.00337296 Wh_cumul=9.03436e-06 
t=3 V=2.71834 A=1.25028 W=3.39869 mAh_cumul=0.350673 Wh_cumul=0.000953114 
t=4 V=2.74296 A=1.25001 W=3.42873 mAh_cumul=0.697898 Wh_cumul=0.00190554 
t=5 V=2.75766 A=1.24997 W=3.44699 mAh_cumul=1.04511 Wh_cumul=0.00286304 
t=6 V=2.77017 A=1.24993 W=3.46252 mAh_cumul=1.39231 Wh_cumul=0.00382485 
t=7 V=2.78132 A=1.24994 W=3.47648 mAh_cumul=1.73952 Wh_cumul=0.00479054 
t=8 V=2.79193 A=1.24991 W=3.48966 mAh_cumul=2.08672 Wh_cumul=0.00575989 
t=9 V=2.80191 A=1.24992 W=3.50216 mAh_cumul=2.43392 Wh_cumul=0.00673271 
t=10 V=2.81154 A=1.24992 W=3.5142 mAh_cumul=2.78112 Wh_cumul=0.00770888 
t=11 V=2.8205 A=1.24991 W=3.52537 mAh_cumul=3.12831 Wh_cumul=0.00868815 
t=12 V=2.82936 A=1.24992 W=3.53647 mAh_cumul=3.47551 Wh_cumul=0.0096705 
t=13 V=2.83792 A=1.2499 W=3.54712 mAh_cumul=3.82271 Wh_cumul=0.0106558 
t=14 V=2.84619 A=1.24991 W=3.55748 mAh_cumul=4.16991 Wh_cumul=0.011644 
t=15 V=2.85417 A=1.2499 W=3.56743 mAh_cumul=4.5171 Wh_cumul=0.012635 
t=16 V=2.86187 A=1.24991 W=3.57708 mAh_cumul=4.8643 Wh_cumul=0.0136286 
t=17 V=2.86919 A=1.2499 W=3.5862 mAh_cumul=5.21149 Wh_cumul=0.0146248 
t=18 V=2.87632 A=1.24991 W=3.59514 mAh_cumul=5.55869 Wh_cumul=0.0156234 
t=19 V=2.88322 A=1.2499 W=3.60374 mAh_cumul=5.90588 Wh_cumul=0.0166244 
t=20 V=2.88998 A=1.2499 W=3.61219 mAh_cumul=6.25308 Wh_cumul=0.0176278 
t=21 V=2.89635 A=1.2499 W=3.62015 mAh_cumul=6.60027 Wh_cumul=0.0186334 
t=22 V=2.90234 A=1.24989 W=3.62761 mAh_cumul=6.94746 Wh_cumul=0.0196411 
t=23 V=2.90834 A=1.24991 W=3.63516 mAh_cumul=7.29466 Wh_cumul=0.0206509 
t=24 V=2.91409 A=1.24989 W=3.64229 mAh_cumul=7.64185 Wh_cumul=0.0216626 
t=25 V=2.91962 A=1.2499 W=3.64923 mAh_cumul=7.98905 Wh_cumul=0.0226763 
t=26 V=2.92498 A=1.2499 W=3.65593 mAh_cumul=8.33624 Wh_cumul=0.0236918 
t=27 V=2.93004 A=1.24989 W=3.66223 mAh_cumul=8.68343 Wh_cumul=0.0247091 
t=28 V=2.9349 A=1.2499 W=3.66833 mAh_cumul=9.03063 Wh_cumul=0.0257281 
t=29 V=2.93962 A=1.24989 W=3.6742 mAh_cumul=9.37782 Wh_cumul=0.0267487 
t=30 V=2.94412 A=1.24988 W=3.6798 mAh_cumul=9.72501 Wh_cumul=0.0277709 
t=31 V=2.94852 A=1.2499 W=3.68536 mAh_cumul=10.0722 Wh_cumul=0.0287946 
t=32 V=2.9528 A=1.24989 W=3.69068 mAh_cumul=10.4194 Wh_cumul=0.0298198 
t=33 V=2.95703 A=1.24989 W=3.69596 mAh_cumul=10.7666 Wh_cumul=0.0308464 
t=34 V=2.9611 A=1.24991 W=3.70111 mAh_cumul=11.1138 Wh_cumul=0.0318745 
t=35 V=2.96501 A=1.2499 W=3.70597 mAh_cumul=11.461 Wh_cumul=0.0329039 
t=36 V=2.96891 A=1.24989 W=3.71081 mAh_cumul=11.8082 Wh_cumul=0.0339347 
t=37 V=2.9727 A=1.2499 W=3.71558 mAh_cumul=12.1554 Wh_cumul=0.0349668 
t=38 V=2.97634 A=1.2499 W=3.72013 mAh_cumul=12.5026 Wh_cumul=0.0360002 
t=39 V=2.97994 A=1.24989 W=3.7246 mAh_cumul=12.8498 Wh_cumul=0.0370348 
t=40 V=2.98338 A=1.24989 W=3.7289 mAh_cumul=13.1969 Wh_cumul=0.0380706 
t=41 V=2.98682 A=1.24989 W=3.7332 mAh_cumul=13.5441 Wh_cumul=0.0391076 
t=42 V=2.99025 A=1.24989 W=3.73748 mAh_cumul=13.8913 Wh_cumul=0.0401458 
t=43 V=2.99366 A=1.2499 W=3.74178 mAh_cumul=14.2385 Wh_cumul=0.0411852 
t=44 V=2.99703 A=1.24989 W=3.74596 mAh_cumul=14.5857 Wh_cumul=0.0422257 
t=45 V=3.00027 A=1.24989 W=3.75001 mAh_cumul=14.9329 Wh_cumul=0.0432674 
t=46 V=3.00347 A=1.2499 W=3.75404 mAh_cumul=15.2801 Wh_cumul=0.0443102 
t=47 V=3.00645 A=1.2499 W=3.75776 mAh_cumul=15.6273 Wh_cumul=0.045354 
t=48 V=3.00956 A=1.2499 W=3.76165 mAh_cumul=15.9745 Wh_cumul=0.0463989 
t=49 V=3.01265 A=1.24988 W=3.76545 mAh_cumul=16.3217 Wh_cumul=0.0474449 
t=50 V=3.01574 A=1.24989 W=3.76934 mAh_cumul=16.6689 Wh_cumul=0.0484919 
t=51 V=3.01874 A=1.24989 W=3.77309 mAh_cumul=17.0161 Wh_cumul=0.04954 
t=52 V=3.02167 A=1.24989 W=3.77676 mAh_cumul=17.3633 Wh_cumul=0.0505891 
t=53 V=3.02463 A=1.24989 W=3.78045 mAh_cumul=17.7104 Wh_cumul=0.0516392 
t=54 V=3.02752 A=1.24989 W=3.78407 mAh_cumul=18.0576 Wh_cumul=0.0526903 
t=55 V=3.03036 A=1.24989 W=3.78762 mAh_cumul=18.4048 Wh_cumul=0.0537425 
t=56 V=3.03316 A=1.24989 W=3.79112 mAh_cumul=18.752 Wh_cumul=0.0547955 
t=57 V=3.03599 A=1.24989 W=3.79465 mAh_cumul=19.0992 Wh_cumul=0.0558496 
t=58 V=3.03872 A=1.2499 W=3.7981 mAh_cumul=19.4464 Wh_cumul=0.0569046 
t=59 V=3.04146 A=1.24989 W=3.80149 mAh_cumul=19.7936 Wh_cumul=0.0579606 
t=60 V=3.04414 A=1.2499 W=3.80487 mAh_cumul=20.1408 Wh_cumul=0.0590175 
t=61 V=3.04683 A=1.24989 W=3.8082 mAh_cumul=20.488 Wh_cumul=0.0600753 
t=62 V=3.04942 A=1.24989 W=3.81144 mAh_cumul=20.8352 Wh_cumul=0.0611341 
t=63 V=3.05206 A=1.24988 W=3.81471 mAh_cumul=21.1824 Wh_cumul=0.0621937 
t=64 V=3.05465 A=1.2499 W=3.81801 mAh_cumul=21.5296 Wh_cumul=0.0632543 
t=65 V=3.05705 A=1.24989 W=3.82098 mAh_cumul=21.8767 Wh_cumul=0.0643157 
t=66 V=3.05961 A=1.2499 W=3.82421 mAh_cumul=22.2239 Wh_cumul=0.0653779 
t=67 V=3.06213 A=1.24989 W=3.82733 mAh_cumul=22.5711 Wh_cumul=0.0664411 
t=68 V=3.06461 A=1.24989 W=3.83043 mAh_cumul=22.9183 Wh_cumul=0.0675051 
t=69 V=3.0671 A=1.24988 W=3.83351 mAh_cumul=23.2655 Wh_cumul=0.06857 
t=70 V=3.06956 A=1.24989 W=3.83661 mAh_cumul=23.6127 Wh_cumul=0.0696357 
t=71 V=3.07199 A=1.24988 W=3.83962 mAh_cumul=23.9599 Wh_cumul=0.0707022 
t=72 V=3.07439 A=1.24989 W=3.84265 mAh_cumul=24.3071 Wh_cumul=0.0717696 
t=73 V=3.07681 A=1.24989 W=3.84567 mAh_cumul=24.6543 Wh_cumul=0.0728379 
t=74 V=3.07919 A=1.24989 W=3.84865 mAh_cumul=25.0015 Wh_cumul=0.073907 
t=75 V=3.0815 A=1.24989 W=3.85154 mAh_cumul=25.3487 Wh_cumul=0.0749768 
t=76 V=3.08366 A=1.24989 W=3.85424 mAh_cumul=25.6959 Wh_cumul=0.0760475 
t=77 V=3.08597 A=1.2499 W=3.85715 mAh_cumul=26.043 Wh_cumul=0.0771189 
t=78 V=3.08822 A=1.24989 W=3.85994 mAh_cumul=26.3902 Wh_cumul=0.0781911 
t=79 V=3.0905 A=1.24989 W=3.86279 mAh_cumul=26.7374 Wh_cumul=0.0792641 
t=80 V=3.09271 A=1.2499 W=3.86558 mAh_cumul=27.0846 Wh_cumul=0.0803379 
