0 errors cleared
t=0 V=3.58061 A=0.00814525 W=0.029165 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.58062 A=0.00814396 W=0.0291604 mAh_cumul=0.00452442 Wh_cumul=1.62002e-05 
t=3 V=3.64923 A=1.25025 W=4.56245 mAh_cumul=0.351816 Wh_cumul=0.00128355 
t=4 V=3.65114 A=1.25007 W=4.56418 mAh_cumul=0.699058 Wh_cumul=0.00255138 
t=5 V=3.65241 A=1.25001 W=4.56555 mAh_cumul=1.04628 Wh_cumul=0.00381958 
t=6 V=3.6535 A=1.24999 W=4.56684 mAh_cumul=1.3935 Wh_cumul=0.00508815 
t=7 V=3.65445 A=1.24997 W=4.56795 mAh_cumul=1.74072 Wh_cumul=0.00635703 
t=8 V=3.6554 A=1.24997 W=4.56914 mAh_cumul=2.08793 Wh_cumul=0.00762623 
t=9 V=3.65624 A=1.24997 W=4.57019 mAh_cumul=2.43514 Wh_cumul=0.00889573 
t=10 V=3.65704 A=1.24997 W=4.57119 mAh_cumul=2.78236 Wh_cumul=0.0101655 
t=11 V=3.65781 A=1.24995 W=4.57208 mAh_cumul=3.12957 Wh_cumul=0.0114355 
t=12 V=3.65857 A=1.24995 W=4.57303 mAh_cumul=3.47677 Wh_cumul=0.0127058 
t=13 V=3.65927 A=1.24996 W=4.57394 mAh_cumul=3.82399 Wh_cumul=0.0139764 
t=14 V=3.65993 A=1.24995 W=4.57473 mAh_cumul=4.17119 Wh_cumul=0.0152471 
t=15 V=3.66067 A=1.24995 W=4.57565 mAh_cumul=4.5184 Wh_cumul=0.0165181 
t=16 V=3.66128 A=1.24995 W=4.57642 mAh_cumul=4.86561 Wh_cumul=0.0177894 
t=17 V=3.66185 A=1.24995 W=4.57713 mAh_cumul=5.21282 Wh_cumul=0.0190608 
t=18 V=3.66247 A=1.24995 W=4.5779 mAh_cumul=5.56003 Wh_cumul=0.0203324 
t=19 V=3.66304 A=1.24995 W=4.57862 mAh_cumul=5.90724 Wh_cumul=0.0216043 
t=20 V=3.66364 A=1.24995 W=4.57937 mAh_cumul=6.25444 Wh_cumul=0.0228763 
t=21 V=3.66417 A=1.24994 W=4.57999 mAh_cumul=6.60165 Wh_cumul=0.0241485 
t=22 V=3.66474 A=1.24995 W=4.58074 mAh_cumul=6.94886 Wh_cumul=0.0254209 
t=23 V=3.66525 A=1.24995 W=4.58138 mAh_cumul=7.29607 Wh_cumul=0.0266936 
t=24 V=3.6658 A=1.24994 W=4.58203 mAh_cumul=7.64327 Wh_cumul=0.0279663 
t=25 V=3.66629 A=1.24994 W=4.58264 mAh_cumul=7.99048 Wh_cumul=0.0292393 
t=26 V=3.66677 A=1.24996 W=4.58332 mAh_cumul=8.33769 Wh_cumul=0.0305124 
t=27 V=3.66724 A=1.24995 W=4.58387 mAh_cumul=8.6849 Wh_cumul=0.0317857 
t=28 V=3.66772 A=1.24995 W=4.58447 mAh_cumul=9.0321 Wh_cumul=0.0330592 
t=29 V=3.6682 A=1.24996 W=4.5851 mAh_cumul=9.37932 Wh_cumul=0.0343328 
t=30 V=3.66865 A=1.24996 W=4.58567 mAh_cumul=9.72653 Wh_cumul=0.0356066 
t=31 V=3.66908 A=1.24996 W=4.5862 mAh_cumul=10.0737 Wh_cumul=0.0368806 
t=32 V=3.66952 A=1.24996 W=4.58675 mAh_cumul=10.4209 Wh_cumul=0.0381547 
t=33 V=3.66994 A=1.24996 W=4.58728 mAh_cumul=10.7682 Wh_cumul=0.0394289 
t=34 V=3.67036 A=1.24997 W=4.58784 mAh_cumul=11.1154 Wh_cumul=0.0407033 
