0 errors cleared
t=0 V=2.95848 A=0.00668344 W=0.0197728 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.96099 A=0.00669184 W=0.0198145 mAh_cumul=0.00371769 Wh_cumul=1.1008e-05 
t=3 V=3.05692 A=1.25026 W=3.82194 mAh_cumul=0.351012 Wh_cumul=0.00107266 
t=4 V=3.10328 A=1.25005 W=3.87926 mAh_cumul=0.698248 Wh_cumul=0.00215023 
t=5 V=3.12056 A=1.25001 W=3.90073 mAh_cumul=1.04547 Wh_cumul=0.00323377 
t=6 V=3.13163 A=1.25001 W=3.91457 mAh_cumul=1.3927 Wh_cumul=0.00432115 
t=7 V=3.14032 A=1.24998 W=3.92534 mAh_cumul=1.73991 Wh_cumul=0.00541152 
t=8 V=3.1475 A=1.24998 W=3.93431 mAh_cumul=2.08713 Wh_cumul=0.00650438 
t=9 V=3.15396 A=1.24996 W=3.94232 mAh_cumul=2.43434 Wh_cumul=0.00759947 
t=10 V=3.15987 A=1.24997 W=3.94974 mAh_cumul=2.78156 Wh_cumul=0.00869662 
t=11 V=3.16531 A=1.24997 W=3.95654 mAh_cumul=3.12877 Wh_cumul=0.00979566 
t=12 V=3.17027 A=1.24998 W=3.96277 mAh_cumul=3.47599 Wh_cumul=0.0108964 
t=13 V=3.17482 A=1.24996 W=3.9684 mAh_cumul=3.8232 Wh_cumul=0.0119988 
t=14 V=3.17936 A=1.24997 W=3.9741 mAh_cumul=4.17041 Wh_cumul=0.0131027 
t=15 V=3.18351 A=1.24997 W=3.97929 mAh_cumul=4.51763 Wh_cumul=0.014208 
t=16 V=3.18754 A=1.24995 W=3.98427 mAh_cumul=4.86483 Wh_cumul=0.0153148 
t=17 V=3.19137 A=1.24995 W=3.98905 mAh_cumul=5.21204 Wh_cumul=0.0164229 
t=18 V=3.19506 A=1.24996 W=3.9937 mAh_cumul=5.55925 Wh_cumul=0.0175322 
t=19 V=3.19858 A=1.24996 W=3.9981 mAh_cumul=5.90646 Wh_cumul=0.0186428 
t=20 V=3.20198 A=1.24995 W=4.00231 mAh_cumul=6.25367 Wh_cumul=0.0197546 
t=21 V=3.20526 A=1.24995 W=4.00641 mAh_cumul=6.60088 Wh_cumul=0.0208674 
t=22 V=3.20842 A=1.24996 W=4.0104 mAh_cumul=6.94809 Wh_cumul=0.0219814 
t=23 V=3.21147 A=1.24996 W=4.01421 mAh_cumul=7.2953 Wh_cumul=0.0230965 
t=24 V=3.21439 A=1.24995 W=4.01783 mAh_cumul=7.64251 Wh_cumul=0.0242126 
t=25 V=3.21731 A=1.24996 W=4.02151 mAh_cumul=7.98972 Wh_cumul=0.0253296 
t=26 V=3.22011 A=1.24994 W=4.02494 mAh_cumul=8.33693 Wh_cumul=0.0264477 
t=27 V=3.2227 A=1.24995 W=4.02821 mAh_cumul=8.68414 Wh_cumul=0.0275666 
t=28 V=3.22532 A=1.24996 W=4.03152 mAh_cumul=9.03135 Wh_cumul=0.0286865 
t=29 V=3.22791 A=1.24994 W=4.03469 mAh_cumul=9.37855 Wh_cumul=0.0298073 
t=30 V=3.23046 A=1.24994 W=4.03788 mAh_cumul=9.72576 Wh_cumul=0.0309289 
t=31 V=3.23296 A=1.24995 W=4.04104 mAh_cumul=10.073 Wh_cumul=0.0320514 
t=32 V=3.23537 A=1.24994 W=4.04402 mAh_cumul=10.4202 Wh_cumul=0.0331747 
t=33 V=3.23771 A=1.24996 W=4.04701 mAh_cumul=10.7674 Wh_cumul=0.0342989 
t=34 V=3.2401 A=1.24995 W=4.04996 mAh_cumul=11.1146 Wh_cumul=0.0354239 
t=35 V=3.24241 A=1.24995 W=4.05285 mAh_cumul=11.4618 Wh_cumul=0.0365497 
t=36 V=3.24467 A=1.24994 W=4.05564 mAh_cumul=11.809 Wh_cumul=0.0376763 
t=37 V=3.24687 A=1.24994 W=4.05839 mAh_cumul=12.1562 Wh_cumul=0.0388036 
t=38 V=3.24891 A=1.24994 W=4.06094 mAh_cumul=12.5034 Wh_cumul=0.0399316 
t=39 V=3.25096 A=1.24995 W=4.06354 mAh_cumul=12.8506 Wh_cumul=0.0410604 
