0 errors cleared
t=0 V=4.1899 A=0.00969773 W=0.0406325 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18984 A=0.00968663 W=0.0405854 mAh_cumul=0.00538146 Wh_cumul=2.25475e-05 
t=3 V=4.12739 A=1.24934 W=5.15651 mAh_cumul=0.35242 Wh_cumul=0.00145491 
t=4 V=4.12442 A=1.24929 W=5.1526 mAh_cumul=0.699445 Wh_cumul=0.00288619 
t=5 V=4.12252 A=1.24929 W=5.15022 mAh_cumul=1.04647 Wh_cumul=0.00431681 
t=6 V=4.12094 A=1.24928 W=5.14821 mAh_cumul=1.39349 Wh_cumul=0.00574686 
t=7 V=4.11948 A=1.24928 W=5.14638 mAh_cumul=1.74051 Wh_cumul=0.00717642 
t=8 V=4.11816 A=1.24928 W=5.14473 mAh_cumul=2.08754 Wh_cumul=0.00860551 
t=9 V=4.11696 A=1.24928 W=5.14324 mAh_cumul=2.43456 Wh_cumul=0.0100342 
t=10 V=4.11577 A=1.24928 W=5.14175 mAh_cumul=2.78158 Wh_cumul=0.0114624 
t=11 V=4.11461 A=1.24928 W=5.1403 mAh_cumul=3.1286 Wh_cumul=0.0128903 
t=12 V=4.11353 A=1.24928 W=5.13895 mAh_cumul=3.47563 Wh_cumul=0.0143178 
t=13 V=4.11251 A=1.24929 W=5.13772 mAh_cumul=3.82265 Wh_cumul=0.0157449 
t=14 V=4.11152 A=1.24928 W=5.13644 mAh_cumul=4.16967 Wh_cumul=0.0171717 
t=15 V=4.11057 A=1.24927 W=5.13521 mAh_cumul=4.51669 Wh_cumul=0.0185982 
t=16 V=4.10968 A=1.24928 W=5.13414 mAh_cumul=4.86371 Wh_cumul=0.0200243 
t=17 V=4.1088 A=1.24928 W=5.13304 mAh_cumul=5.21074 Wh_cumul=0.0214502 
t=18 V=4.10793 A=1.24928 W=5.13195 mAh_cumul=5.55776 Wh_cumul=0.0228757 
t=19 V=4.1071 A=1.24927 W=5.13088 mAh_cumul=5.90478 Wh_cumul=0.024301 
t=20 V=4.10629 A=1.24929 W=5.12995 mAh_cumul=6.2518 Wh_cumul=0.0257259 
t=21 V=4.10547 A=1.24927 W=5.12884 mAh_cumul=6.59882 Wh_cumul=0.0271506 
t=22 V=4.10471 A=1.24927 W=5.12789 mAh_cumul=6.94584 Wh_cumul=0.028575 
t=23 V=4.10399 A=1.24928 W=5.12703 mAh_cumul=7.29286 Wh_cumul=0.0299992 
t=24 V=4.10327 A=1.24928 W=5.12613 mAh_cumul=7.63989 Wh_cumul=0.0314231 
t=25 V=4.10259 A=1.24929 W=5.12532 mAh_cumul=7.98691 Wh_cumul=0.0328468 
t=26 V=4.10194 A=1.24928 W=5.12447 mAh_cumul=8.33393 Wh_cumul=0.0342703 
t=27 V=4.10129 A=1.24928 W=5.12366 mAh_cumul=8.68096 Wh_cumul=0.0356935 
t=28 V=4.10063 A=1.24928 W=5.12284 mAh_cumul=9.02798 Wh_cumul=0.0371166 
t=29 V=4.09991 A=1.24927 W=5.12189 mAh_cumul=9.375 Wh_cumul=0.0385393 
t=30 V=4.09923 A=1.24929 W=5.12113 mAh_cumul=9.72202 Wh_cumul=0.0399618 
t=31 V=4.09861 A=1.24929 W=5.12035 mAh_cumul=10.069 Wh_cumul=0.0413842 
t=32 V=4.09799 A=1.24929 W=5.11958 mAh_cumul=10.4161 Wh_cumul=0.0428063 
t=33 V=4.09737 A=1.24928 W=5.11876 mAh_cumul=10.7631 Wh_cumul=0.0442281 
t=34 V=4.09677 A=1.24928 W=5.11801 mAh_cumul=11.1101 Wh_cumul=0.0456498 
t=35 V=4.09618 A=1.24928 W=5.11728 mAh_cumul=11.4571 Wh_cumul=0.0470713 
t=36 V=4.09559 A=1.24929 W=5.11658 mAh_cumul=11.8042 Wh_cumul=0.0484925 
t=37 V=4.095 A=1.24927 W=5.11576 mAh_cumul=12.1512 Wh_cumul=0.0499136 
t=38 V=4.09446 A=1.24929 W=5.11517 mAh_cumul=12.4982 Wh_cumul=0.0513345 
t=39 V=4.09388 A=1.24928 W=5.1144 mAh_cumul=12.8452 Wh_cumul=0.0527551 
t=40 V=4.09334 A=1.24928 W=5.11373 mAh_cumul=13.1923 Wh_cumul=0.0541756 
t=41 V=4.09279 A=1.24928 W=5.11304 mAh_cumul=13.5393 Wh_cumul=0.0555959 
t=42 V=4.0923 A=1.24928 W=5.11243 mAh_cumul=13.8863 Wh_cumul=0.057016 
t=43 V=4.09178 A=1.24928 W=5.11178 mAh_cumul=14.2333 Wh_cumul=0.058436 
t=44 V=4.09125 A=1.24927 W=5.11108 mAh_cumul=14.5803 Wh_cumul=0.0598557 
t=45 V=4.09076 A=1.24927 W=5.11046 mAh_cumul=14.9274 Wh_cumul=0.0612753 
t=46 V=4.09022 A=1.24928 W=5.10983 mAh_cumul=15.2744 Wh_cumul=0.0626947 
t=47 V=4.08973 A=1.24928 W=5.10922 mAh_cumul=15.6214 Wh_cumul=0.0641139 
t=48 V=4.08921 A=1.24928 W=5.10857 mAh_cumul=15.9684 Wh_cumul=0.065533 
t=49 V=4.08877 A=1.24928 W=5.10802 mAh_cumul=16.3154 Wh_cumul=0.0669518 
t=50 V=4.08829 A=1.24927 W=5.10738 mAh_cumul=16.6625 Wh_cumul=0.0683706 
t=51 V=4.08781 A=1.24929 W=5.10686 mAh_cumul=17.0095 Wh_cumul=0.0697891 
t=52 V=4.08734 A=1.24929 W=5.10627 mAh_cumul=17.3565 Wh_cumul=0.0712075 
t=53 V=4.08691 A=1.24928 W=5.10569 mAh_cumul=17.7035 Wh_cumul=0.0726258 
t=54 V=4.08646 A=1.24927 W=5.10509 mAh_cumul=18.0506 Wh_cumul=0.0740439 
t=55 V=4.08603 A=1.24928 W=5.1046 mAh_cumul=18.3976 Wh_cumul=0.0754618 
t=56 V=4.08563 A=1.24928 W=5.1041 mAh_cumul=18.7446 Wh_cumul=0.0768796 
t=57 V=4.08517 A=1.24928 W=5.10352 mAh_cumul=19.0916 Wh_cumul=0.0782973 
t=58 V=4.08476 A=1.24928 W=5.10301 mAh_cumul=19.4386 Wh_cumul=0.0797148 
t=59 V=4.08433 A=1.24929 W=5.10251 mAh_cumul=19.7857 Wh_cumul=0.0811321 
t=60 V=4.0839 A=1.24929 W=5.10198 mAh_cumul=20.1327 Wh_cumul=0.0825493 
t=61 V=4.08349 A=1.24929 W=5.10146 mAh_cumul=20.4797 Wh_cumul=0.0839664 
t=62 V=4.08308 A=1.2493 W=5.10099 mAh_cumul=20.8268 Wh_cumul=0.0853834 
t=63 V=4.08269 A=1.24928 W=5.10042 mAh_cumul=21.1738 Wh_cumul=0.0868001 
t=64 V=4.08231 A=1.24928 W=5.09995 mAh_cumul=21.5208 Wh_cumul=0.0882168 
t=65 V=4.08193 A=1.24928 W=5.09947 mAh_cumul=21.8678 Wh_cumul=0.0896333 
t=66 V=4.0815 A=1.24928 W=5.09894 mAh_cumul=22.2148 Wh_cumul=0.0910497 
t=67 V=4.08115 A=1.2493 W=5.09858 mAh_cumul=22.5619 Wh_cumul=0.092466 
t=68 V=4.08078 A=1.24929 W=5.09808 mAh_cumul=22.9089 Wh_cumul=0.0938821 
t=69 V=4.0804 A=1.24929 W=5.0976 mAh_cumul=23.2559 Wh_cumul=0.0952981 
t=70 V=4.08003 A=1.24929 W=5.09714 mAh_cumul=23.6029 Wh_cumul=0.096714 
t=71 V=4.0797 A=1.24929 W=5.09673 mAh_cumul=23.95 Wh_cumul=0.0981297 
t=72 V=4.0793 A=1.24929 W=5.09623 mAh_cumul=24.297 Wh_cumul=0.0995453 
t=73 V=4.07895 A=1.24929 W=5.09579 mAh_cumul=24.644 Wh_cumul=0.100961 
t=74 V=4.07859 A=1.24929 W=5.09534 mAh_cumul=24.991 Wh_cumul=0.102376 
t=75 V=4.07823 A=1.24929 W=5.09489 mAh_cumul=25.3381 Wh_cumul=0.103791 
t=76 V=4.07791 A=1.24928 W=5.09445 mAh_cumul=25.6851 Wh_cumul=0.105207 
t=77 V=4.07756 A=1.24928 W=5.09401 mAh_cumul=26.0321 Wh_cumul=0.106622 
t=78 V=4.07724 A=1.24928 W=5.09361 mAh_cumul=26.3791 Wh_cumul=0.108036 
t=79 V=4.07691 A=1.24929 W=5.09324 mAh_cumul=26.7262 Wh_cumul=0.109451 
t=80 V=4.0766 A=1.24929 W=5.09286 mAh_cumul=27.0732 Wh_cumul=0.110866 
t=81 V=4.07625 A=1.24929 W=5.09242 mAh_cumul=27.4202 Wh_cumul=0.112281 
t=82 V=4.07592 A=1.24929 W=5.09201 mAh_cumul=27.7672 Wh_cumul=0.113695 
t=83 V=4.0756 A=1.2493 W=5.09165 mAh_cumul=28.1143 Wh_cumul=0.115109 
