0 errors cleared
t=0 V=4.16812 A=0.00956404 W=0.0398641 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.16811 A=0.00955797 W=0.0398387 mAh_cumul=0.00530998 Wh_cumul=2.21326e-05 
t=3 V=4.20209 A=0.52093 W=2.18899 mAh_cumul=0.150013 Wh_cumul=0.000630187 
t=4 V=4.19788 A=0.520538 W=2.18516 mAh_cumul=0.294607 Wh_cumul=0.00123717 
t=5 V=4.19864 A=0.520492 W=2.18536 mAh_cumul=0.439188 Wh_cumul=0.00184422 
t=6 V=4.19928 A=0.52047 W=2.1856 mAh_cumul=0.583763 Wh_cumul=0.00245133 
t=7 V=4.19982 A=0.520462 W=2.18585 mAh_cumul=0.728336 Wh_cumul=0.00305851 
t=8 V=4.20034 A=0.520434 W=2.186 mAh_cumul=0.872901 Wh_cumul=0.00366573 
t=9 V=4.20082 A=0.520445 W=2.1863 mAh_cumul=1.01747 Wh_cumul=0.00427304 
t=10 V=4.20128 A=0.520444 W=2.18653 mAh_cumul=1.16204 Wh_cumul=0.00488041 
t=11 V=4.20173 A=0.520455 W=2.18681 mAh_cumul=1.30661 Wh_cumul=0.00548785 
t=12 V=4.20215 A=0.520132 W=2.18567 mAh_cumul=1.45109 Wh_cumul=0.00609498 
t=13 V=4.20229 A=0.513233 W=2.15675 mAh_cumul=1.59365 Wh_cumul=0.00669408 
t=14 V=4.20228 A=0.506669 W=2.12917 mAh_cumul=1.73439 Wh_cumul=0.00728552 
t=15 V=4.20228 A=0.500051 W=2.10135 mAh_cumul=1.8733 Wh_cumul=0.00786923 
t=16 V=4.20225 A=0.493464 W=2.07366 mAh_cumul=2.01037 Wh_cumul=0.00844524 
t=17 V=4.20229 A=0.487384 W=2.04813 mAh_cumul=2.14576 Wh_cumul=0.00901417 
t=18 V=4.20228 A=0.481355 W=2.02279 mAh_cumul=2.27946 Wh_cumul=0.00957605 
t=19 V=4.20232 A=0.475815 W=1.99953 mAh_cumul=2.41164 Wh_cumul=0.0101315 
t=20 V=4.20225 A=0.470514 W=1.97722 mAh_cumul=2.54233 Wh_cumul=0.0106807 
t=21 V=4.20226 A=0.465402 W=1.95574 mAh_cumul=2.67161 Wh_cumul=0.011224 
