0 errors cleared
t=0 V=4.18668 A=0.00966127 W=0.0404486 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.1866 A=0.00965871 W=0.0404372 mAh_cumul=0.00536595 Wh_cumul=2.24651e-05 
t=3 V=4.10679 A=1.59943 W=6.56852 mAh_cumul=0.449652 Wh_cumul=0.00184705 
t=4 V=4.10288 A=1.59936 W=6.56198 mAh_cumul=0.893919 Wh_cumul=0.00366983 
t=5 V=4.10045 A=1.59937 W=6.55814 mAh_cumul=1.33819 Wh_cumul=0.00549153 
t=6 V=4.09833 A=1.59935 W=6.55466 mAh_cumul=1.78245 Wh_cumul=0.00731227 
t=7 V=4.09647 A=1.59935 W=6.55169 mAh_cumul=2.22672 Wh_cumul=0.00913219 
t=8 V=4.09476 A=1.59935 W=6.54895 mAh_cumul=2.67098 Wh_cumul=0.0109513 
t=9 V=4.09316 A=1.59934 W=6.54635 mAh_cumul=3.11524 Wh_cumul=0.0127698 
t=10 V=4.09167 A=1.59934 W=6.54397 mAh_cumul=3.5595 Wh_cumul=0.0145875 
t=11 V=4.09021 A=1.59934 W=6.54164 mAh_cumul=4.00376 Wh_cumul=0.0164047 
t=12 V=4.08878 A=1.59935 W=6.53939 mAh_cumul=4.44803 Wh_cumul=0.0182212 
t=13 V=4.08752 A=1.59934 W=6.53733 mAh_cumul=4.89229 Wh_cumul=0.0200371 
t=14 V=4.08627 A=1.59935 W=6.53538 mAh_cumul=5.33655 Wh_cumul=0.0218525 
t=15 V=4.08504 A=1.59935 W=6.53341 mAh_cumul=5.78082 Wh_cumul=0.0236673 
t=16 V=4.08389 A=1.59934 W=6.53153 mAh_cumul=6.22508 Wh_cumul=0.0254816 
t=17 V=4.08277 A=1.59935 W=6.52978 mAh_cumul=6.66934 Wh_cumul=0.0272954 
t=18 V=4.08168 A=1.59934 W=6.52799 mAh_cumul=7.1136 Wh_cumul=0.0291088 
t=19 V=4.08063 A=1.59934 W=6.52631 mAh_cumul=7.55786 Wh_cumul=0.0309216 
t=20 V=4.07962 A=1.59934 W=6.5247 mAh_cumul=8.00212 Wh_cumul=0.0327341 
t=21 V=4.07859 A=1.59934 W=6.52305 mAh_cumul=8.44639 Wh_cumul=0.034546 
t=22 V=4.07762 A=1.59935 W=6.52154 mAh_cumul=8.89065 Wh_cumul=0.0363576 
t=23 V=4.0767 A=1.59934 W=6.52003 mAh_cumul=9.33491 Wh_cumul=0.0381687 
t=24 V=4.07579 A=1.59935 W=6.51861 mAh_cumul=9.77917 Wh_cumul=0.0399794 
t=25 V=4.07492 A=1.59937 W=6.5173 mAh_cumul=10.2234 Wh_cumul=0.0417898 
t=26 V=4.07401 A=1.59935 W=6.51577 mAh_cumul=10.6677 Wh_cumul=0.0435997 
t=27 V=4.07314 A=1.59934 W=6.51434 mAh_cumul=11.112 Wh_cumul=0.0454092 
t=28 V=4.0723 A=1.59934 W=6.51299 mAh_cumul=11.5562 Wh_cumul=0.0472184 
t=29 V=4.07151 A=1.59934 W=6.51173 mAh_cumul=12.0005 Wh_cumul=0.0490272 
t=30 V=4.07069 A=1.59936 W=6.5105 mAh_cumul=12.4448 Wh_cumul=0.0508357 
t=31 V=4.06988 A=1.59936 W=6.5092 mAh_cumul=12.889 Wh_cumul=0.0526438 
t=32 V=4.06912 A=1.59936 W=6.50799 mAh_cumul=13.3333 Wh_cumul=0.0544516 
t=33 V=4.06834 A=1.59935 W=6.5067 mAh_cumul=13.7776 Wh_cumul=0.056259 
t=34 V=4.06757 A=1.59935 W=6.50547 mAh_cumul=14.2218 Wh_cumul=0.0580661 
t=35 V=4.06688 A=1.59934 W=6.50432 mAh_cumul=14.6661 Wh_cumul=0.0598728 
t=36 V=4.06617 A=1.59936 W=6.50327 mAh_cumul=15.1103 Wh_cumul=0.0616793 
t=37 V=4.06548 A=1.59936 W=6.50217 mAh_cumul=15.5546 Wh_cumul=0.0634854 
t=38 V=4.06482 A=1.59936 W=6.50111 mAh_cumul=15.9989 Wh_cumul=0.0652913 
t=39 V=4.06411 A=1.59935 W=6.49993 mAh_cumul=16.4431 Wh_cumul=0.0670968 
t=40 V=4.06346 A=1.59936 W=6.49894 mAh_cumul=16.8874 Wh_cumul=0.0689021 
t=41 V=4.06283 A=1.59934 W=6.49785 mAh_cumul=17.3317 Wh_cumul=0.0707071 
t=42 V=4.06216 A=1.59935 W=6.49682 mAh_cumul=17.7759 Wh_cumul=0.0725117 
t=43 V=4.06157 A=1.59935 W=6.49587 mAh_cumul=18.2202 Wh_cumul=0.0743161 
t=44 V=4.061 A=1.59936 W=6.495 mAh_cumul=18.6645 Wh_cumul=0.0761203 
t=45 V=4.06047 A=1.59936 W=6.49415 mAh_cumul=19.1087 Wh_cumul=0.0779242 
t=46 V=4.05993 A=1.59935 W=6.49325 mAh_cumul=19.553 Wh_cumul=0.0797279 
t=47 V=4.05937 A=1.59936 W=6.49239 mAh_cumul=19.9973 Wh_cumul=0.0815314 
t=48 V=4.05875 A=1.59936 W=6.4914 mAh_cumul=20.4415 Wh_cumul=0.0833345 
t=49 V=4.05816 A=1.59936 W=6.49046 mAh_cumul=20.8858 Wh_cumul=0.0851374 
t=50 V=4.05761 A=1.59936 W=6.48958 mAh_cumul=21.3301 Wh_cumul=0.0869401 
t=51 V=4.05704 A=1.59936 W=6.48867 mAh_cumul=21.7743 Wh_cumul=0.0887425 
t=52 V=4.05655 A=1.59936 W=6.48788 mAh_cumul=22.2186 Wh_cumul=0.0905447 
t=53 V=4.05602 A=1.59936 W=6.48704 mAh_cumul=22.6629 Wh_cumul=0.0923466 
t=54 V=4.0555 A=1.59935 W=6.48616 mAh_cumul=23.1071 Wh_cumul=0.0941484 
t=55 V=4.05499 A=1.59937 W=6.48543 mAh_cumul=23.5514 Wh_cumul=0.0959499 
t=56 V=4.05449 A=1.59935 W=6.48455 mAh_cumul=23.9957 Wh_cumul=0.0977511 
t=57 V=4.05397 A=1.59934 W=6.48368 mAh_cumul=24.4399 Wh_cumul=0.0995522 
t=58 V=4.0535 A=1.59935 W=6.48297 mAh_cumul=24.8842 Wh_cumul=0.101353 
t=59 V=4.05303 A=1.59935 W=6.48221 mAh_cumul=25.3284 Wh_cumul=0.103154 
t=60 V=4.05252 A=1.59934 W=6.48136 mAh_cumul=25.7727 Wh_cumul=0.104954 
t=61 V=4.05207 A=1.59936 W=6.48072 mAh_cumul=26.217 Wh_cumul=0.106754 
t=62 V=4.05159 A=1.59935 W=6.47991 mAh_cumul=26.6612 Wh_cumul=0.108554 
t=63 V=4.05115 A=1.59936 W=6.47925 mAh_cumul=27.1055 Wh_cumul=0.110354 
t=64 V=4.05073 A=1.59936 W=6.47858 mAh_cumul=27.5498 Wh_cumul=0.112154 
t=65 V=4.05029 A=1.59936 W=6.47787 mAh_cumul=27.994 Wh_cumul=0.113953 
t=66 V=4.04984 A=1.59935 W=6.47711 mAh_cumul=28.4383 Wh_cumul=0.115752 
t=67 V=4.04941 A=1.59937 W=6.4765 mAh_cumul=28.8826 Wh_cumul=0.117551 
t=68 V=4.04895 A=1.59938 W=6.47581 mAh_cumul=29.3268 Wh_cumul=0.11935 
t=69 V=4.04853 A=1.59937 W=6.4751 mAh_cumul=29.7711 Wh_cumul=0.121149 
t=70 V=4.0481 A=1.59935 W=6.47433 mAh_cumul=30.2154 Wh_cumul=0.122947 
t=71 V=4.04772 A=1.59936 W=6.47376 mAh_cumul=30.6596 Wh_cumul=0.124745 
t=72 V=4.04731 A=1.59937 W=6.47315 mAh_cumul=31.1039 Wh_cumul=0.126543 
t=73 V=4.04691 A=1.59936 W=6.47247 mAh_cumul=31.5482 Wh_cumul=0.128341 
t=74 V=4.04653 A=1.59936 W=6.47186 mAh_cumul=31.9924 Wh_cumul=0.130139 
t=75 V=4.04611 A=1.59936 W=6.47119 mAh_cumul=32.4367 Wh_cumul=0.131937 
t=76 V=4.04575 A=1.59936 W=6.47061 mAh_cumul=32.881 Wh_cumul=0.133734 
t=77 V=4.04534 A=1.59936 W=6.46995 mAh_cumul=33.3252 Wh_cumul=0.135531 
t=78 V=4.04497 A=1.59935 W=6.46932 mAh_cumul=33.7695 Wh_cumul=0.137328 
t=79 V=4.04458 A=1.59935 W=6.4687 mAh_cumul=34.2138 Wh_cumul=0.139125 
t=80 V=4.04421 A=1.59936 W=6.46815 mAh_cumul=34.658 Wh_cumul=0.140922 
t=81 V=4.04389 A=1.59936 W=6.46764 mAh_cumul=35.1023 Wh_cumul=0.142718 
t=82 V=4.04351 A=1.59936 W=6.46703 mAh_cumul=35.5466 Wh_cumul=0.144515 
t=83 V=4.04316 A=1.59936 W=6.46647 mAh_cumul=35.9908 Wh_cumul=0.146311 
t=84 V=4.04281 A=1.59936 W=6.46591 mAh_cumul=36.4351 Wh_cumul=0.148107 
t=85 V=4.04247 A=1.59936 W=6.46536 mAh_cumul=36.8794 Wh_cumul=0.149903 
t=86 V=4.04215 A=1.59936 W=6.46485 mAh_cumul=37.3236 Wh_cumul=0.151699 
t=87 V=4.0418 A=1.59937 W=6.46433 mAh_cumul=37.7679 Wh_cumul=0.153495 
t=88 V=4.04148 A=1.59935 W=6.46374 mAh_cumul=38.2122 Wh_cumul=0.15529 
t=89 V=4.04115 A=1.59936 W=6.46325 mAh_cumul=38.6564 Wh_cumul=0.157085 
t=90 V=4.04082 A=1.59935 W=6.46269 mAh_cumul=39.1007 Wh_cumul=0.158881 
t=91 V=4.04048 A=1.59936 W=6.46218 mAh_cumul=39.545 Wh_cumul=0.160676 
t=92 V=4.04016 A=1.59935 W=6.46163 mAh_cumul=39.9892 Wh_cumul=0.16247 
t=93 V=4.03984 A=1.59937 W=6.4612 mAh_cumul=40.4335 Wh_cumul=0.164265 
t=94 V=4.03953 A=1.59936 W=6.46066 mAh_cumul=40.8778 Wh_cumul=0.16606 
t=95 V=4.03926 A=1.59936 W=6.46023 mAh_cumul=41.322 Wh_cumul=0.167854 
t=96 V=4.03896 A=1.59936 W=6.45975 mAh_cumul=41.7663 Wh_cumul=0.169649 
t=97 V=4.03866 A=1.59937 W=6.45931 mAh_cumul=42.2106 Wh_cumul=0.171443 
t=98 V=4.03832 A=1.59937 W=6.45877 mAh_cumul=42.6548 Wh_cumul=0.173237 
t=99 V=4.03801 A=1.59936 W=6.45823 mAh_cumul=43.0991 Wh_cumul=0.175031 
t=100 V=4.03773 A=1.59937 W=6.45782 mAh_cumul=43.5434 Wh_cumul=0.176825 
t=101 V=4.03742 A=1.59936 W=6.45729 mAh_cumul=43.9876 Wh_cumul=0.178619 
t=102 V=4.03714 A=1.59937 W=6.45688 mAh_cumul=44.4319 Wh_cumul=0.180412 
t=103 V=4.03684 A=1.59936 W=6.45636 mAh_cumul=44.8762 Wh_cumul=0.182206 
t=104 V=4.03656 A=1.59936 W=6.45591 mAh_cumul=45.3205 Wh_cumul=0.183999 
