0 errors cleared
t=0 V=3.00973 A=0.00680382 W=0.0204777 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.01101 A=0.00681166 W=0.02051 mAh_cumul=0.00378426 Wh_cumul=1.13944e-05 
t=3 V=3.12771 A=1.60037 W=5.00549 mAh_cumul=0.448331 Wh_cumul=0.00140181 
t=4 V=3.18011 A=1.6001 W=5.08849 mAh_cumul=0.892804 Wh_cumul=0.00281528 
t=5 V=3.19666 A=1.60006 W=5.11485 mAh_cumul=1.33726 Wh_cumul=0.00423607 
t=6 V=3.20734 A=1.60004 W=5.13187 mAh_cumul=1.78172 Wh_cumul=0.00566159 
t=7 V=3.21551 A=1.60002 W=5.14488 mAh_cumul=2.22617 Wh_cumul=0.00709072 
t=8 V=3.22251 A=1.60002 W=5.15608 mAh_cumul=2.67062 Wh_cumul=0.00852297 
t=9 V=3.22875 A=1.60001 W=5.16603 mAh_cumul=3.11507 Wh_cumul=0.00995798 
t=10 V=3.23449 A=1.60001 W=5.17522 mAh_cumul=3.55951 Wh_cumul=0.0113955 
t=11 V=3.23973 A=1.6 W=5.18357 mAh_cumul=4.00396 Wh_cumul=0.0128354 
t=12 V=3.2447 A=1.6 W=5.19152 mAh_cumul=4.4484 Wh_cumul=0.0142775 
t=13 V=3.24931 A=1.6 W=5.1989 mAh_cumul=4.89285 Wh_cumul=0.0157216 
t=14 V=3.25366 A=1.60001 W=5.20589 mAh_cumul=5.3373 Wh_cumul=0.0171677 
t=15 V=3.2578 A=1.6 W=5.21248 mAh_cumul=5.78174 Wh_cumul=0.0186156 
t=16 V=3.26174 A=1.6 W=5.21878 mAh_cumul=6.22618 Wh_cumul=0.0200653 
t=17 V=3.26545 A=1.6 W=5.22472 mAh_cumul=6.67063 Wh_cumul=0.0215166 
t=18 V=3.2691 A=1.6 W=5.23056 mAh_cumul=7.11507 Wh_cumul=0.0229695 
t=19 V=3.27266 A=1.6 W=5.23626 mAh_cumul=7.55952 Wh_cumul=0.0244241 
t=20 V=3.27605 A=1.6 W=5.24168 mAh_cumul=8.00396 Wh_cumul=0.0258801 
t=21 V=3.27931 A=1.59999 W=5.24686 mAh_cumul=8.4484 Wh_cumul=0.0273375 
t=22 V=3.2825 A=1.6 W=5.252 mAh_cumul=8.89285 Wh_cumul=0.0287964 
t=23 V=3.28559 A=1.59999 W=5.25691 mAh_cumul=9.33729 Wh_cumul=0.0302567 
t=24 V=3.28861 A=1.59998 W=5.26171 mAh_cumul=9.78173 Wh_cumul=0.0317183 
t=25 V=3.29151 A=1.59999 W=5.26638 mAh_cumul=10.2262 Wh_cumul=0.0331812 
t=26 V=3.29431 A=1.59999 W=5.27086 mAh_cumul=10.6706 Wh_cumul=0.0346453 
