0 errors cleared
t=0 V=3.00242 A=0.0067842 W=0.020369 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.00365 A=0.00677465 W=0.0203487 mAh_cumul=0.00376369 Wh_cumul=1.13048e-05 
t=3 V=3.12199 A=1.60036 W=4.99631 mAh_cumul=0.448308 Wh_cumul=0.00139917 
t=4 V=3.17338 A=1.60009 W=5.07769 mAh_cumul=0.892778 Wh_cumul=0.00280964 
t=5 V=3.19014 A=1.60006 W=5.10442 mAh_cumul=1.33724 Wh_cumul=0.00422753 
t=6 V=3.20088 A=1.60004 W=5.12154 mAh_cumul=1.78169 Wh_cumul=0.00565018 
t=7 V=3.20914 A=1.60003 W=5.13472 mAh_cumul=2.22615 Wh_cumul=0.00707649 
t=8 V=3.21609 A=1.60001 W=5.14578 mAh_cumul=2.67059 Wh_cumul=0.00850587 
t=9 V=3.22234 A=1.6 W=5.15574 mAh_cumul=3.11504 Wh_cumul=0.00993803 
t=10 V=3.22798 A=1.60001 W=5.1648 mAh_cumul=3.55949 Wh_cumul=0.0113727 
t=11 V=3.23326 A=1.6 W=5.17322 mAh_cumul=4.00393 Wh_cumul=0.0128097 
t=12 V=3.23817 A=1.6 W=5.18107 mAh_cumul=4.44837 Wh_cumul=0.0142489 
t=13 V=3.24289 A=1.59999 W=5.18859 mAh_cumul=4.89282 Wh_cumul=0.0156902 
t=14 V=3.2473 A=1.59999 W=5.19565 mAh_cumul=5.33726 Wh_cumul=0.0171334 
t=15 V=3.2515 A=1.6 W=5.2024 mAh_cumul=5.7817 Wh_cumul=0.0185785 
t=16 V=3.25547 A=1.59998 W=5.20869 mAh_cumul=6.22614 Wh_cumul=0.0200254 
t=17 V=3.25928 A=1.59999 W=5.21482 mAh_cumul=6.67058 Wh_cumul=0.0214739 
t=18 V=3.26287 A=1.6 W=5.22059 mAh_cumul=7.11503 Wh_cumul=0.0229241 
t=19 V=3.26638 A=1.59999 W=5.22618 mAh_cumul=7.55947 Wh_cumul=0.0243758 
t=20 V=3.2698 A=1.59999 W=5.23165 mAh_cumul=8.00391 Wh_cumul=0.025829 
t=21 V=3.27318 A=1.6 W=5.23709 mAh_cumul=8.44836 Wh_cumul=0.0272838 
t=22 V=3.27633 A=1.59998 W=5.24206 mAh_cumul=8.89279 Wh_cumul=0.0287399 
t=23 V=3.27946 A=1.6 W=5.24714 mAh_cumul=9.33724 Wh_cumul=0.0301975 
t=24 V=3.28251 A=1.59999 W=5.25198 mAh_cumul=9.78168 Wh_cumul=0.0316563 
t=25 V=3.28545 A=1.59999 W=5.25669 mAh_cumul=10.2261 Wh_cumul=0.0331165 
t=26 V=3.28834 A=1.59999 W=5.26131 mAh_cumul=10.6706 Wh_cumul=0.034578 
t=27 V=3.29113 A=1.6 W=5.26581 mAh_cumul=11.115 Wh_cumul=0.0360407 
t=28 V=3.29383 A=1.59999 W=5.2701 mAh_cumul=11.5594 Wh_cumul=0.0375046 
t=29 V=3.29649 A=1.59999 W=5.27435 mAh_cumul=12.0039 Wh_cumul=0.0389697 
t=30 V=3.29912 A=1.59999 W=5.27856 mAh_cumul=12.4483 Wh_cumul=0.040436 
t=31 V=3.30168 A=1.59998 W=5.28262 mAh_cumul=12.8928 Wh_cumul=0.0419034 
t=32 V=3.30422 A=1.59998 W=5.28669 mAh_cumul=13.3372 Wh_cumul=0.0433719 
t=33 V=3.30662 A=1.59998 W=5.29053 mAh_cumul=13.7816 Wh_cumul=0.0448415 
t=34 V=3.30885 A=1.59998 W=5.29409 mAh_cumul=14.2261 Wh_cumul=0.0463121 
t=35 V=3.3112 A=1.59999 W=5.29789 mAh_cumul=14.6705 Wh_cumul=0.0477837 
t=36 V=3.31356 A=1.59999 W=5.30166 mAh_cumul=15.115 Wh_cumul=0.0492564 
t=37 V=3.31577 A=1.59999 W=5.3052 mAh_cumul=15.5594 Wh_cumul=0.0507301 
t=38 V=3.31802 A=1.59999 W=5.3088 mAh_cumul=16.0039 Wh_cumul=0.0522047 
t=39 V=3.3202 A=1.59998 W=5.31225 mAh_cumul=16.4483 Wh_cumul=0.0536804 
t=40 V=3.32238 A=1.6 W=5.31581 mAh_cumul=16.8927 Wh_cumul=0.055157 
t=41 V=3.32455 A=1.59998 W=5.31921 mAh_cumul=17.3372 Wh_cumul=0.0566345 
t=42 V=3.32666 A=1.59998 W=5.32259 mAh_cumul=17.7816 Wh_cumul=0.058113 
t=43 V=3.32878 A=1.59999 W=5.32601 mAh_cumul=18.2261 Wh_cumul=0.0595925 
t=44 V=3.3308 A=1.59998 W=5.32921 mAh_cumul=18.6705 Wh_cumul=0.0610728 
t=45 V=3.33278 A=1.59998 W=5.33238 mAh_cumul=19.1149 Wh_cumul=0.062554 
t=46 V=3.33478 A=1.59998 W=5.33558 mAh_cumul=19.5594 Wh_cumul=0.0640362 
t=47 V=3.33666 A=1.59998 W=5.33859 mAh_cumul=20.0038 Wh_cumul=0.0655191 
t=48 V=3.3385 A=1.59999 W=5.34157 mAh_cumul=20.4483 Wh_cumul=0.0670029 
t=49 V=3.34038 A=1.59998 W=5.34454 mAh_cumul=20.8927 Wh_cumul=0.0684875 
t=50 V=3.34227 A=1.59999 W=5.3476 mAh_cumul=21.3371 Wh_cumul=0.0699729 
t=51 V=3.34414 A=1.59998 W=5.35056 mAh_cumul=21.7816 Wh_cumul=0.0714592 
t=52 V=3.34597 A=1.59999 W=5.35352 mAh_cumul=22.226 Wh_cumul=0.0729463 
t=53 V=3.34778 A=1.59997 W=5.35635 mAh_cumul=22.6705 Wh_cumul=0.0744341 
t=54 V=3.34956 A=1.59999 W=5.35926 mAh_cumul=23.1149 Wh_cumul=0.0759228 
t=55 V=3.3513 A=1.59999 W=5.36205 mAh_cumul=23.5593 Wh_cumul=0.0774123 
t=56 V=3.35306 A=1.6 W=5.3649 mAh_cumul=24.0038 Wh_cumul=0.0789025 
t=57 V=3.35479 A=1.59998 W=5.3676 mAh_cumul=24.4482 Wh_cumul=0.0803935 
t=58 V=3.35648 A=1.59999 W=5.37033 mAh_cumul=24.8927 Wh_cumul=0.0818853 
t=59 V=3.35821 A=1.59999 W=5.3731 mAh_cumul=25.3371 Wh_cumul=0.0833778 
t=60 V=3.35987 A=1.59998 W=5.37572 mAh_cumul=25.7815 Wh_cumul=0.0848711 
t=61 V=3.36145 A=1.59999 W=5.37829 mAh_cumul=26.226 Wh_cumul=0.086365 
t=62 V=3.36312 A=1.59998 W=5.38092 mAh_cumul=26.6704 Wh_cumul=0.0878597 
t=63 V=3.3647 A=1.59998 W=5.38345 mAh_cumul=27.1149 Wh_cumul=0.0893551 
t=64 V=3.3663 A=1.59999 W=5.38605 mAh_cumul=27.5593 Wh_cumul=0.0908513 
t=65 V=3.36788 A=1.59998 W=5.38854 mAh_cumul=28.0037 Wh_cumul=0.0923481 
t=66 V=3.36946 A=1.59997 W=5.39103 mAh_cumul=28.4482 Wh_cumul=0.0938456 
t=67 V=3.37101 A=1.59999 W=5.39358 mAh_cumul=28.8926 Wh_cumul=0.0953438 
t=68 V=3.37254 A=1.59999 W=5.39603 mAh_cumul=29.3371 Wh_cumul=0.0968427 
t=69 V=3.3741 A=1.59999 W=5.39853 mAh_cumul=29.7815 Wh_cumul=0.0983423 
t=70 V=3.3756 A=1.59999 W=5.40093 mAh_cumul=30.2259 Wh_cumul=0.0998425 
t=71 V=3.37703 A=1.59999 W=5.40321 mAh_cumul=30.6704 Wh_cumul=0.101343 
t=72 V=3.37856 A=1.59998 W=5.40563 mAh_cumul=31.1148 Wh_cumul=0.102845 
t=73 V=3.37999 A=1.59999 W=5.40795 mAh_cumul=31.5593 Wh_cumul=0.104347 
t=74 V=3.38143 A=1.59997 W=5.41019 mAh_cumul=32.0037 Wh_cumul=0.10585 
t=75 V=3.3828 A=1.59998 W=5.41241 mAh_cumul=32.4481 Wh_cumul=0.107353 
t=76 V=3.38413 A=1.59998 W=5.41454 mAh_cumul=32.8926 Wh_cumul=0.108858 
t=77 V=3.38553 A=1.59999 W=5.41681 mAh_cumul=33.337 Wh_cumul=0.110362 
t=78 V=3.38692 A=1.59998 W=5.419 mAh_cumul=33.7815 Wh_cumul=0.111867 
t=79 V=3.38838 A=1.59998 W=5.42134 mAh_cumul=34.2259 Wh_cumul=0.113373 
t=80 V=3.38968 A=1.59997 W=5.42339 mAh_cumul=34.6703 Wh_cumul=0.11488 
t=81 V=3.39106 A=1.59998 W=5.42563 mAh_cumul=35.1148 Wh_cumul=0.116387 
t=82 V=3.39242 A=1.59998 W=5.4278 mAh_cumul=35.5592 Wh_cumul=0.117895 
t=83 V=3.3938 A=1.59998 W=5.43001 mAh_cumul=36.0037 Wh_cumul=0.119403 
t=84 V=3.39508 A=1.59998 W=5.43206 mAh_cumul=36.4481 Wh_cumul=0.120912 
t=85 V=3.39647 A=1.59997 W=5.43425 mAh_cumul=36.8925 Wh_cumul=0.122422 
t=86 V=3.39776 A=1.59999 W=5.43638 mAh_cumul=37.337 Wh_cumul=0.123932 
t=87 V=3.39908 A=1.59999 W=5.43849 mAh_cumul=37.7814 Wh_cumul=0.125442 
t=88 V=3.40043 A=1.59999 W=5.44065 mAh_cumul=38.2259 Wh_cumul=0.126954 
t=89 V=3.40172 A=1.59997 W=5.44265 mAh_cumul=38.6703 Wh_cumul=0.128465 
t=90 V=3.40294 A=1.59998 W=5.44464 mAh_cumul=39.1147 Wh_cumul=0.129978 
t=91 V=3.40421 A=1.6 W=5.44674 mAh_cumul=39.5592 Wh_cumul=0.131491 
t=92 V=3.40549 A=1.59999 W=5.44875 mAh_cumul=40.0036 Wh_cumul=0.133004 
t=93 V=3.4068 A=1.59999 W=5.45085 mAh_cumul=40.4481 Wh_cumul=0.134518 
t=94 V=3.40804 A=1.59999 W=5.45283 mAh_cumul=40.8925 Wh_cumul=0.136033 
t=95 V=3.40927 A=1.59999 W=5.4548 mAh_cumul=41.3369 Wh_cumul=0.137548 
t=96 V=3.41052 A=1.59999 W=5.4568 mAh_cumul=41.7814 Wh_cumul=0.139064 
t=97 V=3.41174 A=1.59999 W=5.45875 mAh_cumul=42.2258 Wh_cumul=0.14058 
t=98 V=3.41296 A=1.59998 W=5.46067 mAh_cumul=42.6703 Wh_cumul=0.142097 
t=99 V=3.41414 A=1.59997 W=5.46252 mAh_cumul=43.1147 Wh_cumul=0.143615 
t=100 V=3.41533 A=1.6 W=5.46453 mAh_cumul=43.5591 Wh_cumul=0.145133 
t=101 V=3.41651 A=1.59998 W=5.46635 mAh_cumul=44.0036 Wh_cumul=0.146651 
t=102 V=3.41772 A=1.59998 W=5.46828 mAh_cumul=44.448 Wh_cumul=0.14817 
t=103 V=3.41885 A=1.59998 W=5.47009 mAh_cumul=44.8925 Wh_cumul=0.149689 
t=104 V=3.42008 A=1.59999 W=5.47209 mAh_cumul=45.3369 Wh_cumul=0.15121 
t=105 V=3.42119 A=1.59998 W=5.47384 mAh_cumul=45.7813 Wh_cumul=0.15273 
t=106 V=3.42235 A=1.59998 W=5.47569 mAh_cumul=46.2258 Wh_cumul=0.154251 
t=107 V=3.42346 A=1.59998 W=5.47747 mAh_cumul=46.6702 Wh_cumul=0.155773 
t=108 V=3.4246 A=1.59997 W=5.47926 mAh_cumul=47.1147 Wh_cumul=0.157295 
t=109 V=3.42572 A=1.59998 W=5.48108 mAh_cumul=47.5591 Wh_cumul=0.158817 
t=110 V=3.42687 A=1.59998 W=5.48292 mAh_cumul=48.0035 Wh_cumul=0.16034 
t=111 V=3.42795 A=1.59999 W=5.48469 mAh_cumul=48.448 Wh_cumul=0.161864 
t=112 V=3.42895 A=1.59998 W=5.48625 mAh_cumul=48.8924 Wh_cumul=0.163388 
t=113 V=3.42999 A=1.59997 W=5.48788 mAh_cumul=49.3368 Wh_cumul=0.164912 
t=114 V=3.43112 A=1.59999 W=5.48976 mAh_cumul=49.7813 Wh_cumul=0.166437 
t=115 V=3.43221 A=1.59998 W=5.49147 mAh_cumul=50.2257 Wh_cumul=0.167962 
t=116 V=3.43328 A=1.59998 W=5.49318 mAh_cumul=50.6702 Wh_cumul=0.169488 
t=117 V=3.43436 A=1.59999 W=5.49494 mAh_cumul=51.1146 Wh_cumul=0.171015 
t=118 V=3.43541 A=1.59998 W=5.49659 mAh_cumul=51.559 Wh_cumul=0.172541 
t=119 V=3.43645 A=1.59998 W=5.49825 mAh_cumul=52.0035 Wh_cumul=0.174069 
t=120 V=3.43757 A=1.59998 W=5.50004 mAh_cumul=52.4479 Wh_cumul=0.175597 
t=121 V=3.43861 A=1.59998 W=5.50171 mAh_cumul=52.8924 Wh_cumul=0.177125 
t=122 V=3.43957 A=1.59998 W=5.50324 mAh_cumul=53.3368 Wh_cumul=0.178653 
t=123 V=3.44064 A=1.59998 W=5.50496 mAh_cumul=53.7812 Wh_cumul=0.180183 
t=124 V=3.44169 A=1.59999 W=5.50667 mAh_cumul=54.2257 Wh_cumul=0.181712 
t=125 V=3.44273 A=1.59999 W=5.50833 mAh_cumul=54.6701 Wh_cumul=0.183242 
t=126 V=3.44373 A=1.59999 W=5.50993 mAh_cumul=55.1146 Wh_cumul=0.184773 
t=127 V=3.44467 A=1.59998 W=5.5114 mAh_cumul=55.559 Wh_cumul=0.186304 
t=128 V=3.44572 A=1.59999 W=5.51312 mAh_cumul=56.0034 Wh_cumul=0.187835 
t=129 V=3.44669 A=1.59997 W=5.5146 mAh_cumul=56.4479 Wh_cumul=0.189367 
t=130 V=3.44768 A=1.59999 W=5.51625 mAh_cumul=56.8923 Wh_cumul=0.190899 
t=131 V=3.44869 A=1.59997 W=5.5178 mAh_cumul=57.3368 Wh_cumul=0.192432 
t=132 V=3.44964 A=1.59998 W=5.51936 mAh_cumul=57.7812 Wh_cumul=0.193965 
t=133 V=3.45063 A=1.59998 W=5.52094 mAh_cumul=58.2256 Wh_cumul=0.195499 
t=134 V=3.45163 A=1.59998 W=5.52254 mAh_cumul=58.6701 Wh_cumul=0.197033 
t=135 V=3.45258 A=1.59999 W=5.52409 mAh_cumul=59.1145 Wh_cumul=0.198567 
t=136 V=3.45357 A=1.59999 W=5.52568 mAh_cumul=59.559 Wh_cumul=0.200102 
t=137 V=3.45449 A=1.59998 W=5.52711 mAh_cumul=60.0034 Wh_cumul=0.201638 
t=138 V=3.45541 A=1.59998 W=5.52859 mAh_cumul=60.4478 Wh_cumul=0.203173 
t=139 V=3.45639 A=1.59999 W=5.53019 mAh_cumul=60.8923 Wh_cumul=0.204709 
t=140 V=3.45732 A=1.6 W=5.53171 mAh_cumul=61.3367 Wh_cumul=0.206246 
t=141 V=3.45826 A=1.59998 W=5.53315 mAh_cumul=61.7812 Wh_cumul=0.207783 
t=142 V=3.45919 A=1.59997 W=5.5346 mAh_cumul=62.2256 Wh_cumul=0.20932 
t=143 V=3.46007 A=1.59998 W=5.53604 mAh_cumul=62.67 Wh_cumul=0.210858 
t=144 V=3.46098 A=1.59997 W=5.53746 mAh_cumul=63.1145 Wh_cumul=0.212396 
t=145 V=3.46193 A=1.59998 W=5.53902 mAh_cumul=63.5589 Wh_cumul=0.213935 
t=146 V=3.4628 A=1.59998 W=5.54041 mAh_cumul=64.0034 Wh_cumul=0.215474 
t=147 V=3.46372 A=1.59997 W=5.54185 mAh_cumul=64.4478 Wh_cumul=0.217013 
t=148 V=3.46461 A=1.59998 W=5.54331 mAh_cumul=64.8922 Wh_cumul=0.218553 
t=149 V=3.46551 A=1.59998 W=5.54475 mAh_cumul=65.3367 Wh_cumul=0.220093 
t=150 V=3.46641 A=1.59998 W=5.54619 mAh_cumul=65.7811 Wh_cumul=0.221634 
t=151 V=3.46727 A=1.59998 W=5.54756 mAh_cumul=66.2255 Wh_cumul=0.223175 
t=152 V=3.46813 A=1.59998 W=5.54894 mAh_cumul=66.67 Wh_cumul=0.224716 
t=153 V=3.46903 A=1.59998 W=5.55038 mAh_cumul=67.1144 Wh_cumul=0.226258 
t=154 V=3.4699 A=1.59998 W=5.55177 mAh_cumul=67.5589 Wh_cumul=0.2278 
t=155 V=3.47073 A=1.59998 W=5.5531 mAh_cumul=68.0033 Wh_cumul=0.229343 
t=156 V=3.47161 A=1.59997 W=5.55447 mAh_cumul=68.4477 Wh_cumul=0.230886 
t=157 V=3.47245 A=1.59999 W=5.55589 mAh_cumul=68.8922 Wh_cumul=0.232429 
t=158 V=3.47332 A=1.59999 W=5.55728 mAh_cumul=69.3366 Wh_cumul=0.233973 
t=159 V=3.4741 A=1.59999 W=5.55853 mAh_cumul=69.7811 Wh_cumul=0.235517 
t=160 V=3.47481 A=1.59997 W=5.55959 mAh_cumul=70.2255 Wh_cumul=0.237061 
t=161 V=3.47565 A=1.59998 W=5.56097 mAh_cumul=70.6699 Wh_cumul=0.238606 
t=162 V=3.47646 A=1.59999 W=5.5623 mAh_cumul=71.1144 Wh_cumul=0.240151 
t=163 V=3.4773 A=1.59997 W=5.56358 mAh_cumul=71.5588 Wh_cumul=0.241696 
t=164 V=3.47809 A=1.59999 W=5.56491 mAh_cumul=72.0033 Wh_cumul=0.243242 
t=165 V=3.47894 A=1.6 W=5.5663 mAh_cumul=72.4477 Wh_cumul=0.244788 
t=166 V=3.47976 A=1.59999 W=5.56758 mAh_cumul=72.8921 Wh_cumul=0.246335 
t=167 V=3.48051 A=1.59999 W=5.56878 mAh_cumul=73.3366 Wh_cumul=0.247882 
t=168 V=3.48131 A=1.59997 W=5.56999 mAh_cumul=73.781 Wh_cumul=0.249429 
t=169 V=3.4821 A=1.59998 W=5.57129 mAh_cumul=74.2255 Wh_cumul=0.250977 
t=170 V=3.48291 A=1.59999 W=5.57262 mAh_cumul=74.6699 Wh_cumul=0.252525 
t=171 V=3.48368 A=1.59998 W=5.57382 mAh_cumul=75.1143 Wh_cumul=0.254073 
t=172 V=3.48448 A=1.59999 W=5.57513 mAh_cumul=75.5588 Wh_cumul=0.255621 
t=173 V=3.48522 A=1.59999 W=5.57632 mAh_cumul=76.0032 Wh_cumul=0.25717 
t=174 V=3.48598 A=1.59998 W=5.5775 mAh_cumul=76.4477 Wh_cumul=0.25872 
t=175 V=3.48676 A=1.6 W=5.57882 mAh_cumul=76.8921 Wh_cumul=0.260269 
t=176 V=3.48752 A=1.59999 W=5.58 mAh_cumul=77.3365 Wh_cumul=0.261819 
t=177 V=3.4883 A=1.59999 W=5.58125 mAh_cumul=77.781 Wh_cumul=0.26337 
t=178 V=3.48906 A=1.59999 W=5.58246 mAh_cumul=78.2254 Wh_cumul=0.26492 
t=179 V=3.48982 A=1.59998 W=5.58364 mAh_cumul=78.6699 Wh_cumul=0.266471 
t=180 V=3.49055 A=1.59998 W=5.58481 mAh_cumul=79.1143 Wh_cumul=0.268023 
t=181 V=3.49127 A=1.59998 W=5.58596 mAh_cumul=79.5587 Wh_cumul=0.269574 
t=182 V=3.49199 A=1.59999 W=5.58715 mAh_cumul=80.0032 Wh_cumul=0.271126 
t=183 V=3.49273 A=1.59998 W=5.5883 mAh_cumul=80.4476 Wh_cumul=0.272679 
t=184 V=3.49348 A=1.59998 W=5.5895 mAh_cumul=80.8921 Wh_cumul=0.274231 
t=185 V=3.49414 A=1.59998 W=5.59055 mAh_cumul=81.3365 Wh_cumul=0.275784 
t=186 V=3.49486 A=1.6 W=5.59178 mAh_cumul=81.7809 Wh_cumul=0.277338 
t=187 V=3.49552 A=1.59999 W=5.5928 mAh_cumul=82.2254 Wh_cumul=0.278891 
t=188 V=3.49618 A=1.59999 W=5.59385 mAh_cumul=82.6698 Wh_cumul=0.280445 
t=189 V=3.49688 A=1.6 W=5.59501 mAh_cumul=83.1143 Wh_cumul=0.281999 
t=190 V=3.49755 A=1.59999 W=5.59605 mAh_cumul=83.5587 Wh_cumul=0.283554 
t=191 V=3.49818 A=1.59998 W=5.59702 mAh_cumul=84.0032 Wh_cumul=0.285108 
t=192 V=3.49883 A=1.59998 W=5.59806 mAh_cumul=84.4476 Wh_cumul=0.286663 
t=193 V=3.49949 A=1.59999 W=5.59915 mAh_cumul=84.892 Wh_cumul=0.288219 
t=194 V=3.50012 A=1.59999 W=5.60016 mAh_cumul=85.3365 Wh_cumul=0.289774 
t=195 V=3.50066 A=1.59997 W=5.60095 mAh_cumul=85.7809 Wh_cumul=0.29133 
t=196 V=3.50121 A=1.59998 W=5.60187 mAh_cumul=86.2254 Wh_cumul=0.292886 
t=197 V=3.50177 A=1.59999 W=5.6028 mAh_cumul=86.6698 Wh_cumul=0.294443 
t=198 V=3.50238 A=1.59997 W=5.6037 mAh_cumul=87.1142 Wh_cumul=0.295999 
t=199 V=3.50297 A=1.59997 W=5.60465 mAh_cumul=87.5587 Wh_cumul=0.297556 
t=200 V=3.50352 A=1.59998 W=5.60556 mAh_cumul=88.0031 Wh_cumul=0.299113 
t=201 V=3.50413 A=1.59998 W=5.60654 mAh_cumul=88.4475 Wh_cumul=0.30067 
t=202 V=3.50466 A=1.59998 W=5.60739 mAh_cumul=88.892 Wh_cumul=0.302228 
t=203 V=3.50522 A=1.59998 W=5.60828 mAh_cumul=89.3364 Wh_cumul=0.303786 
t=204 V=3.50573 A=1.59998 W=5.6091 mAh_cumul=89.7809 Wh_cumul=0.305344 
t=205 V=3.50628 A=1.59999 W=5.61001 mAh_cumul=90.2253 Wh_cumul=0.306902 
t=206 V=3.50679 A=1.59999 W=5.61083 mAh_cumul=90.6697 Wh_cumul=0.308461 
t=207 V=3.50728 A=1.59998 W=5.61158 mAh_cumul=91.1142 Wh_cumul=0.31002 
t=208 V=3.50781 A=1.59999 W=5.61246 mAh_cumul=91.5586 Wh_cumul=0.311579 
t=209 V=3.50831 A=1.59998 W=5.61323 mAh_cumul=92.0031 Wh_cumul=0.313138 
t=210 V=3.50876 A=1.59998 W=5.61395 mAh_cumul=92.4475 Wh_cumul=0.314697 
t=211 V=3.50924 A=1.59997 W=5.61468 mAh_cumul=92.8919 Wh_cumul=0.316257 
t=212 V=3.50975 A=1.59999 W=5.61556 mAh_cumul=93.3364 Wh_cumul=0.317817 
t=213 V=3.51023 A=1.59999 W=5.61633 mAh_cumul=93.7808 Wh_cumul=0.319377 
t=214 V=3.51067 A=1.59999 W=5.61704 mAh_cumul=94.2253 Wh_cumul=0.320937 
t=215 V=3.5111 A=1.59998 W=5.61769 mAh_cumul=94.6697 Wh_cumul=0.322498 
t=216 V=3.51153 A=1.59998 W=5.61838 mAh_cumul=95.1141 Wh_cumul=0.324058 
t=217 V=3.51193 A=1.59999 W=5.61905 mAh_cumul=95.5586 Wh_cumul=0.325619 
t=218 V=3.51235 A=1.59998 W=5.61969 mAh_cumul=96.003 Wh_cumul=0.32718 
t=219 V=3.51274 A=1.59998 W=5.62031 mAh_cumul=96.4475 Wh_cumul=0.328741 
t=220 V=3.51313 A=1.59997 W=5.6209 mAh_cumul=96.8919 Wh_cumul=0.330303 
t=221 V=3.51351 A=1.59998 W=5.62155 mAh_cumul=97.3363 Wh_cumul=0.331864 
t=222 V=3.51388 A=1.59998 W=5.62214 mAh_cumul=97.7808 Wh_cumul=0.333426 
t=223 V=3.51425 A=1.59998 W=5.62273 mAh_cumul=98.2252 Wh_cumul=0.334988 
t=224 V=3.51461 A=1.59999 W=5.62334 mAh_cumul=98.6697 Wh_cumul=0.33655 
t=225 V=3.51497 A=1.59998 W=5.62388 mAh_cumul=99.1141 Wh_cumul=0.338112 
t=226 V=3.51533 A=1.59999 W=5.62449 mAh_cumul=99.5585 Wh_cumul=0.339674 
t=227 V=3.51565 A=1.59997 W=5.62493 mAh_cumul=100.003 Wh_cumul=0.341237 
t=228 V=3.51596 A=1.59998 W=5.62547 mAh_cumul=100.447 Wh_cumul=0.3428 
t=229 V=3.51631 A=1.59998 W=5.62603 mAh_cumul=100.892 Wh_cumul=0.344362 
t=230 V=3.5166 A=1.59998 W=5.62649 mAh_cumul=101.336 Wh_cumul=0.345925 
t=231 V=3.5169 A=1.59998 W=5.62697 mAh_cumul=101.781 Wh_cumul=0.347488 
t=232 V=3.5172 A=1.59997 W=5.62741 mAh_cumul=102.225 Wh_cumul=0.349052 
t=233 V=3.51749 A=1.59999 W=5.62795 mAh_cumul=102.67 Wh_cumul=0.350615 
t=234 V=3.51778 A=1.59998 W=5.62838 mAh_cumul=103.114 Wh_cumul=0.352178 
t=235 V=3.51806 A=1.59998 W=5.62883 mAh_cumul=103.558 Wh_cumul=0.353742 
t=236 V=3.51831 A=1.59999 W=5.62926 mAh_cumul=104.003 Wh_cumul=0.355306 
