0 errors cleared
t=0 V=2.92094 A=0.00664189 W=0.0194006 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.92191 A=0.00664905 W=0.0194279 mAh_cumul=0.00369392 Wh_cumul=1.07933e-05 
t=3 V=3.02266 A=1.67525 W=5.06371 mAh_cumul=0.469041 Wh_cumul=0.00141738 
t=4 V=3.08094 A=1.67501 W=5.16061 mAh_cumul=0.934322 Wh_cumul=0.00285088 
t=5 V=3.09995 A=1.67495 W=5.19226 mAh_cumul=1.39959 Wh_cumul=0.00429318 
t=6 V=3.11175 A=1.67494 W=5.21199 mAh_cumul=1.86485 Wh_cumul=0.00574095 
t=7 V=3.12081 A=1.67492 W=5.22711 mAh_cumul=2.3301 Wh_cumul=0.00719293 
t=8 V=3.12841 A=1.67492 W=5.23984 mAh_cumul=2.79536 Wh_cumul=0.00864844 
t=9 V=3.13495 A=1.6749 W=5.25073 mAh_cumul=3.26061 Wh_cumul=0.010107 
t=10 V=3.14098 A=1.67492 W=5.26089 mAh_cumul=3.72586 Wh_cumul=0.0115683 
t=11 V=3.14669 A=1.67491 W=5.27042 mAh_cumul=4.19112 Wh_cumul=0.0130323 
t=12 V=3.15191 A=1.67491 W=5.27917 mAh_cumul=4.65637 Wh_cumul=0.0144988 
t=13 V=3.15688 A=1.67489 W=5.28743 mAh_cumul=5.12162 Wh_cumul=0.0159675 
t=14 V=3.16162 A=1.6749 W=5.2954 mAh_cumul=5.58687 Wh_cumul=0.0174384 
t=15 V=3.16616 A=1.6749 W=5.303 mAh_cumul=6.05212 Wh_cumul=0.0189115 
t=16 V=3.17029 A=1.6749 W=5.30992 mAh_cumul=6.51737 Wh_cumul=0.0203865 
t=17 V=3.1744 A=1.6749 W=5.3168 mAh_cumul=6.98262 Wh_cumul=0.0218634 
t=18 V=3.17842 A=1.6749 W=5.32354 mAh_cumul=7.44787 Wh_cumul=0.0233421 
t=19 V=3.18231 A=1.67489 W=5.33002 mAh_cumul=7.91311 Wh_cumul=0.0248227 
t=20 V=3.18605 A=1.67488 W=5.33625 mAh_cumul=8.37836 Wh_cumul=0.026305 
t=21 V=3.18968 A=1.6749 W=5.3424 mAh_cumul=8.84361 Wh_cumul=0.027789 
t=22 V=3.1932 A=1.6749 W=5.34829 mAh_cumul=9.30886 Wh_cumul=0.0292746 
t=23 V=3.19665 A=1.67489 W=5.35404 mAh_cumul=9.77411 Wh_cumul=0.0307618 
t=24 V=3.20003 A=1.67489 W=5.3597 mAh_cumul=10.2394 Wh_cumul=0.0322507 
t=25 V=3.20327 A=1.67488 W=5.36509 mAh_cumul=10.7046 Wh_cumul=0.033741 
t=26 V=3.20644 A=1.67489 W=5.37043 mAh_cumul=11.1698 Wh_cumul=0.0352327 
t=27 V=3.20958 A=1.67489 W=5.37569 mAh_cumul=11.6351 Wh_cumul=0.036726 
t=28 V=3.21262 A=1.6749 W=5.38082 mAh_cumul=12.1003 Wh_cumul=0.0382207 
t=29 V=3.21553 A=1.67489 W=5.38566 mAh_cumul=12.5656 Wh_cumul=0.0397167 
t=30 V=3.21841 A=1.67489 W=5.39048 mAh_cumul=13.0308 Wh_cumul=0.041214 
t=31 V=3.22122 A=1.6749 W=5.39522 mAh_cumul=13.4961 Wh_cumul=0.0427127 
t=32 V=3.22399 A=1.67489 W=5.39983 mAh_cumul=13.9613 Wh_cumul=0.0442127 
t=33 V=3.22678 A=1.67489 W=5.4045 mAh_cumul=14.4266 Wh_cumul=0.0457139 
t=34 V=3.22949 A=1.67489 W=5.40904 mAh_cumul=14.8918 Wh_cumul=0.0472164 
t=35 V=3.23223 A=1.67489 W=5.41363 mAh_cumul=15.3571 Wh_cumul=0.0487202 
t=36 V=3.23488 A=1.67489 W=5.41807 mAh_cumul=15.8223 Wh_cumul=0.0502252 
t=37 V=3.23743 A=1.67488 W=5.42231 mAh_cumul=16.2876 Wh_cumul=0.0517314 
t=38 V=3.24004 A=1.67489 W=5.42671 mAh_cumul=16.7528 Wh_cumul=0.0532388 
t=39 V=3.24259 A=1.67489 W=5.43098 mAh_cumul=17.2181 Wh_cumul=0.0547475 
t=40 V=3.24492 A=1.67489 W=5.43488 mAh_cumul=17.6833 Wh_cumul=0.0562571 
t=41 V=3.24737 A=1.67488 W=5.43896 mAh_cumul=18.1486 Wh_cumul=0.057768 
t=42 V=3.24976 A=1.67488 W=5.44296 mAh_cumul=18.6138 Wh_cumul=0.0592799 
