0 errors cleared
t=0 V=4.18353 A=0.00950301 W=0.0397561 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18348 A=0.00949673 W=0.0397294 mAh_cumul=0.00527596 Wh_cumul=2.20719e-05 
t=3 V=4.08774 A=1.67425 W=6.8439 mAh_cumul=0.470345 Wh_cumul=0.00192315 
t=4 V=4.07676 A=1.67417 W=6.82519 mAh_cumul=0.935393 Wh_cumul=0.00381904 
t=5 V=4.07361 A=1.67417 W=6.81992 mAh_cumul=1.40044 Wh_cumul=0.00571346 
t=6 V=4.07109 A=1.67415 W=6.81562 mAh_cumul=1.86548 Wh_cumul=0.00760669 
t=7 V=4.0689 A=1.67416 W=6.81199 mAh_cumul=2.33053 Wh_cumul=0.00949891 
t=8 V=4.0669 A=1.67414 W=6.80856 mAh_cumul=2.79556 Wh_cumul=0.0113902 
t=9 V=4.06511 A=1.67415 W=6.8056 mAh_cumul=3.26061 Wh_cumul=0.0132806 
t=10 V=4.06345 A=1.67415 W=6.80282 mAh_cumul=3.72565 Wh_cumul=0.0151703 
t=11 V=4.06189 A=1.67414 W=6.80017 mAh_cumul=4.19069 Wh_cumul=0.0170592 
t=12 V=4.06044 A=1.67414 W=6.79775 mAh_cumul=4.65573 Wh_cumul=0.0189475 
t=13 V=4.05913 A=1.67414 W=6.79555 mAh_cumul=5.12076 Wh_cumul=0.0208351 
t=14 V=4.05777 A=1.67415 W=6.79332 mAh_cumul=5.58581 Wh_cumul=0.0227222 
t=15 V=4.05655 A=1.67415 W=6.79127 mAh_cumul=6.05085 Wh_cumul=0.0246086 
t=16 V=4.05531 A=1.67414 W=6.78916 mAh_cumul=6.51589 Wh_cumul=0.0264945 
t=17 V=4.05415 A=1.67414 W=6.78721 mAh_cumul=6.98093 Wh_cumul=0.0283799 
t=18 V=4.05301 A=1.67413 W=6.78527 mAh_cumul=7.44596 Wh_cumul=0.0302647 
t=19 V=4.05192 A=1.67414 W=6.78348 mAh_cumul=7.911 Wh_cumul=0.032149 
t=20 V=4.05086 A=1.67415 W=6.78175 mAh_cumul=8.37604 Wh_cumul=0.0340328 
t=21 V=4.04986 A=1.67414 W=6.78003 mAh_cumul=8.84108 Wh_cumul=0.0359161 
t=22 V=4.04884 A=1.67414 W=6.77832 mAh_cumul=9.30612 Wh_cumul=0.037799 
t=23 V=4.04786 A=1.67414 W=6.77668 mAh_cumul=9.77116 Wh_cumul=0.0396814 
t=24 V=4.04694 A=1.67414 W=6.77514 mAh_cumul=10.2362 Wh_cumul=0.0415634 
t=25 V=4.04603 A=1.67415 W=6.77366 mAh_cumul=10.7012 Wh_cumul=0.043445 
t=26 V=4.04518 A=1.67414 W=6.7722 mAh_cumul=11.1663 Wh_cumul=0.0453261 
t=27 V=4.04432 A=1.67415 W=6.7708 mAh_cumul=11.6313 Wh_cumul=0.0472069 
t=28 V=4.04345 A=1.67415 W=6.76934 mAh_cumul=12.0964 Wh_cumul=0.0490873 
t=29 V=4.04264 A=1.67414 W=6.76795 mAh_cumul=12.5614 Wh_cumul=0.0509673 
t=30 V=4.04185 A=1.67415 W=6.76666 mAh_cumul=13.0264 Wh_cumul=0.0528469 
t=31 V=4.04112 A=1.67414 W=6.7654 mAh_cumul=13.4915 Wh_cumul=0.0547262 
t=32 V=4.04031 A=1.67416 W=6.76413 mAh_cumul=13.9565 Wh_cumul=0.0566051 
t=33 V=4.03959 A=1.67416 W=6.76292 mAh_cumul=14.4216 Wh_cumul=0.0584837 
t=34 V=4.03888 A=1.67415 W=6.76169 mAh_cumul=14.8866 Wh_cumul=0.0603619 
t=35 V=4.03814 A=1.67416 W=6.76049 mAh_cumul=15.3517 Wh_cumul=0.0622398 
t=36 V=4.03743 A=1.67414 W=6.75922 mAh_cumul=15.8167 Wh_cumul=0.0641174 
t=37 V=4.03675 A=1.67415 W=6.75813 mAh_cumul=16.2817 Wh_cumul=0.0659947 
t=38 V=4.03608 A=1.67414 W=6.75696 mAh_cumul=16.7468 Wh_cumul=0.0678716 
t=39 V=4.03543 A=1.67415 W=6.75592 mAh_cumul=17.2118 Wh_cumul=0.0697482 
t=40 V=4.03477 A=1.67415 W=6.75481 mAh_cumul=17.6769 Wh_cumul=0.0716246 
t=41 V=4.03416 A=1.67415 W=6.75379 mAh_cumul=18.1419 Wh_cumul=0.0735006 
t=42 V=4.03358 A=1.67413 W=6.75274 mAh_cumul=18.6069 Wh_cumul=0.0753764 
t=43 V=4.03303 A=1.67415 W=6.7519 mAh_cumul=19.072 Wh_cumul=0.0772519 
t=44 V=4.03245 A=1.67415 W=6.75093 mAh_cumul=19.537 Wh_cumul=0.0791272 
t=45 V=4.03189 A=1.67415 W=6.74999 mAh_cumul=20.0021 Wh_cumul=0.0810022 
t=46 V=4.03131 A=1.67415 W=6.74902 mAh_cumul=20.4671 Wh_cumul=0.0828769 
t=47 V=4.03069 A=1.67415 W=6.74798 mAh_cumul=20.9321 Wh_cumul=0.0847513 
t=48 V=4.03015 A=1.67416 W=6.74712 mAh_cumul=21.3972 Wh_cumul=0.0866255 
t=49 V=4.02957 A=1.67414 W=6.74606 mAh_cumul=21.8622 Wh_cumul=0.0884994 
t=50 V=4.02904 A=1.67414 W=6.74518 mAh_cumul=22.3273 Wh_cumul=0.0903731 
t=51 V=4.02849 A=1.67417 W=6.74438 mAh_cumul=22.7923 Wh_cumul=0.0922465 
t=52 V=4.02794 A=1.67415 W=6.74338 mAh_cumul=23.2574 Wh_cumul=0.0941197 
t=53 V=4.02744 A=1.67415 W=6.74254 mAh_cumul=23.7224 Wh_cumul=0.0959926 
t=54 V=4.0269 A=1.67414 W=6.74159 mAh_cumul=24.1874 Wh_cumul=0.0978653 
t=55 V=4.02637 A=1.67415 W=6.74075 mAh_cumul=24.6525 Wh_cumul=0.0997377 
t=56 V=4.02593 A=1.67415 W=6.74001 mAh_cumul=25.1175 Wh_cumul=0.10161 
t=57 V=4.02543 A=1.67415 W=6.73917 mAh_cumul=25.5826 Wh_cumul=0.103482 
t=58 V=4.02491 A=1.67415 W=6.7383 mAh_cumul=26.0476 Wh_cumul=0.105354 
t=59 V=4.02443 A=1.67416 W=6.73754 mAh_cumul=26.5126 Wh_cumul=0.107225 
t=60 V=4.02397 A=1.67416 W=6.73677 mAh_cumul=26.9777 Wh_cumul=0.109097 
t=61 V=4.0235 A=1.67415 W=6.73594 mAh_cumul=27.4427 Wh_cumul=0.110968 
t=62 V=4.023 A=1.67414 W=6.73507 mAh_cumul=27.9078 Wh_cumul=0.112838 
t=63 V=4.02257 A=1.67416 W=6.73443 mAh_cumul=28.3728 Wh_cumul=0.114709 
t=64 V=4.02211 A=1.67416 W=6.73366 mAh_cumul=28.8379 Wh_cumul=0.11658 
t=65 V=4.02165 A=1.67417 W=6.73293 mAh_cumul=29.3029 Wh_cumul=0.11845 
t=66 V=4.02125 A=1.67416 W=6.73222 mAh_cumul=29.768 Wh_cumul=0.12032 
t=67 V=4.02079 A=1.67415 W=6.73141 mAh_cumul=30.233 Wh_cumul=0.12219 
t=68 V=4.02036 A=1.67415 W=6.73069 mAh_cumul=30.698 Wh_cumul=0.124059 
t=69 V=4.01992 A=1.67416 W=6.72999 mAh_cumul=31.1631 Wh_cumul=0.125929 
t=70 V=4.01949 A=1.67415 W=6.72923 mAh_cumul=31.6281 Wh_cumul=0.127798 
t=71 V=4.01908 A=1.67415 W=6.72854 mAh_cumul=32.0932 Wh_cumul=0.129667 
t=72 V=4.01871 A=1.67415 W=6.72792 mAh_cumul=32.5582 Wh_cumul=0.131536 
t=73 V=4.0183 A=1.67415 W=6.72724 mAh_cumul=33.0232 Wh_cumul=0.133405 
t=74 V=4.0179 A=1.67416 W=6.72661 mAh_cumul=33.4883 Wh_cumul=0.135273 
t=75 V=4.01747 A=1.67416 W=6.72589 mAh_cumul=33.9533 Wh_cumul=0.137141 
