0 errors cleared
t=0 V=4.15637 A=0.00944678 W=0.0392643 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.15632 A=0.00945127 W=0.0392825 mAh_cumul=0.00525071 Wh_cumul=2.18236e-05 
t=3 V=4.20218 A=0.562883 W=2.36534 mAh_cumul=0.161607 Wh_cumul=0.000678861 
t=4 V=4.20213 A=0.53735 W=2.25801 mAh_cumul=0.310871 Wh_cumul=0.00130609 
t=5 V=4.20216 A=0.52479 W=2.20525 mAh_cumul=0.456646 Wh_cumul=0.00191866 
t=6 V=4.20215 A=0.514704 W=2.16286 mAh_cumul=0.599619 Wh_cumul=0.00251945 
t=7 V=4.20214 A=0.506273 W=2.12743 mAh_cumul=0.740251 Wh_cumul=0.00311041 
t=8 V=4.20217 A=0.498787 W=2.09599 mAh_cumul=0.878803 Wh_cumul=0.00369262 
t=9 V=4.20218 A=0.491607 W=2.06582 mAh_cumul=1.01536 Wh_cumul=0.00426646 
t=10 V=4.20217 A=0.485269 W=2.03918 mAh_cumul=1.15016 Wh_cumul=0.0048329 
t=11 V=4.20216 A=0.479054 W=2.01306 mAh_cumul=1.28323 Wh_cumul=0.00539209 
t=12 V=4.20217 A=0.473431 W=1.98944 mAh_cumul=1.41474 Wh_cumul=0.00594471 
t=13 V=4.20212 A=0.467931 W=1.9663 mAh_cumul=1.54472 Wh_cumul=0.0064909 
t=14 V=4.20216 A=0.463222 W=1.94653 mAh_cumul=1.67339 Wh_cumul=0.00703161 
t=15 V=4.20219 A=0.458259 W=1.92569 mAh_cumul=1.80068 Wh_cumul=0.00756652 
t=16 V=4.20219 A=0.453844 W=1.90714 mAh_cumul=1.92675 Wh_cumul=0.00809628 
t=17 V=4.20216 A=0.44923 W=1.88774 mAh_cumul=2.05154 Wh_cumul=0.00862065 
t=18 V=4.20217 A=0.445481 W=1.87199 mAh_cumul=2.17528 Wh_cumul=0.00914065 
t=19 V=4.20218 A=0.441614 W=1.85574 mAh_cumul=2.29795 Wh_cumul=0.00965613 
t=20 V=4.20219 A=0.438236 W=1.84155 mAh_cumul=2.41969 Wh_cumul=0.0101677 
t=21 V=4.20217 A=0.434595 W=1.82624 mAh_cumul=2.54041 Wh_cumul=0.010675 
t=22 V=4.20219 A=0.431434 W=1.81297 mAh_cumul=2.66025 Wh_cumul=0.0111786 
t=23 V=4.20218 A=0.427952 W=1.79833 mAh_cumul=2.77912 Wh_cumul=0.0116781 
t=24 V=4.20215 A=0.425064 W=1.78618 mAh_cumul=2.8972 Wh_cumul=0.0121743 
t=25 V=4.20217 A=0.421864 W=1.77274 mAh_cumul=3.01438 Wh_cumul=0.0126667 
t=26 V=4.20219 A=0.418997 W=1.76071 mAh_cumul=3.13077 Wh_cumul=0.0131558 
t=27 V=4.2022 A=0.41596 W=1.74795 mAh_cumul=3.24631 Wh_cumul=0.0136413 
t=28 V=4.20217 A=0.413185 W=1.73627 mAh_cumul=3.36109 Wh_cumul=0.0141236 
t=29 V=4.2022 A=0.410521 W=1.72509 mAh_cumul=3.47512 Wh_cumul=0.0146028 
t=30 V=4.20218 A=0.408112 W=1.71496 mAh_cumul=3.58849 Wh_cumul=0.0150792 
t=31 V=4.2022 A=0.405533 W=1.70413 mAh_cumul=3.70113 Wh_cumul=0.0155526 
t=32 V=4.2022 A=0.402809 W=1.69268 mAh_cumul=3.81303 Wh_cumul=0.0160227 
t=33 V=4.20219 A=0.400223 W=1.68181 mAh_cumul=3.9242 Wh_cumul=0.0164899 
t=34 V=4.20217 A=0.397783 W=1.67155 mAh_cumul=4.03469 Wh_cumul=0.0169542 
t=35 V=4.20219 A=0.395657 W=1.66263 mAh_cumul=4.1446 Wh_cumul=0.0174161 
t=36 V=4.20221 A=0.393428 W=1.65327 mAh_cumul=4.25388 Wh_cumul=0.0178753 
t=37 V=4.20219 A=0.390997 W=1.64304 mAh_cumul=4.36249 Wh_cumul=0.0183317 
t=38 V=4.20221 A=0.388899 W=1.63424 mAh_cumul=4.47052 Wh_cumul=0.0187857 
t=39 V=4.20221 A=0.386676 W=1.62489 mAh_cumul=4.57793 Wh_cumul=0.019237 
t=40 V=4.20221 A=0.384555 W=1.61598 mAh_cumul=4.68475 Wh_cumul=0.0196859 
t=41 V=4.20215 A=0.382311 W=1.60653 mAh_cumul=4.79095 Wh_cumul=0.0201322 
t=42 V=4.20217 A=0.380173 W=1.59755 mAh_cumul=4.89655 Wh_cumul=0.0205759 
t=43 V=4.20218 A=0.377995 W=1.5884 mAh_cumul=5.00155 Wh_cumul=0.0210172 
t=44 V=4.20218 A=0.376372 W=1.58158 mAh_cumul=5.1061 Wh_cumul=0.0214565 
t=45 V=4.20219 A=0.37446 W=1.57355 mAh_cumul=5.21012 Wh_cumul=0.0218936 
t=46 V=4.20219 A=0.372516 W=1.56538 mAh_cumul=5.31359 Wh_cumul=0.0223284 
t=47 V=4.20219 A=0.370476 W=1.55681 mAh_cumul=5.4165 Wh_cumul=0.0227609 
t=48 V=4.20216 A=0.36874 W=1.5495 mAh_cumul=5.51893 Wh_cumul=0.0231913 
t=49 V=4.20219 A=0.366898 W=1.54178 mAh_cumul=5.62085 Wh_cumul=0.0236196 
t=50 V=4.20215 A=0.365105 W=1.53423 mAh_cumul=5.72227 Wh_cumul=0.0240457 
t=51 V=4.20215 A=0.3632 W=1.52622 mAh_cumul=5.82315 Wh_cumul=0.0244697 
t=52 V=4.20215 A=0.361702 W=1.51993 mAh_cumul=5.92363 Wh_cumul=0.0248919 
t=53 V=4.20218 A=0.360167 W=1.51349 mAh_cumul=6.02367 Wh_cumul=0.0253123 
t=54 V=4.20214 A=0.358229 W=1.50533 mAh_cumul=6.12318 Wh_cumul=0.0257304 
t=55 V=4.20213 A=0.356412 W=1.49769 mAh_cumul=6.22219 Wh_cumul=0.0261465 
t=56 V=4.20215 A=0.355062 W=1.49202 mAh_cumul=6.32081 Wh_cumul=0.0265609 
t=57 V=4.20217 A=0.353583 W=1.48582 mAh_cumul=6.41903 Wh_cumul=0.0269736 
t=58 V=4.20217 A=0.352021 W=1.47925 mAh_cumul=6.51681 Wh_cumul=0.0273845 
t=59 V=4.20215 A=0.350126 W=1.47128 mAh_cumul=6.61407 Wh_cumul=0.0277932 
t=60 V=4.20215 A=0.348767 W=1.46557 mAh_cumul=6.71095 Wh_cumul=0.0282003 
t=61 V=4.20215 A=0.347232 W=1.45912 mAh_cumul=6.80741 Wh_cumul=0.0286056 
t=62 V=4.20214 A=0.345855 W=1.45333 mAh_cumul=6.90348 Wh_cumul=0.0290094 
t=63 V=4.20215 A=0.344544 W=1.44783 mAh_cumul=6.99918 Wh_cumul=0.0294115 
t=64 V=4.20217 A=0.34327 W=1.44248 mAh_cumul=7.09454 Wh_cumul=0.0298122 
t=65 V=4.20214 A=0.341873 W=1.4366 mAh_cumul=7.1895 Wh_cumul=0.0302113 
t=66 V=4.20219 A=0.340765 W=1.43196 mAh_cumul=7.28416 Wh_cumul=0.030609 
t=67 V=4.20218 A=0.339315 W=1.42586 mAh_cumul=7.37841 Wh_cumul=0.0310051 
t=68 V=4.20217 A=0.338057 W=1.42057 mAh_cumul=7.47232 Wh_cumul=0.0313997 
t=69 V=4.20219 A=0.336905 W=1.41574 mAh_cumul=7.5659 Wh_cumul=0.031793 
t=70 V=4.20219 A=0.335457 W=1.40965 mAh_cumul=7.65908 Wh_cumul=0.0321845 
