0 errors cleared
t=0 V=3.63159 A=0.00826611 W=0.0300191 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.63162 A=0.00826849 W=0.030028 mAh_cumul=0.00459361 Wh_cumul=1.66822e-05 
t=3 V=3.7341 A=1.67522 W=6.25544 mAh_cumul=0.469932 Wh_cumul=0.0017543 
t=4 V=3.73911 A=1.67499 W=6.26297 mAh_cumul=0.935207 Wh_cumul=0.00349402 
t=5 V=3.74157 A=1.67494 W=6.26691 mAh_cumul=1.40047 Wh_cumul=0.00523483 
t=6 V=3.7436 A=1.67492 W=6.27023 mAh_cumul=1.86572 Wh_cumul=0.00697656 
t=7 V=3.74522 A=1.67492 W=6.27294 mAh_cumul=2.33098 Wh_cumul=0.00871904 
t=8 V=3.74679 A=1.67491 W=6.27554 mAh_cumul=2.79623 Wh_cumul=0.0104622 
t=9 V=3.74823 A=1.6749 W=6.27791 mAh_cumul=3.26148 Wh_cumul=0.0122061 
t=10 V=3.74956 A=1.67489 W=6.2801 mAh_cumul=3.72673 Wh_cumul=0.0139506 
t=11 V=3.75084 A=1.6749 W=6.28228 mAh_cumul=4.19198 Wh_cumul=0.0156957 
t=12 V=3.75202 A=1.67489 W=6.28422 mAh_cumul=4.65723 Wh_cumul=0.0174413 
t=13 V=3.7532 A=1.67489 W=6.2862 mAh_cumul=5.12247 Wh_cumul=0.0191874 
t=14 V=3.75425 A=1.67488 W=6.28792 mAh_cumul=5.58772 Wh_cumul=0.0209341 
t=15 V=3.7553 A=1.67487 W=6.28964 mAh_cumul=6.05296 Wh_cumul=0.0226812 
t=16 V=3.75636 A=1.67488 W=6.29145 mAh_cumul=6.5182 Wh_cumul=0.0244288 
t=17 V=3.75736 A=1.67487 W=6.29309 mAh_cumul=6.98345 Wh_cumul=0.0261769 
t=18 V=3.75831 A=1.67489 W=6.29476 mAh_cumul=7.44869 Wh_cumul=0.0279255 
t=19 V=3.75927 A=1.67489 W=6.29636 mAh_cumul=7.91394 Wh_cumul=0.0296744 
t=20 V=3.76018 A=1.67489 W=6.29789 mAh_cumul=8.37919 Wh_cumul=0.0314239 
t=21 V=3.76107 A=1.67488 W=6.29934 mAh_cumul=8.84443 Wh_cumul=0.0331737 
t=22 V=3.7619 A=1.67488 W=6.30073 mAh_cumul=9.30968 Wh_cumul=0.0349239 
t=23 V=3.76276 A=1.67487 W=6.30213 mAh_cumul=9.77492 Wh_cumul=0.0366745 
t=24 V=3.76362 A=1.67488 W=6.30361 mAh_cumul=10.2402 Wh_cumul=0.0384255 
t=25 V=3.76442 A=1.67488 W=6.30495 mAh_cumul=10.7054 Wh_cumul=0.0401769 
t=26 V=3.76516 A=1.67488 W=6.30619 mAh_cumul=11.1707 Wh_cumul=0.0419286 
t=27 V=3.76595 A=1.67487 W=6.30748 mAh_cumul=11.6359 Wh_cumul=0.0436806 
t=28 V=3.76671 A=1.67487 W=6.30875 mAh_cumul=12.1011 Wh_cumul=0.0454331 
t=29 V=3.76742 A=1.67487 W=6.30994 mAh_cumul=12.5664 Wh_cumul=0.0471858 
