0 errors cleared
t=0 V=2.90825 A=0.00660133 W=0.0191983 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.90915 A=0.00660502 W=0.019215 mAh_cumul=0.00366946 Wh_cumul=1.0675e-05 
t=3 V=3.00974 A=1.67524 W=5.04204 mAh_cumul=0.469014 Wh_cumul=0.00141124 
t=4 V=3.06617 A=1.67498 W=5.13577 mAh_cumul=0.934286 Wh_cumul=0.00283784 
t=5 V=3.08398 A=1.67494 W=5.16548 mAh_cumul=1.39955 Wh_cumul=0.0042727 
t=6 V=3.09525 A=1.67492 W=5.1843 mAh_cumul=1.8648 Wh_cumul=0.00571278 
t=7 V=3.104 A=1.67492 W=5.19895 mAh_cumul=2.33006 Wh_cumul=0.00715694 
t=8 V=3.1116 A=1.67491 W=5.21165 mAh_cumul=2.79531 Wh_cumul=0.00860462 
t=9 V=3.11825 A=1.6749 W=5.22276 mAh_cumul=3.26056 Wh_cumul=0.0100554 
t=10 V=3.12436 A=1.67489 W=5.23296 mAh_cumul=3.72581 Wh_cumul=0.011509 
t=11 V=3.13004 A=1.67489 W=5.24247 mAh_cumul=4.19106 Wh_cumul=0.0129652 
t=12 V=3.1352 A=1.67488 W=5.25108 mAh_cumul=4.6563 Wh_cumul=0.0144239 
t=13 V=3.14027 A=1.67488 W=5.25958 mAh_cumul=5.12154 Wh_cumul=0.0158849 
t=14 V=3.1451 A=1.67488 W=5.26767 mAh_cumul=5.58679 Wh_cumul=0.0173481 
t=15 V=3.14968 A=1.67489 W=5.27537 mAh_cumul=6.05204 Wh_cumul=0.0188135 
t=16 V=3.15407 A=1.67489 W=5.28272 mAh_cumul=6.51728 Wh_cumul=0.0202809 
t=17 V=3.15842 A=1.67489 W=5.29001 mAh_cumul=6.98253 Wh_cumul=0.0217503 
t=18 V=3.16259 A=1.67489 W=5.29699 mAh_cumul=7.44778 Wh_cumul=0.0232217 
t=19 V=3.16656 A=1.67487 W=5.30358 mAh_cumul=7.91302 Wh_cumul=0.0246949 
t=20 V=3.1703 A=1.67488 W=5.30987 mAh_cumul=8.37826 Wh_cumul=0.0261699 
t=21 V=3.17405 A=1.67488 W=5.31615 mAh_cumul=8.84351 Wh_cumul=0.0276466 
t=22 V=3.17776 A=1.67489 W=5.3224 mAh_cumul=9.30876 Wh_cumul=0.0291251 
t=23 V=3.18139 A=1.67489 W=5.32848 mAh_cumul=9.774 Wh_cumul=0.0306052 
t=24 V=3.18489 A=1.67487 W=5.33428 mAh_cumul=10.2392 Wh_cumul=0.0320869 
t=25 V=3.18832 A=1.67488 W=5.34005 mAh_cumul=10.7045 Wh_cumul=0.0335703 
t=26 V=3.19168 A=1.67487 W=5.34565 mAh_cumul=11.1697 Wh_cumul=0.0350552 
t=27 V=3.19494 A=1.67487 W=5.35111 mAh_cumul=11.635 Wh_cumul=0.0365416 
t=28 V=3.19811 A=1.67488 W=5.35645 mAh_cumul=12.1002 Wh_cumul=0.0380295 
t=29 V=3.20125 A=1.67488 W=5.36171 mAh_cumul=12.5655 Wh_cumul=0.0395189 
t=30 V=3.20439 A=1.67488 W=5.36697 mAh_cumul=13.0307 Wh_cumul=0.0410097 
t=31 V=3.2074 A=1.67488 W=5.37201 mAh_cumul=13.496 Wh_cumul=0.0425019 
t=32 V=3.21046 A=1.67487 W=5.3771 mAh_cumul=13.9612 Wh_cumul=0.0439956 
t=33 V=3.21326 A=1.67487 W=5.38179 mAh_cumul=14.4264 Wh_cumul=0.0454905 
t=34 V=3.21612 A=1.67488 W=5.38662 mAh_cumul=14.8917 Wh_cumul=0.0469868 
t=35 V=3.21884 A=1.67487 W=5.39114 mAh_cumul=15.3569 Wh_cumul=0.0484843 
t=36 V=3.22157 A=1.67488 W=5.39574 mAh_cumul=15.8222 Wh_cumul=0.0499831 
t=37 V=3.22429 A=1.67488 W=5.4003 mAh_cumul=16.2874 Wh_cumul=0.0514832 
t=38 V=3.22699 A=1.67487 W=5.40479 mAh_cumul=16.7527 Wh_cumul=0.0529846 
t=39 V=3.22964 A=1.67487 W=5.40923 mAh_cumul=17.2179 Wh_cumul=0.0544871 
t=40 V=3.23231 A=1.67487 W=5.4137 mAh_cumul=17.6831 Wh_cumul=0.0559909 
t=41 V=3.23489 A=1.67488 W=5.41805 mAh_cumul=18.1484 Wh_cumul=0.0574959 
t=42 V=3.23741 A=1.67487 W=5.42224 mAh_cumul=18.6136 Wh_cumul=0.0590021 
t=43 V=3.23995 A=1.67488 W=5.42653 mAh_cumul=19.0789 Wh_cumul=0.0605095 
t=44 V=3.2425 A=1.67487 W=5.43077 mAh_cumul=19.5441 Wh_cumul=0.062018 
t=45 V=3.24481 A=1.67487 W=5.43463 mAh_cumul=20.0093 Wh_cumul=0.0635277 
t=46 V=3.24721 A=1.67488 W=5.43869 mAh_cumul=20.4746 Wh_cumul=0.0650384 
t=47 V=3.24958 A=1.67487 W=5.44262 mAh_cumul=20.9398 Wh_cumul=0.0665502 
t=48 V=3.25198 A=1.67487 W=5.44664 mAh_cumul=21.4051 Wh_cumul=0.0680632 
t=49 V=3.25429 A=1.67487 W=5.45051 mAh_cumul=21.8703 Wh_cumul=0.0695772 
t=50 V=3.2566 A=1.67487 W=5.45438 mAh_cumul=22.3356 Wh_cumul=0.0710923 
t=51 V=3.25882 A=1.67488 W=5.45813 mAh_cumul=22.8008 Wh_cumul=0.0726085 
t=52 V=3.26113 A=1.67487 W=5.46197 mAh_cumul=23.266 Wh_cumul=0.0741257 
t=53 V=3.26334 A=1.67487 W=5.46567 mAh_cumul=23.7313 Wh_cumul=0.0756439 
t=54 V=3.26556 A=1.67487 W=5.46939 mAh_cumul=24.1965 Wh_cumul=0.0771632 
t=55 V=3.26773 A=1.67487 W=5.47302 mAh_cumul=24.6618 Wh_cumul=0.0786835 
t=56 V=3.26986 A=1.67486 W=5.47656 mAh_cumul=25.127 Wh_cumul=0.0802048 
t=57 V=3.27204 A=1.67487 W=5.48024 mAh_cumul=25.5923 Wh_cumul=0.0817271 
t=58 V=3.27406 A=1.67487 W=5.48362 mAh_cumul=26.0575 Wh_cumul=0.0832503 
t=59 V=3.27614 A=1.67488 W=5.48714 mAh_cumul=26.5227 Wh_cumul=0.0847745 
t=60 V=3.27824 A=1.67487 W=5.49063 mAh_cumul=26.988 Wh_cumul=0.0862997 
t=61 V=3.28025 A=1.67487 W=5.49399 mAh_cumul=27.4532 Wh_cumul=0.0878258 
t=62 V=3.28231 A=1.67487 W=5.49744 mAh_cumul=27.9185 Wh_cumul=0.0893528 
t=63 V=3.28427 A=1.67487 W=5.50073 mAh_cumul=28.3837 Wh_cumul=0.0908808 
t=64 V=3.28623 A=1.67487 W=5.50401 mAh_cumul=28.8489 Wh_cumul=0.0924097 
t=65 V=3.28822 A=1.67488 W=5.50737 mAh_cumul=29.3142 Wh_cumul=0.0939395 
t=66 V=3.29012 A=1.67488 W=5.51056 mAh_cumul=29.7794 Wh_cumul=0.0954702 
t=67 V=3.29207 A=1.67487 W=5.51379 mAh_cumul=30.2447 Wh_cumul=0.0970019 
t=68 V=3.29394 A=1.67487 W=5.51692 mAh_cumul=30.7099 Wh_cumul=0.0985343 
t=69 V=3.29564 A=1.67486 W=5.51974 mAh_cumul=31.1752 Wh_cumul=0.100068 
t=70 V=3.29748 A=1.67487 W=5.52285 mAh_cumul=31.6404 Wh_cumul=0.101602 
t=71 V=3.29936 A=1.67487 W=5.526 mAh_cumul=32.1056 Wh_cumul=0.103137 
t=72 V=3.30117 A=1.67487 W=5.52903 mAh_cumul=32.5709 Wh_cumul=0.104673 
t=73 V=3.303 A=1.67488 W=5.53213 mAh_cumul=33.0361 Wh_cumul=0.106209 
t=74 V=3.30482 A=1.67488 W=5.53518 mAh_cumul=33.5014 Wh_cumul=0.107747 
t=75 V=3.30659 A=1.67487 W=5.53811 mAh_cumul=33.9666 Wh_cumul=0.109285 
t=76 V=3.30836 A=1.67488 W=5.54111 mAh_cumul=34.4319 Wh_cumul=0.110824 
t=77 V=3.31009 A=1.67488 W=5.544 mAh_cumul=34.8971 Wh_cumul=0.112364 
