0 errors cleared
t=0 V=4.18401 A=0.00951361 W=0.039805 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18393 A=0.00951284 W=0.0398011 mAh_cumul=0.00528491 Wh_cumul=2.21117e-05 
t=3 V=4.09001 A=1.6742 W=6.84749 mAh_cumul=0.47034 Wh_cumul=0.00192419 
t=4 V=4.07887 A=1.67414 W=6.8286 mAh_cumul=0.935379 Wh_cumul=0.00382103 
t=5 V=4.07584 A=1.67412 W=6.82345 mAh_cumul=1.40041 Wh_cumul=0.00571643 
t=6 V=4.07334 A=1.6741 W=6.81918 mAh_cumul=1.86544 Wh_cumul=0.00761064 
t=7 V=4.07122 A=1.67411 W=6.81567 mAh_cumul=2.33047 Wh_cumul=0.00950389 
t=8 V=4.06928 A=1.67411 W=6.81242 mAh_cumul=2.7955 Wh_cumul=0.0113962 
t=9 V=4.0675 A=1.6741 W=6.8094 mAh_cumul=3.26053 Wh_cumul=0.0132877 
t=10 V=4.06585 A=1.67411 W=6.80668 mAh_cumul=3.72556 Wh_cumul=0.0151785 
t=11 V=4.06435 A=1.6741 W=6.80413 mAh_cumul=4.19059 Wh_cumul=0.0170685 
t=12 V=4.06288 A=1.67411 W=6.80171 mAh_cumul=4.65562 Wh_cumul=0.0189579 
t=13 V=4.06151 A=1.67412 W=6.79946 mAh_cumul=5.12065 Wh_cumul=0.0208466 
t=14 V=4.0603 A=1.67411 W=6.79739 mAh_cumul=5.58568 Wh_cumul=0.0227348 
t=15 V=4.05911 A=1.6741 W=6.79536 mAh_cumul=6.05071 Wh_cumul=0.0246224 
t=16 V=4.05789 A=1.67411 W=6.79335 mAh_cumul=6.51574 Wh_cumul=0.0265094 
t=17 V=4.05677 A=1.67412 W=6.79152 mAh_cumul=6.98077 Wh_cumul=0.0283959 
t=18 V=4.05567 A=1.67411 W=6.78964 mAh_cumul=7.4458 Wh_cumul=0.030282 
t=19 V=4.05464 A=1.6741 W=6.78787 mAh_cumul=7.91083 Wh_cumul=0.0321675 
t=20 V=4.0536 A=1.67411 W=6.78617 mAh_cumul=8.37586 Wh_cumul=0.0340525 
t=21 V=4.05259 A=1.67412 W=6.78452 mAh_cumul=8.8409 Wh_cumul=0.0359371 
t=22 V=4.05162 A=1.6741 W=6.78282 mAh_cumul=9.30592 Wh_cumul=0.0378212 
t=23 V=4.05076 A=1.67412 W=6.78146 mAh_cumul=9.77096 Wh_cumul=0.039705 
t=24 V=4.04984 A=1.67412 W=6.77992 mAh_cumul=10.236 Wh_cumul=0.0415883 
t=25 V=4.04894 A=1.67412 W=6.77841 mAh_cumul=10.701 Wh_cumul=0.0434712 
t=26 V=4.04807 A=1.67412 W=6.77695 mAh_cumul=11.1661 Wh_cumul=0.0453537 
t=27 V=4.0472 A=1.67412 W=6.7755 mAh_cumul=11.6311 Wh_cumul=0.0472357 
t=28 V=4.04642 A=1.67411 W=6.77415 mAh_cumul=12.0961 Wh_cumul=0.0491175 
t=29 V=4.04562 A=1.67411 W=6.77281 mAh_cumul=12.5612 Wh_cumul=0.0509988 
t=30 V=4.0448 A=1.67413 W=6.77152 mAh_cumul=13.0262 Wh_cumul=0.0528798 
t=31 V=4.04406 A=1.67412 W=6.77024 mAh_cumul=13.4912 Wh_cumul=0.0547604 
t=32 V=4.04335 A=1.67411 W=6.76901 mAh_cumul=13.9563 Wh_cumul=0.0566407 
t=33 V=4.04261 A=1.67413 W=6.76785 mAh_cumul=14.4213 Wh_cumul=0.0585206 
t=34 V=4.04191 A=1.67412 W=6.76664 mAh_cumul=14.8863 Wh_cumul=0.0604003 
t=35 V=4.04122 A=1.67412 W=6.76549 mAh_cumul=15.3514 Wh_cumul=0.0622796 
t=36 V=4.04052 A=1.67412 W=6.76432 mAh_cumul=15.8164 Wh_cumul=0.0641585 
t=37 V=4.03985 A=1.67412 W=6.76319 mAh_cumul=16.2814 Wh_cumul=0.0660372 
t=38 V=4.03923 A=1.67413 W=6.7622 mAh_cumul=16.7465 Wh_cumul=0.0679156 
t=39 V=4.0386 A=1.67413 W=6.76114 mAh_cumul=17.2115 Wh_cumul=0.0697937 
t=40 V=4.03796 A=1.67413 W=6.76007 mAh_cumul=17.6765 Wh_cumul=0.0716715 
t=41 V=4.03729 A=1.67412 W=6.75891 mAh_cumul=18.1416 Wh_cumul=0.0735489 
t=42 V=4.0367 A=1.67413 W=6.75796 mAh_cumul=18.6066 Wh_cumul=0.0754262 
t=43 V=4.03612 A=1.67412 W=6.75695 mAh_cumul=19.0716 Wh_cumul=0.0773031 
t=44 V=4.0355 A=1.67412 W=6.75591 mAh_cumul=19.5367 Wh_cumul=0.0791797 
t=45 V=4.03493 A=1.67414 W=6.75504 mAh_cumul=20.0017 Wh_cumul=0.0810561 
t=46 V=4.03437 A=1.67412 W=6.75402 mAh_cumul=20.4667 Wh_cumul=0.0829322 
t=47 V=4.03385 A=1.67413 W=6.75319 mAh_cumul=20.9318 Wh_cumul=0.0848081 
t=48 V=4.03338 A=1.67413 W=6.7524 mAh_cumul=21.3968 Wh_cumul=0.0866838 
t=49 V=4.03284 A=1.67413 W=6.7515 mAh_cumul=21.8618 Wh_cumul=0.0885592 
t=50 V=4.03232 A=1.67412 W=6.75059 mAh_cumul=22.3269 Wh_cumul=0.0904344 
t=51 V=4.03182 A=1.67412 W=6.74975 mAh_cumul=22.7919 Wh_cumul=0.0923093 
t=52 V=4.0313 A=1.67413 W=6.74892 mAh_cumul=23.2569 Wh_cumul=0.094184 
t=53 V=4.03076 A=1.67413 W=6.74802 mAh_cumul=23.722 Wh_cumul=0.0960585 
t=54 V=4.03025 A=1.67413 W=6.74716 mAh_cumul=24.187 Wh_cumul=0.0979327 
t=55 V=4.02978 A=1.67413 W=6.74638 mAh_cumul=24.6521 Wh_cumul=0.0998067 
t=56 V=4.02925 A=1.67413 W=6.74549 mAh_cumul=25.1171 Wh_cumul=0.10168 
t=57 V=4.02881 A=1.67414 W=6.74479 mAh_cumul=25.5821 Wh_cumul=0.103554 
t=58 V=4.02832 A=1.67413 W=6.74393 mAh_cumul=26.0472 Wh_cumul=0.105427 
t=59 V=4.02781 A=1.67414 W=6.74312 mAh_cumul=26.5122 Wh_cumul=0.1073 
t=60 V=4.02737 A=1.67414 W=6.74238 mAh_cumul=26.9772 Wh_cumul=0.109173 
t=61 V=4.02688 A=1.67413 W=6.74152 mAh_cumul=27.4423 Wh_cumul=0.111046 
t=62 V=4.02645 A=1.67413 W=6.7408 mAh_cumul=27.9073 Wh_cumul=0.112918 
t=63 V=4.026 A=1.67414 W=6.74009 mAh_cumul=28.3724 Wh_cumul=0.114791 
t=64 V=4.02554 A=1.67413 W=6.73928 mAh_cumul=28.8374 Wh_cumul=0.116663 
t=65 V=4.02514 A=1.67413 W=6.73861 mAh_cumul=29.3024 Wh_cumul=0.118534 
t=66 V=4.02468 A=1.67413 W=6.73784 mAh_cumul=29.7675 Wh_cumul=0.120406 
t=67 V=4.02425 A=1.67413 W=6.73712 mAh_cumul=30.2325 Wh_cumul=0.122277 
t=68 V=4.02384 A=1.67414 W=6.73647 mAh_cumul=30.6975 Wh_cumul=0.124149 
t=69 V=4.02346 A=1.67414 W=6.73584 mAh_cumul=31.1626 Wh_cumul=0.12602 
t=70 V=4.02301 A=1.67413 W=6.73504 mAh_cumul=31.6276 Wh_cumul=0.127891 
t=71 V=4.02259 A=1.67413 W=6.73434 mAh_cumul=32.0927 Wh_cumul=0.129761 
t=72 V=4.02223 A=1.67414 W=6.73378 mAh_cumul=32.5577 Wh_cumul=0.131632 
t=73 V=4.02182 A=1.67414 W=6.73309 mAh_cumul=33.0227 Wh_cumul=0.133502 
t=74 V=4.0214 A=1.67413 W=6.73235 mAh_cumul=33.4878 Wh_cumul=0.135372 
t=75 V=4.02103 A=1.67413 W=6.73173 mAh_cumul=33.9528 Wh_cumul=0.137242 
t=76 V=4.02064 A=1.67413 W=6.73107 mAh_cumul=34.4178 Wh_cumul=0.139112 
t=77 V=4.02027 A=1.67415 W=6.73054 mAh_cumul=34.8829 Wh_cumul=0.140981 
t=78 V=4.01985 A=1.67414 W=6.72979 mAh_cumul=35.3479 Wh_cumul=0.142851 
t=79 V=4.01952 A=1.67412 W=6.72916 mAh_cumul=35.813 Wh_cumul=0.14472 
t=80 V=4.01916 A=1.67413 W=6.7286 mAh_cumul=36.278 Wh_cumul=0.146589 
t=81 V=4.01879 A=1.67411 W=6.7279 mAh_cumul=36.743 Wh_cumul=0.148458 
t=82 V=4.01842 A=1.67413 W=6.72736 mAh_cumul=37.2081 Wh_cumul=0.150327 
t=83 V=4.01809 A=1.67413 W=6.72681 mAh_cumul=37.6731 Wh_cumul=0.152195 
t=84 V=4.01772 A=1.67414 W=6.72623 mAh_cumul=38.1381 Wh_cumul=0.154064 
t=85 V=4.01735 A=1.67414 W=6.72561 mAh_cumul=38.6032 Wh_cumul=0.155932 
t=86 V=4.01699 A=1.67414 W=6.725 mAh_cumul=39.0682 Wh_cumul=0.1578 
t=87 V=4.01665 A=1.67413 W=6.72439 mAh_cumul=39.5332 Wh_cumul=0.159668 
t=88 V=4.01629 A=1.67414 W=6.72383 mAh_cumul=39.9983 Wh_cumul=0.161536 
t=89 V=4.01594 A=1.67413 W=6.72321 mAh_cumul=40.4633 Wh_cumul=0.163403 
t=90 V=4.01561 A=1.67413 W=6.72265 mAh_cumul=40.9284 Wh_cumul=0.16527 
t=91 V=4.01528 A=1.67413 W=6.7221 mAh_cumul=41.3934 Wh_cumul=0.167138 
t=92 V=4.01496 A=1.67412 W=6.72152 mAh_cumul=41.8584 Wh_cumul=0.169005 
t=93 V=4.01467 A=1.67413 W=6.72108 mAh_cumul=42.3235 Wh_cumul=0.170872 
t=94 V=4.01433 A=1.67414 W=6.72055 mAh_cumul=42.7885 Wh_cumul=0.172739 
t=95 V=4.01401 A=1.67414 W=6.72001 mAh_cumul=43.2535 Wh_cumul=0.174605 
t=96 V=4.01371 A=1.67411 W=6.71939 mAh_cumul=43.7186 Wh_cumul=0.176472 
t=97 V=4.01339 A=1.67414 W=6.71898 mAh_cumul=44.1836 Wh_cumul=0.178338 
t=98 V=4.01308 A=1.67413 W=6.71842 mAh_cumul=44.6486 Wh_cumul=0.180204 
t=99 V=4.0128 A=1.67413 W=6.71795 mAh_cumul=45.1137 Wh_cumul=0.18207 
t=100 V=4.01248 A=1.67414 W=6.71745 mAh_cumul=45.5787 Wh_cumul=0.183936 
t=101 V=4.01217 A=1.67414 W=6.71693 mAh_cumul=46.0438 Wh_cumul=0.185802 
t=102 V=4.01186 A=1.67411 W=6.71629 mAh_cumul=46.5088 Wh_cumul=0.187668 
t=103 V=4.01154 A=1.67414 W=6.71588 mAh_cumul=46.9738 Wh_cumul=0.189533 
t=104 V=4.01127 A=1.67414 W=6.71543 mAh_cumul=47.4389 Wh_cumul=0.191399 
t=105 V=4.01096 A=1.67414 W=6.71491 mAh_cumul=47.9039 Wh_cumul=0.193264 
t=106 V=4.01068 A=1.67414 W=6.71444 mAh_cumul=48.3689 Wh_cumul=0.195129 
t=107 V=4.01039 A=1.67414 W=6.71395 mAh_cumul=48.834 Wh_cumul=0.196994 
t=108 V=4.01011 A=1.67415 W=6.71353 mAh_cumul=49.299 Wh_cumul=0.198859 
t=109 V=4.00985 A=1.67414 W=6.71305 mAh_cumul=49.7641 Wh_cumul=0.200724 
t=110 V=4.00956 A=1.67414 W=6.71256 mAh_cumul=50.2291 Wh_cumul=0.202588 
t=111 V=4.00928 A=1.67415 W=6.71214 mAh_cumul=50.6941 Wh_cumul=0.204453 
t=112 V=4.00901 A=1.67414 W=6.71164 mAh_cumul=51.1592 Wh_cumul=0.206317 
t=113 V=4.00873 A=1.67414 W=6.71118 mAh_cumul=51.6242 Wh_cumul=0.208181 
t=114 V=4.00845 A=1.67414 W=6.71071 mAh_cumul=52.0893 Wh_cumul=0.210046 
t=115 V=4.00818 A=1.67414 W=6.71025 mAh_cumul=52.5543 Wh_cumul=0.211909 
t=116 V=4.00789 A=1.67415 W=6.70981 mAh_cumul=53.0193 Wh_cumul=0.213773 
t=117 V=4.00765 A=1.67414 W=6.70937 mAh_cumul=53.4844 Wh_cumul=0.215637 
t=118 V=4.00733 A=1.67415 W=6.70887 mAh_cumul=53.9494 Wh_cumul=0.217501 
t=119 V=4.00711 A=1.67414 W=6.70846 mAh_cumul=54.4145 Wh_cumul=0.219364 
t=120 V=4.00684 A=1.67416 W=6.70809 mAh_cumul=54.8795 Wh_cumul=0.221227 
t=121 V=4.00655 A=1.67416 W=6.70761 mAh_cumul=55.3445 Wh_cumul=0.223091 
t=122 V=4.00631 A=1.67414 W=6.70712 mAh_cumul=55.8096 Wh_cumul=0.224954  r_start 
t=123 V=4.02045 A=1.42287 W=5.72058 mAh_cumul=56.2048 Wh_cumul=0.226543 
t=124 V=4.02071 A=1.42287 W=5.72095 mAh_cumul=56.6001 Wh_cumul=0.228132 
t=125 V=4.02073 A=1.42288 W=5.72102 mAh_cumul=56.9953 Wh_cumul=0.229721 
t=126 V=4.02074 A=1.42287 W=5.72099 mAh_cumul=57.3906 Wh_cumul=0.23131 
t=127 V=4.02068 A=1.42288 W=5.72095 mAh_cumul=57.7858 Wh_cumul=0.232899 
t=128 V=4.02062 A=1.42288 W=5.72086 mAh_cumul=58.181 Wh_cumul=0.234489 
t=129 V=4.02056 A=1.42288 W=5.72077 mAh_cumul=58.5763 Wh_cumul=0.236078 
t=130 V=4.02046 A=1.42287 W=5.72059 mAh_cumul=58.9715 Wh_cumul=0.237667 
t=131 V=4.02036 A=1.42288 W=5.72049 mAh_cumul=59.3668 Wh_cumul=0.239256 
t=132 V=4.02027 A=1.42288 W=5.72036 mAh_cumul=59.762 Wh_cumul=0.240845  r_2 
t=133 V=3.97736 A=2.1766 W=8.65712 mAh_cumul=60.3666 Wh_cumul=0.243249 
t=134 V=3.97589 A=2.17661 W=8.65396 mAh_cumul=60.9712 Wh_cumul=0.245653 
t=135 V=3.97491 A=2.17659 W=8.65175 mAh_cumul=61.5759 Wh_cumul=0.248057 
t=136 V=3.9741 A=2.17659 W=8.64999 mAh_cumul=62.1805 Wh_cumul=0.250459 
t=137 V=3.97333 A=2.1766 W=8.64835 mAh_cumul=62.7851 Wh_cumul=0.252862 
t=138 V=3.97263 A=2.1766 W=8.64683 mAh_cumul=63.3897 Wh_cumul=0.255264 
t=139 V=3.972 A=2.17661 W=8.64549 mAh_cumul=63.9943 Wh_cumul=0.257665 
t=140 V=3.97141 A=2.1766 W=8.64417 mAh_cumul=64.5989 Wh_cumul=0.260066 
t=141 V=3.97082 A=2.1766 W=8.64289 mAh_cumul=65.2035 Wh_cumul=0.262467 
t=142 V=3.97027 A=2.1766 W=8.64169 mAh_cumul=65.8081 Wh_cumul=0.264868  r_3 
t=143 V=4.01229 A=1.42288 W=5.70901 mAh_cumul=66.2034 Wh_cumul=0.266453 
t=144 V=4.0132 A=1.42287 W=5.71026 mAh_cumul=66.5986 Wh_cumul=0.26804 
t=145 V=4.01358 A=1.42288 W=5.71084 mAh_cumul=66.9939 Wh_cumul=0.269626 
t=146 V=4.01385 A=1.42287 W=5.71119 mAh_cumul=67.3891 Wh_cumul=0.271212 
t=147 V=4.014 A=1.42288 W=5.71144 mAh_cumul=67.7843 Wh_cumul=0.272799 
t=148 V=4.01408 A=1.42289 W=5.71159 mAh_cumul=68.1796 Wh_cumul=0.274385 
t=149 V=4.01415 A=1.42288 W=5.71165 mAh_cumul=68.5748 Wh_cumul=0.275972 
t=150 V=4.01419 A=1.42288 W=5.71171 mAh_cumul=68.9701 Wh_cumul=0.277559 
t=151 V=4.01421 A=1.42288 W=5.71174 mAh_cumul=69.3653 Wh_cumul=0.279145 
t=152 V=4.0142 A=1.42287 W=5.71168 mAh_cumul=69.7606 Wh_cumul=0.280732  r_end r=0.0623105 
t=153 V=3.9999 A=1.67415 W=6.69643 mAh_cumul=70.2256 Wh_cumul=0.282592 
t=154 V=3.99939 A=1.67416 W=6.69562 mAh_cumul=70.6907 Wh_cumul=0.284452 
t=155 V=3.99905 A=1.67415 W=6.69501 mAh_cumul=71.1557 Wh_cumul=0.286311 
t=156 V=3.99874 A=1.67413 W=6.69441 mAh_cumul=71.6207 Wh_cumul=0.288171 
t=157 V=3.99852 A=1.67414 W=6.69408 mAh_cumul=72.0858 Wh_cumul=0.290031 
t=158 V=3.99823 A=1.67414 W=6.6936 mAh_cumul=72.5508 Wh_cumul=0.29189 
t=159 V=3.99802 A=1.67414 W=6.69325 mAh_cumul=73.0159 Wh_cumul=0.293749 
t=160 V=3.99776 A=1.67415 W=6.69285 mAh_cumul=73.4809 Wh_cumul=0.295608 
t=161 V=3.99759 A=1.67414 W=6.69253 mAh_cumul=73.9459 Wh_cumul=0.297467 
t=162 V=3.99735 A=1.67414 W=6.69212 mAh_cumul=74.411 Wh_cumul=0.299326 
t=163 V=3.9971 A=1.67414 W=6.6917 mAh_cumul=74.876 Wh_cumul=0.301185 
t=164 V=3.99689 A=1.67415 W=6.69139 mAh_cumul=75.3411 Wh_cumul=0.303044 
t=165 V=3.99666 A=1.67415 W=6.69101 mAh_cumul=75.8061 Wh_cumul=0.304902 
t=166 V=3.99646 A=1.67415 W=6.69067 mAh_cumul=76.2711 Wh_cumul=0.306761 
t=167 V=3.99625 A=1.67415 W=6.69032 mAh_cumul=76.7362 Wh_cumul=0.308619 
t=168 V=3.99605 A=1.67414 W=6.68995 mAh_cumul=77.2012 Wh_cumul=0.310478 
t=169 V=3.99583 A=1.67415 W=6.68962 mAh_cumul=77.6663 Wh_cumul=0.312336 
t=170 V=3.99563 A=1.67416 W=6.68932 mAh_cumul=78.1313 Wh_cumul=0.314194 
t=171 V=3.99543 A=1.67415 W=6.68895 mAh_cumul=78.5963 Wh_cumul=0.316052 
t=172 V=3.9952 A=1.67415 W=6.68856 mAh_cumul=79.0614 Wh_cumul=0.31791 
t=173 V=3.99502 A=1.67415 W=6.68826 mAh_cumul=79.5264 Wh_cumul=0.319768 
t=174 V=3.99481 A=1.67415 W=6.68791 mAh_cumul=79.9915 Wh_cumul=0.321626 
t=175 V=3.99462 A=1.67415 W=6.68759 mAh_cumul=80.4565 Wh_cumul=0.323483 
t=176 V=3.99444 A=1.67415 W=6.68729 mAh_cumul=80.9216 Wh_cumul=0.325341 
t=177 V=3.99423 A=1.67415 W=6.68694 mAh_cumul=81.3866 Wh_cumul=0.327198 
t=178 V=3.99407 A=1.67415 W=6.68667 mAh_cumul=81.8516 Wh_cumul=0.329056 
t=179 V=3.99388 A=1.67414 W=6.68631 mAh_cumul=82.3167 Wh_cumul=0.330913 
t=180 V=3.99366 A=1.67416 W=6.68603 mAh_cumul=82.7817 Wh_cumul=0.33277 
t=181 V=3.9935 A=1.67414 W=6.68568 mAh_cumul=83.2468 Wh_cumul=0.334627 
t=182 V=3.99329 A=1.67415 W=6.68537 mAh_cumul=83.7118 Wh_cumul=0.336484 
t=183 V=3.99316 A=1.67416 W=6.68519 mAh_cumul=84.1768 Wh_cumul=0.338341 
t=184 V=3.99293 A=1.67416 W=6.6848 mAh_cumul=84.6419 Wh_cumul=0.340198 
