0 errors cleared
t=0 V=3.58497 A=0.00816956 W=0.0292876 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.58494 A=0.00816881 W=0.0292847 mAh_cumul=0.00453823 Wh_cumul=1.62693e-05 
t=3 V=3.59885 A=0.239108 W=0.860514 mAh_cumul=0.0709571 Wh_cumul=0.000255301 
t=4 V=3.59882 A=0.231967 W=0.834807 mAh_cumul=0.135392 Wh_cumul=0.000487192 
t=5 V=3.59883 A=0.227295 W=0.817996 mAh_cumul=0.19853 Wh_cumul=0.000714413 
t=6 V=3.59881 A=0.223052 W=0.802722 mAh_cumul=0.260489 Wh_cumul=0.000937391 
t=7 V=3.59887 A=0.219072 W=0.788412 mAh_cumul=0.321342 Wh_cumul=0.00115639 
t=8 V=3.5988 A=0.215758 W=0.77647 mAh_cumul=0.381275 Wh_cumul=0.00137208 
t=9 V=3.59884 A=0.212847 W=0.766002 mAh_cumul=0.440399 Wh_cumul=0.00158486 
t=10 V=3.59884 A=0.210307 W=0.756861 mAh_cumul=0.498818 Wh_cumul=0.0017951 
t=11 V=3.59885 A=0.207729 W=0.747586 mAh_cumul=0.55652 Wh_cumul=0.00200276 
t=12 V=3.59881 A=0.205505 W=0.739573 mAh_cumul=0.613605 Wh_cumul=0.0022082 
t=13 V=3.59885 A=0.203346 W=0.731812 mAh_cumul=0.67009 Wh_cumul=0.00241148 
t=14 V=3.59885 A=0.200952 W=0.723196 mAh_cumul=0.72591 Wh_cumul=0.00261237 
t=15 V=3.59882 A=0.199043 W=0.71632 mAh_cumul=0.7812 Wh_cumul=0.00281134 
t=16 V=3.59884 A=0.197318 W=0.710116 mAh_cumul=0.83601 Wh_cumul=0.0030086 
t=17 V=3.59884 A=0.195544 W=0.703732 mAh_cumul=0.890328 Wh_cumul=0.00320408 
t=18 V=3.59885 A=0.193981 W=0.698109 mAh_cumul=0.944212 Wh_cumul=0.003398 
t=19 V=3.59882 A=0.191952 W=0.690801 mAh_cumul=0.997532 Wh_cumul=0.00358989 
t=20 V=3.59886 A=0.190628 W=0.686043 mAh_cumul=1.05048 Wh_cumul=0.00378046 
t=21 V=3.59882 A=0.188945 W=0.679979 mAh_cumul=1.10297 Wh_cumul=0.00396934 
t=22 V=3.59886 A=0.187478 W=0.674707 mAh_cumul=1.15505 Wh_cumul=0.00415676 
t=23 V=3.59887 A=0.186013 W=0.669437 mAh_cumul=1.20672 Wh_cumul=0.00434271 
t=24 V=3.59885 A=0.184468 W=0.663873 mAh_cumul=1.25796 Wh_cumul=0.00452712 
t=25 V=3.59882 A=0.182927 W=0.658321 mAh_cumul=1.30877 Wh_cumul=0.00470999 
t=26 V=3.59886 A=0.181838 W=0.65441 mAh_cumul=1.35928 Wh_cumul=0.00489177 
t=27 V=3.59887 A=0.180758 W=0.650525 mAh_cumul=1.40949 Wh_cumul=0.00507247 
t=28 V=3.59883 A=0.179487 W=0.645943 mAh_cumul=1.45935 Wh_cumul=0.0052519 
t=29 V=3.59884 A=0.178199 W=0.64131 mAh_cumul=1.50885 Wh_cumul=0.00543004 
t=30 V=3.59883 A=0.17706 W=0.637209 mAh_cumul=1.55803 Wh_cumul=0.00560704 
t=31 V=3.59885 A=0.176107 W=0.633783 mAh_cumul=1.60695 Wh_cumul=0.00578309 
t=32 V=3.59884 A=0.175052 W=0.629984 mAh_cumul=1.65558 Wh_cumul=0.00595809 
t=33 V=3.59884 A=0.17414 W=0.626702 mAh_cumul=1.70395 Wh_cumul=0.00613217 
t=34 V=3.59888 A=0.173266 W=0.623564 mAh_cumul=1.75208 Wh_cumul=0.00630538 
t=35 V=3.59887 A=0.172215 W=0.619779 mAh_cumul=1.79992 Wh_cumul=0.00647755 
t=36 V=3.59883 A=0.171106 W=0.615781 mAh_cumul=1.84744 Wh_cumul=0.0066486 
t=37 V=3.59886 A=0.170179 W=0.61245 mAh_cumul=1.89472 Wh_cumul=0.00681872 
