0 errors cleared
t=0 V=3.53904 A=0.00804376 W=0.0284672 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.53902 A=0.00804474 W=0.0284705 mAh_cumul=0.0044693 Wh_cumul=1.58169e-05 
t=3 V=3.57531 A=1.30106 W=4.65169 mAh_cumul=0.365875 Wh_cumul=0.00130795 
t=4 V=3.5779 A=1.30085 W=4.65431 mAh_cumul=0.727222 Wh_cumul=0.00260082 
t=5 V=3.57948 A=1.30081 W=4.65622 mAh_cumul=1.08856 Wh_cumul=0.00389421 
t=6 V=3.58083 A=1.3008 W=4.65794 mAh_cumul=1.44989 Wh_cumul=0.00518809 
t=7 V=3.58201 A=1.3008 W=4.65948 mAh_cumul=1.81122 Wh_cumul=0.00648239 
t=8 V=3.58314 A=1.30078 W=4.66088 mAh_cumul=2.17255 Wh_cumul=0.00777707 
t=9 V=3.5841 A=1.30078 W=4.66213 mAh_cumul=2.53388 Wh_cumul=0.00907211 
t=10 V=3.58505 A=1.30078 W=4.66336 mAh_cumul=2.89521 Wh_cumul=0.0103675 
t=11 V=3.58594 A=1.30078 W=4.66452 mAh_cumul=3.25654 Wh_cumul=0.0116632 
t=12 V=3.58677 A=1.30078 W=4.6656 mAh_cumul=3.61786 Wh_cumul=0.0129592 
t=13 V=3.58756 A=1.30078 W=4.66663 mAh_cumul=3.97919 Wh_cumul=0.0142555 
t=14 V=3.58828 A=1.30077 W=4.66753 mAh_cumul=4.34052 Wh_cumul=0.015552 
t=15 V=3.589 A=1.30076 W=4.66843 mAh_cumul=4.70184 Wh_cumul=0.0168488 
t=16 V=3.58968 A=1.30076 W=4.66931 mAh_cumul=5.06316 Wh_cumul=0.0181458 
t=17 V=3.59032 A=1.30077 W=4.67018 mAh_cumul=5.42449 Wh_cumul=0.0194431 
t=18 V=3.59097 A=1.30076 W=4.67099 mAh_cumul=5.78581 Wh_cumul=0.0207406 
t=19 V=3.59155 A=1.30076 W=4.67174 mAh_cumul=6.14713 Wh_cumul=0.0220383 
t=20 V=3.59218 A=1.30075 W=4.67253 mAh_cumul=6.50845 Wh_cumul=0.0233362 
t=21 V=3.59273 A=1.30076 W=4.67328 mAh_cumul=6.86977 Wh_cumul=0.0246344 
t=22 V=3.59332 A=1.30076 W=4.67405 mAh_cumul=7.23109 Wh_cumul=0.0259327 
t=23 V=3.59384 A=1.30076 W=4.67472 mAh_cumul=7.59242 Wh_cumul=0.0272312 
t=24 V=3.59432 A=1.30076 W=4.67535 mAh_cumul=7.95374 Wh_cumul=0.0285299 
t=25 V=3.59479 A=1.30076 W=4.67596 mAh_cumul=8.31506 Wh_cumul=0.0298288 
t=26 V=3.59527 A=1.30075 W=4.67655 mAh_cumul=8.67638 Wh_cumul=0.0311279 
t=27 V=3.5957 A=1.30075 W=4.67711 mAh_cumul=9.0377 Wh_cumul=0.0324271 
t=28 V=3.59614 A=1.30075 W=4.67768 mAh_cumul=9.39902 Wh_cumul=0.0337264 
t=29 V=3.59659 A=1.30074 W=4.67823 mAh_cumul=9.76034 Wh_cumul=0.0350259 
t=30 V=3.59702 A=1.30075 W=4.67882 mAh_cumul=10.1217 Wh_cumul=0.0363256 
t=31 V=3.59743 A=1.30076 W=4.67939 mAh_cumul=10.483 Wh_cumul=0.0376254 
t=32 V=3.59779 A=1.30076 W=4.67986 mAh_cumul=10.8443 Wh_cumul=0.0389254 
t=33 V=3.59819 A=1.30076 W=4.68038 mAh_cumul=11.2056 Wh_cumul=0.0402255 
t=34 V=3.59856 A=1.30076 W=4.68086 mAh_cumul=11.5669 Wh_cumul=0.0415257 
t=35 V=3.59892 A=1.30075 W=4.6813 mAh_cumul=11.9283 Wh_cumul=0.0428261 
t=36 V=3.59923 A=1.30075 W=4.6817 mAh_cumul=12.2896 Wh_cumul=0.0441266 
t=37 V=3.59958 A=1.30075 W=4.68215 mAh_cumul=12.6509 Wh_cumul=0.0454272 
t=38 V=3.59991 A=1.30074 W=4.68255 mAh_cumul=13.0122 Wh_cumul=0.0467279 
t=39 V=3.60022 A=1.30074 W=4.68295 mAh_cumul=13.3735 Wh_cumul=0.0480287 
t=40 V=3.60055 A=1.30075 W=4.68342 mAh_cumul=13.7349 Wh_cumul=0.0493296 
t=41 V=3.60084 A=1.30075 W=4.68379 mAh_cumul=14.0962 Wh_cumul=0.0506307 
t=42 V=3.60114 A=1.30076 W=4.68422 mAh_cumul=14.4575 Wh_cumul=0.0519319 
t=43 V=3.60144 A=1.30075 W=4.68457 mAh_cumul=14.8188 Wh_cumul=0.0532331 
t=44 V=3.60173 A=1.30075 W=4.68495 mAh_cumul=15.1801 Wh_cumul=0.0545345 
t=45 V=3.60199 A=1.30075 W=4.68529 mAh_cumul=15.5415 Wh_cumul=0.055836 
t=46 V=3.60229 A=1.30073 W=4.68561 mAh_cumul=15.9028 Wh_cumul=0.0571375 
t=47 V=3.60257 A=1.30074 W=4.68601 mAh_cumul=16.2641 Wh_cumul=0.0584392 
t=48 V=3.60285 A=1.30075 W=4.68641 mAh_cumul=16.6254 Wh_cumul=0.059741 
t=49 V=3.60309 A=1.30073 W=4.68665 mAh_cumul=16.9867 Wh_cumul=0.0610428 
t=50 V=3.60337 A=1.30073 W=4.68701 mAh_cumul=17.348 Wh_cumul=0.0623448 
t=51 V=3.60361 A=1.30074 W=4.68736 mAh_cumul=17.7093 Wh_cumul=0.0636468 
t=52 V=3.60382 A=1.30074 W=4.68763 mAh_cumul=18.0707 Wh_cumul=0.0649489 
t=53 V=3.60407 A=1.30073 W=4.68792 mAh_cumul=18.432 Wh_cumul=0.0662511 
t=54 V=3.60429 A=1.30074 W=4.68824 mAh_cumul=18.7933 Wh_cumul=0.0675534 
t=55 V=3.60451 A=1.30074 W=4.68853 mAh_cumul=19.1546 Wh_cumul=0.0688558 
t=56 V=3.60471 A=1.30073 W=4.68875 mAh_cumul=19.5159 Wh_cumul=0.0701582 
t=57 V=3.60492 A=1.30074 W=4.68906 mAh_cumul=19.8772 Wh_cumul=0.0714608 
t=58 V=3.60511 A=1.30073 W=4.68927 mAh_cumul=20.2386 Wh_cumul=0.0727633 
t=59 V=3.60528 A=1.30074 W=4.68953 mAh_cumul=20.5999 Wh_cumul=0.074066 
t=60 V=3.60551 A=1.30075 W=4.68987 mAh_cumul=20.9612 Wh_cumul=0.0753687 
t=61 V=3.60574 A=1.30075 W=4.69017 mAh_cumul=21.3225 Wh_cumul=0.0766715 
t=62 V=3.60596 A=1.30074 W=4.69042 mAh_cumul=21.6838 Wh_cumul=0.0779744 
t=63 V=3.60615 A=1.30074 W=4.69066 mAh_cumul=22.0451 Wh_cumul=0.0792774 
