0 errors cleared
t=0 V=2.9584 A=0.00672441 W=0.0198935 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.95994 A=0.00672584 W=0.0199081 mAh_cumul=0.00373658 Wh_cumul=1.106e-05 
t=3 V=3.00784 A=1.3011 W=3.9135 mAh_cumul=0.365153 Wh_cumul=0.00109814 
t=4 V=3.05068 A=1.30082 W=3.96839 mAh_cumul=0.726492 Wh_cumul=0.00220047 
t=5 V=3.06687 A=1.30079 W=3.98935 mAh_cumul=1.08782 Wh_cumul=0.00330863 
t=6 V=3.0787 A=1.30076 W=4.00465 mAh_cumul=1.44914 Wh_cumul=0.00442103 
t=7 V=3.08837 A=1.30076 W=4.01723 mAh_cumul=1.81047 Wh_cumul=0.00553693 
t=8 V=3.09703 A=1.30075 W=4.02846 mAh_cumul=2.17179 Wh_cumul=0.00665594 
t=9 V=3.10478 A=1.30075 W=4.03854 mAh_cumul=2.53311 Wh_cumul=0.00777776 
t=10 V=3.1119 A=1.30074 W=4.04777 mAh_cumul=2.89442 Wh_cumul=0.00890214 
t=11 V=3.11846 A=1.30073 W=4.05627 mAh_cumul=3.25574 Wh_cumul=0.0100289 
t=12 V=3.1246 A=1.30073 W=4.06426 mAh_cumul=3.61705 Wh_cumul=0.0111578 
t=13 V=3.1303 A=1.30073 W=4.07168 mAh_cumul=3.97836 Wh_cumul=0.0122889 
t=14 V=3.13568 A=1.30074 W=4.0787 mAh_cumul=4.33968 Wh_cumul=0.0134218 
t=15 V=3.14069 A=1.30072 W=4.08516 mAh_cumul=4.70099 Wh_cumul=0.0145566 
t=16 V=3.14533 A=1.30074 W=4.09126 mAh_cumul=5.06231 Wh_cumul=0.0156931 
t=17 V=3.1498 A=1.30073 W=4.09704 mAh_cumul=5.42362 Wh_cumul=0.0168311 
t=18 V=3.15412 A=1.30073 W=4.10266 mAh_cumul=5.78494 Wh_cumul=0.0179708 
t=19 V=3.15832 A=1.30072 W=4.10809 mAh_cumul=6.14625 Wh_cumul=0.0191119 
t=20 V=3.1622 A=1.30073 W=4.11317 mAh_cumul=6.50756 Wh_cumul=0.0202544 
t=21 V=3.16596 A=1.30072 W=4.11803 mAh_cumul=6.86887 Wh_cumul=0.0213983 
t=22 V=3.16961 A=1.30073 W=4.12281 mAh_cumul=7.23019 Wh_cumul=0.0225436 
t=23 V=3.17292 A=1.30073 W=4.12711 mAh_cumul=7.5915 Wh_cumul=0.02369 
t=24 V=3.17619 A=1.30072 W=4.13133 mAh_cumul=7.95281 Wh_cumul=0.0248376 
t=25 V=3.17944 A=1.30072 W=4.13556 mAh_cumul=8.31412 Wh_cumul=0.0259863 
t=26 V=3.18251 A=1.30073 W=4.13959 mAh_cumul=8.67544 Wh_cumul=0.0271362 
t=27 V=3.18549 A=1.30072 W=4.14343 mAh_cumul=9.03675 Wh_cumul=0.0282872 
t=28 V=3.18835 A=1.30072 W=4.14715 mAh_cumul=9.39806 Wh_cumul=0.0294392 
t=29 V=3.19114 A=1.30072 W=4.15078 mAh_cumul=9.75937 Wh_cumul=0.0305922 
t=30 V=3.19382 A=1.30072 W=4.15427 mAh_cumul=10.1207 Wh_cumul=0.0317461 
t=31 V=3.19646 A=1.30072 W=4.1577 mAh_cumul=10.482 Wh_cumul=0.032901 
t=32 V=3.19901 A=1.30072 W=4.16102 mAh_cumul=10.8433 Wh_cumul=0.0340569 
t=33 V=3.20149 A=1.30072 W=4.16424 mAh_cumul=11.2046 Wh_cumul=0.0352136 
t=34 V=3.20389 A=1.30072 W=4.16736 mAh_cumul=11.5659 Wh_cumul=0.0363712 
t=35 V=3.20625 A=1.30071 W=4.1704 mAh_cumul=11.9272 Wh_cumul=0.0375297 
t=36 V=3.20853 A=1.30073 W=4.17343 mAh_cumul=12.2885 Wh_cumul=0.0386889 
t=37 V=3.21083 A=1.30071 W=4.17636 mAh_cumul=12.6499 Wh_cumul=0.039849 
t=38 V=3.21293 A=1.30073 W=4.17915 mAh_cumul=13.0112 Wh_cumul=0.0410099 
t=39 V=3.21506 A=1.30073 W=4.18192 mAh_cumul=13.3725 Wh_cumul=0.0421716 
t=40 V=3.21716 A=1.30073 W=4.18466 mAh_cumul=13.7338 Wh_cumul=0.043334 
t=41 V=3.2192 A=1.30072 W=4.18728 mAh_cumul=14.0951 Wh_cumul=0.0444971 
t=42 V=3.22126 A=1.30071 W=4.18993 mAh_cumul=14.4564 Wh_cumul=0.045661 
t=43 V=3.22318 A=1.30072 W=4.19245 mAh_cumul=14.8177 Wh_cumul=0.0468255 
t=44 V=3.22515 A=1.30071 W=4.19498 mAh_cumul=15.179 Wh_cumul=0.0479908 
t=45 V=3.22706 A=1.30072 W=4.1975 mAh_cumul=15.5403 Wh_cumul=0.0491568 
t=46 V=3.22889 A=1.30073 W=4.19991 mAh_cumul=15.9017 Wh_cumul=0.0503234 
t=47 V=3.2307 A=1.30072 W=4.20224 mAh_cumul=16.263 Wh_cumul=0.0514907 
t=48 V=3.23242 A=1.30071 W=4.20444 mAh_cumul=16.6243 Wh_cumul=0.0526586 
t=49 V=3.2342 A=1.30071 W=4.20676 mAh_cumul=16.9856 Wh_cumul=0.0538272 
t=50 V=3.23599 A=1.30073 W=4.20915 mAh_cumul=17.3469 Wh_cumul=0.0549964 
t=51 V=3.23768 A=1.30071 W=4.21128 mAh_cumul=17.7082 Wh_cumul=0.0561662 
t=52 V=3.23938 A=1.30072 W=4.21353 mAh_cumul=18.0695 Wh_cumul=0.0573366 
t=53 V=3.2411 A=1.30072 W=4.21576 mAh_cumul=18.4308 Wh_cumul=0.0585076 
t=54 V=3.24276 A=1.30071 W=4.21789 mAh_cumul=18.7921 Wh_cumul=0.0596793 
t=55 V=3.24442 A=1.30072 W=4.22008 mAh_cumul=19.1535 Wh_cumul=0.0608515 
t=56 V=3.24606 A=1.30072 W=4.22222 mAh_cumul=19.5148 Wh_cumul=0.0620244 
t=57 V=3.24763 A=1.30071 W=4.22422 mAh_cumul=19.8761 Wh_cumul=0.0631978 
t=58 V=3.24921 A=1.30072 W=4.22631 mAh_cumul=20.2374 Wh_cumul=0.0643717 
t=59 V=3.25078 A=1.30071 W=4.22832 mAh_cumul=20.5987 Wh_cumul=0.0655463 
t=60 V=3.25232 A=1.30071 W=4.23033 mAh_cumul=20.96 Wh_cumul=0.0667214 
t=61 V=3.25372 A=1.30072 W=4.23218 mAh_cumul=21.3213 Wh_cumul=0.067897 
t=62 V=3.25517 A=1.30071 W=4.23403 mAh_cumul=21.6826 Wh_cumul=0.0690731 
t=63 V=3.25669 A=1.30072 W=4.23604 mAh_cumul=22.0439 Wh_cumul=0.0702498 
t=64 V=3.2581 A=1.30071 W=4.23784 mAh_cumul=22.4052 Wh_cumul=0.0714269 
t=65 V=3.25957 A=1.30071 W=4.23976 mAh_cumul=22.7665 Wh_cumul=0.0726046 
t=66 V=3.26102 A=1.30072 W=4.24167 mAh_cumul=23.1279 Wh_cumul=0.0737829 
t=67 V=3.26247 A=1.30071 W=4.24353 mAh_cumul=23.4892 Wh_cumul=0.0749616 
t=68 V=3.26389 A=1.30072 W=4.24541 mAh_cumul=23.8505 Wh_cumul=0.0761409 
t=69 V=3.26526 A=1.30072 W=4.24719 mAh_cumul=24.2118 Wh_cumul=0.0773207 
t=70 V=3.26665 A=1.30072 W=4.249 mAh_cumul=24.5731 Wh_cumul=0.078501 
t=71 V=3.268 A=1.30072 W=4.25075 mAh_cumul=24.9344 Wh_cumul=0.0796817 
t=72 V=3.26939 A=1.30071 W=4.25253 mAh_cumul=25.2957 Wh_cumul=0.080863 
t=73 V=3.27072 A=1.30072 W=4.25429 mAh_cumul=25.657 Wh_cumul=0.0820448 
t=74 V=3.27211 A=1.30072 W=4.2561 mAh_cumul=26.0183 Wh_cumul=0.083227 
t=75 V=3.27341 A=1.30071 W=4.25776 mAh_cumul=26.3797 Wh_cumul=0.0844097 
t=76 V=3.2747 A=1.30072 W=4.25947 mAh_cumul=26.741 Wh_cumul=0.0855929 
t=77 V=3.27602 A=1.30071 W=4.26115 mAh_cumul=27.1023 Wh_cumul=0.0867765 
t=78 V=3.27731 A=1.30071 W=4.26283 mAh_cumul=27.4636 Wh_cumul=0.0879607 
t=79 V=3.27855 A=1.30071 W=4.26444 mAh_cumul=27.8249 Wh_cumul=0.0891452 
t=80 V=3.27984 A=1.30071 W=4.26612 mAh_cumul=28.1862 Wh_cumul=0.0903303 
t=81 V=3.28105 A=1.30071 W=4.26769 mAh_cumul=28.5475 Wh_cumul=0.0915157 
t=82 V=3.28234 A=1.30072 W=4.26941 mAh_cumul=28.9088 Wh_cumul=0.0927017 
t=83 V=3.28358 A=1.30072 W=4.27102 mAh_cumul=29.2701 Wh_cumul=0.0938881 
t=84 V=3.28482 A=1.30071 W=4.2726 mAh_cumul=29.6314 Wh_cumul=0.0950749 
t=85 V=3.28604 A=1.30072 W=4.27422 mAh_cumul=29.9927 Wh_cumul=0.0962622 
t=86 V=3.28725 A=1.30072 W=4.27579 mAh_cumul=30.3541 Wh_cumul=0.0974499 
t=87 V=3.28844 A=1.30072 W=4.27734 mAh_cumul=30.7154 Wh_cumul=0.0986381 
t=88 V=3.28962 A=1.30072 W=4.27887 mAh_cumul=31.0767 Wh_cumul=0.0998266 
t=89 V=3.29078 A=1.30072 W=4.28038 mAh_cumul=31.438 Wh_cumul=0.101016 
t=90 V=3.292 A=1.30072 W=4.28197 mAh_cumul=31.7993 Wh_cumul=0.102205 
t=91 V=3.2932 A=1.30071 W=4.2835 mAh_cumul=32.1606 Wh_cumul=0.103395 
t=92 V=3.29431 A=1.30071 W=4.28494 mAh_cumul=32.5219 Wh_cumul=0.104585 
t=93 V=3.29547 A=1.30072 W=4.28648 mAh_cumul=32.8832 Wh_cumul=0.105776 
t=94 V=3.2966 A=1.30072 W=4.28795 mAh_cumul=33.2445 Wh_cumul=0.106967 
t=95 V=3.2977 A=1.30073 W=4.28942 mAh_cumul=33.6059 Wh_cumul=0.108158 
t=96 V=3.29883 A=1.30072 W=4.29085 mAh_cumul=33.9672 Wh_cumul=0.10935 
t=97 V=3.29996 A=1.30072 W=4.29232 mAh_cumul=34.3285 Wh_cumul=0.110543 
t=98 V=3.30112 A=1.30071 W=4.2938 mAh_cumul=34.6898 Wh_cumul=0.111735 
t=99 V=3.30217 A=1.30071 W=4.29517 mAh_cumul=35.0511 Wh_cumul=0.112929 
t=100 V=3.30331 A=1.30072 W=4.29668 mAh_cumul=35.4124 Wh_cumul=0.114122 
t=101 V=3.30441 A=1.30073 W=4.29815 mAh_cumul=35.7737 Wh_cumul=0.115316 
t=102 V=3.30549 A=1.30071 W=4.29948 mAh_cumul=36.135 Wh_cumul=0.11651 
t=103 V=3.30651 A=1.30073 W=4.30088 mAh_cumul=36.4963 Wh_cumul=0.117705 
t=104 V=3.30766 A=1.30072 W=4.30234 mAh_cumul=36.8577 Wh_cumul=0.1189 
t=105 V=3.3087 A=1.30071 W=4.30366 mAh_cumul=37.219 Wh_cumul=0.120096 
t=106 V=3.30974 A=1.30071 W=4.30501 mAh_cumul=37.5803 Wh_cumul=0.121291 
t=107 V=3.31078 A=1.30072 W=4.3064 mAh_cumul=37.9416 Wh_cumul=0.122488 
t=108 V=3.31175 A=1.30071 W=4.30763 mAh_cumul=38.3029 Wh_cumul=0.123684 
t=109 V=3.31271 A=1.30071 W=4.30888 mAh_cumul=38.6642 Wh_cumul=0.124881 
t=110 V=3.31376 A=1.30072 W=4.31027 mAh_cumul=39.0255 Wh_cumul=0.126078 
t=111 V=3.31474 A=1.30071 W=4.31152 mAh_cumul=39.3868 Wh_cumul=0.127276 
t=112 V=3.31574 A=1.30073 W=4.31288 mAh_cumul=39.7481 Wh_cumul=0.128474 
t=113 V=3.31679 A=1.30071 W=4.31418 mAh_cumul=40.1094 Wh_cumul=0.129672 
t=114 V=3.31781 A=1.30072 W=4.31554 mAh_cumul=40.4707 Wh_cumul=0.130871 
t=115 V=3.31879 A=1.30071 W=4.31678 mAh_cumul=40.8321 Wh_cumul=0.13207 
