0 errors cleared
t=0 V=4.19354 A=0.00958376 W=0.0401899 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.19348 A=0.00958068 W=0.0401764 mAh_cumul=0.0053226 Wh_cumul=2.23202e-05 
t=3 V=4.16428 A=1.30004 W=5.41373 mAh_cumul=0.366445 Wh_cumul=0.00152613 
t=4 V=4.16088 A=1.29996 W=5.40898 mAh_cumul=0.727545 Wh_cumul=0.00302863 
t=5 V=4.1588 A=1.29994 W=5.40619 mAh_cumul=1.08864 Wh_cumul=0.00453035 
t=6 V=4.15711 A=1.29995 W=5.40404 mAh_cumul=1.44974 Wh_cumul=0.00603147 
t=7 V=4.15556 A=1.29995 W=5.40202 mAh_cumul=1.81083 Wh_cumul=0.00753203 
t=8 V=4.15421 A=1.29994 W=5.40022 mAh_cumul=2.17193 Wh_cumul=0.00903209 
t=9 V=4.15293 A=1.29994 W=5.39856 mAh_cumul=2.53302 Wh_cumul=0.0105317 
t=10 V=4.15169 A=1.29995 W=5.39699 mAh_cumul=2.89412 Wh_cumul=0.0120309 
t=11 V=4.15054 A=1.29995 W=5.39549 mAh_cumul=3.25522 Wh_cumul=0.0135296 
t=12 V=4.14945 A=1.29994 W=5.39404 mAh_cumul=3.61631 Wh_cumul=0.0150279 
t=13 V=4.14844 A=1.29994 W=5.39272 mAh_cumul=3.97741 Wh_cumul=0.0165259 
t=14 V=4.14749 A=1.29994 W=5.39149 mAh_cumul=4.3385 Wh_cumul=0.0180236 
t=15 V=4.14655 A=1.29995 W=5.39031 mAh_cumul=4.6996 Wh_cumul=0.0195209 
t=16 V=4.14563 A=1.29994 W=5.38907 mAh_cumul=5.06069 Wh_cumul=0.0210178 
t=17 V=4.14474 A=1.29993 W=5.38787 mAh_cumul=5.42178 Wh_cumul=0.0225145 
t=18 V=4.1439 A=1.29994 W=5.38682 mAh_cumul=5.78288 Wh_cumul=0.0240108 
t=19 V=4.14315 A=1.29993 W=5.3858 mAh_cumul=6.14397 Wh_cumul=0.0255069 
t=20 V=4.14242 A=1.29994 W=5.3849 mAh_cumul=6.50506 Wh_cumul=0.0270027 
