0 errors cleared
t=0 V=2.947 A=0.00668906 W=0.0197127 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.94848 A=0.00669873 W=0.0197511 mAh_cumul=0.00372152 Wh_cumul=1.09728e-05 
t=3 V=2.99494 A=1.30111 W=3.89675 mAh_cumul=0.365141 Wh_cumul=0.0010934 
t=4 V=3.03589 A=1.30083 W=3.94918 mAh_cumul=0.726483 Wh_cumul=0.0021904 
t=5 V=3.05173 A=1.30078 W=3.96963 mAh_cumul=1.08781 Wh_cumul=0.00329307 
t=6 V=3.06299 A=1.30077 W=3.98425 mAh_cumul=1.44914 Wh_cumul=0.00439981 
t=7 V=3.07258 A=1.30075 W=3.99666 mAh_cumul=1.81045 Wh_cumul=0.00550999 
t=8 V=3.08106 A=1.30074 W=4.00766 mAh_cumul=2.17177 Wh_cumul=0.00662323 
t=9 V=3.08849 A=1.30074 W=4.01732 mAh_cumul=2.53309 Wh_cumul=0.00773915 
t=10 V=3.09543 A=1.30074 W=4.02635 mAh_cumul=2.8944 Wh_cumul=0.00885758 
t=11 V=3.10187 A=1.30072 W=4.03466 mAh_cumul=3.25572 Wh_cumul=0.00997832 
t=12 V=3.10792 A=1.30073 W=4.04256 mAh_cumul=3.61703 Wh_cumul=0.0111013 
t=13 V=3.1135 A=1.30074 W=4.04985 mAh_cumul=3.97835 Wh_cumul=0.0122262 
t=14 V=3.1188 A=1.30073 W=4.05672 mAh_cumul=4.33966 Wh_cumul=0.0133531 
t=15 V=3.12379 A=1.30073 W=4.06321 mAh_cumul=4.70097 Wh_cumul=0.0144817 
t=16 V=3.12849 A=1.30072 W=4.06929 mAh_cumul=5.06229 Wh_cumul=0.0156121 
t=17 V=3.13297 A=1.30072 W=4.07512 mAh_cumul=5.4236 Wh_cumul=0.0167441 
t=18 V=3.13721 A=1.30072 W=4.08063 mAh_cumul=5.78491 Wh_cumul=0.0178776 
t=19 V=3.14122 A=1.30072 W=4.08585 mAh_cumul=6.14622 Wh_cumul=0.0190126 
t=20 V=3.14501 A=1.30073 W=4.09081 mAh_cumul=6.50753 Wh_cumul=0.0201489 
t=21 V=3.14876 A=1.30072 W=4.09566 mAh_cumul=6.86884 Wh_cumul=0.0212866 
t=22 V=3.15227 A=1.30073 W=4.10025 mAh_cumul=7.23016 Wh_cumul=0.0224255 
t=23 V=3.15567 A=1.30073 W=4.10467 mAh_cumul=7.59147 Wh_cumul=0.0235657 
t=24 V=3.15908 A=1.30071 W=4.10905 mAh_cumul=7.95278 Wh_cumul=0.0247071 
t=25 V=3.16225 A=1.30072 W=4.1132 mAh_cumul=8.31409 Wh_cumul=0.0258497 
t=26 V=3.16532 A=1.30073 W=4.11723 mAh_cumul=8.6754 Wh_cumul=0.0269933 
t=27 V=3.16834 A=1.30072 W=4.12112 mAh_cumul=9.03672 Wh_cumul=0.0281381 
t=28 V=3.17118 A=1.30072 W=4.12482 mAh_cumul=9.39803 Wh_cumul=0.0292839 
t=29 V=3.17383 A=1.30072 W=4.12826 mAh_cumul=9.75934 Wh_cumul=0.0304306 
t=30 V=3.17653 A=1.30072 W=4.13178 mAh_cumul=10.1206 Wh_cumul=0.0315783 
t=31 V=3.17921 A=1.30072 W=4.13526 mAh_cumul=10.482 Wh_cumul=0.032727 
t=32 V=3.18179 A=1.30072 W=4.13862 mAh_cumul=10.8433 Wh_cumul=0.0338766 
t=33 V=3.18427 A=1.30072 W=4.14184 mAh_cumul=11.2046 Wh_cumul=0.0350272 
t=34 V=3.18668 A=1.30072 W=4.14498 mAh_cumul=11.5659 Wh_cumul=0.0361785 
t=35 V=3.18912 A=1.30073 W=4.14818 mAh_cumul=11.9272 Wh_cumul=0.0373308 
t=36 V=3.19144 A=1.30071 W=4.15114 mAh_cumul=12.2885 Wh_cumul=0.0384839 
t=37 V=3.19372 A=1.30073 W=4.15417 mAh_cumul=12.6498 Wh_cumul=0.0396378 
t=38 V=3.19592 A=1.30072 W=4.157 mAh_cumul=13.0111 Wh_cumul=0.0407926 
t=39 V=3.19809 A=1.30072 W=4.15982 mAh_cumul=13.3725 Wh_cumul=0.0419481 
t=40 V=3.20023 A=1.30072 W=4.1626 mAh_cumul=13.7338 Wh_cumul=0.0431043 
t=41 V=3.20232 A=1.30072 W=4.16532 mAh_cumul=14.0951 Wh_cumul=0.0442614 
t=42 V=3.20439 A=1.30072 W=4.16801 mAh_cumul=14.4564 Wh_cumul=0.0454192 
t=43 V=3.20638 A=1.30073 W=4.17063 mAh_cumul=14.8177 Wh_cumul=0.0465777 
t=44 V=3.20839 A=1.30073 W=4.17325 mAh_cumul=15.179 Wh_cumul=0.0477369 
t=45 V=3.21037 A=1.30073 W=4.17582 mAh_cumul=15.5403 Wh_cumul=0.0488969 
t=46 V=3.21227 A=1.30072 W=4.17826 mAh_cumul=15.9016 Wh_cumul=0.0500575 
t=47 V=3.21414 A=1.30072 W=4.1807 mAh_cumul=16.2629 Wh_cumul=0.0512188 
t=48 V=3.21595 A=1.30072 W=4.18305 mAh_cumul=16.6243 Wh_cumul=0.0523807 
t=49 V=3.21782 A=1.30071 W=4.18545 mAh_cumul=16.9856 Wh_cumul=0.0535434 
t=50 V=3.21961 A=1.30071 W=4.18778 mAh_cumul=17.3469 Wh_cumul=0.0547066 
t=51 V=3.22141 A=1.30072 W=4.19015 mAh_cumul=17.7082 Wh_cumul=0.0558706 
t=52 V=3.22313 A=1.30072 W=4.19239 mAh_cumul=18.0695 Wh_cumul=0.0570351 
t=53 V=3.22483 A=1.30072 W=4.1946 mAh_cumul=18.4308 Wh_cumul=0.0582003 
t=54 V=3.22657 A=1.30073 W=4.1969 mAh_cumul=18.7921 Wh_cumul=0.0593661 
t=55 V=3.22823 A=1.30071 W=4.19899 mAh_cumul=19.1534 Wh_cumul=0.0605325 
t=56 V=3.22985 A=1.30072 W=4.20113 mAh_cumul=19.5147 Wh_cumul=0.0616995 
t=57 V=3.23143 A=1.30074 W=4.20325 mAh_cumul=19.8761 Wh_cumul=0.062867 
t=58 V=3.23302 A=1.30072 W=4.20525 mAh_cumul=20.2374 Wh_cumul=0.0640352 
t=59 V=3.23463 A=1.30072 W=4.20735 mAh_cumul=20.5987 Wh_cumul=0.0652039 
t=60 V=3.23623 A=1.30072 W=4.20943 mAh_cumul=20.96 Wh_cumul=0.0663732 
t=61 V=3.23778 A=1.30073 W=4.21148 mAh_cumul=21.3213 Wh_cumul=0.067543 
t=62 V=3.23933 A=1.30072 W=4.21346 mAh_cumul=21.6826 Wh_cumul=0.0687134 
t=63 V=3.24095 A=1.30073 W=4.2156 mAh_cumul=22.0439 Wh_cumul=0.0698844 
t=64 V=3.24245 A=1.30072 W=4.21752 mAh_cumul=22.4052 Wh_cumul=0.071056 
t=65 V=3.24393 A=1.30072 W=4.21944 mAh_cumul=22.7666 Wh_cumul=0.072228 
t=66 V=3.24547 A=1.3007 W=4.22138 mAh_cumul=23.1279 Wh_cumul=0.0734006 
t=67 V=3.24692 A=1.30072 W=4.22333 mAh_cumul=23.4892 Wh_cumul=0.0745738 
t=68 V=3.2484 A=1.30071 W=4.22523 mAh_cumul=23.8505 Wh_cumul=0.0757474 
t=69 V=3.24983 A=1.30071 W=4.22709 mAh_cumul=24.2118 Wh_cumul=0.0769216 
t=70 V=3.2513 A=1.30072 W=4.22903 mAh_cumul=24.5731 Wh_cumul=0.0780964 
t=71 V=3.2527 A=1.30072 W=4.23085 mAh_cumul=24.9344 Wh_cumul=0.0792716 
t=72 V=3.25398 A=1.30072 W=4.23252 mAh_cumul=25.2957 Wh_cumul=0.0804473 
t=73 V=3.25533 A=1.30072 W=4.23427 mAh_cumul=25.657 Wh_cumul=0.0816235 
t=74 V=3.25676 A=1.30072 W=4.23613 mAh_cumul=26.0183 Wh_cumul=0.0828002 
t=75 V=3.2581 A=1.30072 W=4.23788 mAh_cumul=26.3797 Wh_cumul=0.0839774 
t=76 V=3.25946 A=1.30072 W=4.23964 mAh_cumul=26.741 Wh_cumul=0.0851551 
t=77 V=3.26084 A=1.30071 W=4.24141 mAh_cumul=27.1023 Wh_cumul=0.0863332 
t=78 V=3.26222 A=1.30072 W=4.24323 mAh_cumul=27.4636 Wh_cumul=0.0875119 
t=79 V=3.26354 A=1.30072 W=4.24495 mAh_cumul=27.8249 Wh_cumul=0.0886911 
t=80 V=3.2648 A=1.30072 W=4.24659 mAh_cumul=28.1862 Wh_cumul=0.0898707 
t=81 V=3.26615 A=1.30071 W=4.24831 mAh_cumul=28.5475 Wh_cumul=0.0910508 
t=82 V=3.26744 A=1.30071 W=4.24999 mAh_cumul=28.9088 Wh_cumul=0.0922313 
t=83 V=3.2687 A=1.30071 W=4.25163 mAh_cumul=29.2701 Wh_cumul=0.0934123 
t=84 V=3.26997 A=1.30071 W=4.25328 mAh_cumul=29.6314 Wh_cumul=0.0945938 
t=85 V=3.27128 A=1.30071 W=4.25499 mAh_cumul=29.9927 Wh_cumul=0.0957757 
