0 errors cleared
t=0 V=3.54097 A=0.00805509 W=0.0285228 mAh_cumul=0 Wh_cumul=0 
t=1 V=3.541 A=0.00805948 W=0.0285386 mAh_cumul=0.00223874 Wh_cumul=7.92739e-06 
t=2 V=3.57691 A=1.30113 W=4.65402 mAh_cumul=0.363664 Wh_cumul=0.00130071 
t=3 V=3.57944 A=1.30086 W=4.65635 mAh_cumul=0.725014 Wh_cumul=0.00259414 
t=4 V=3.58105 A=1.30083 W=4.65834 mAh_cumul=1.08636 Wh_cumul=0.00388813 
t=5 V=3.58239 A=1.30082 W=4.66004 mAh_cumul=1.44769 Wh_cumul=0.00518258 
t=6 V=3.58354 A=1.30081 W=4.6615 mAh_cumul=1.80903 Wh_cumul=0.00647744 
t=7 V=3.58456 A=1.3008 W=4.6628 mAh_cumul=2.17036 Wh_cumul=0.00777267 
t=8 V=3.58556 A=1.30079 W=4.66406 mAh_cumul=2.53169 Wh_cumul=0.00906824 
t=9 V=3.58652 A=1.30078 W=4.66527 mAh_cumul=2.89302 Wh_cumul=0.0103641 
t=10 V=3.58733 A=1.30079 W=4.66636 mAh_cumul=3.25435 Wh_cumul=0.0116604 
t=11 V=3.58814 A=1.30078 W=4.66738 mAh_cumul=3.61568 Wh_cumul=0.0129569 
t=12 V=3.58893 A=1.30078 W=4.66841 mAh_cumul=3.97701 Wh_cumul=0.0142536 
t=13 V=3.58962 A=1.30078 W=4.66931 mAh_cumul=4.33834 Wh_cumul=0.0155507 
t=14 V=3.59032 A=1.30077 W=4.67018 mAh_cumul=4.69966 Wh_cumul=0.0168479 
t=15 V=3.59096 A=1.30076 W=4.67098 mAh_cumul=5.06098 Wh_cumul=0.0181454 
t=16 V=3.59159 A=1.30077 W=4.67183 mAh_cumul=5.42231 Wh_cumul=0.0194432 
t=17 V=3.59214 A=1.30075 W=4.67248 mAh_cumul=5.78363 Wh_cumul=0.0207411 
t=18 V=3.5927 A=1.30076 W=4.67324 mAh_cumul=6.14495 Wh_cumul=0.0220392 
t=19 V=3.59329 A=1.30077 W=4.67404 mAh_cumul=6.50627 Wh_cumul=0.0233375 
t=20 V=3.59384 A=1.30076 W=4.67472 mAh_cumul=6.8676 Wh_cumul=0.0246361 
t=21 V=3.59434 A=1.30076 W=4.67537 mAh_cumul=7.22892 Wh_cumul=0.0259348 
t=22 V=3.5948 A=1.30076 W=4.67597 mAh_cumul=7.59024 Wh_cumul=0.0272337 
t=23 V=3.5953 A=1.30076 W=4.67662 mAh_cumul=7.95156 Wh_cumul=0.0285327 
t=24 V=3.59578 A=1.30075 W=4.67721 mAh_cumul=8.31288 Wh_cumul=0.029832 
t=25 V=3.59621 A=1.30077 W=4.67784 mAh_cumul=8.67421 Wh_cumul=0.0311314 
t=26 V=3.59666 A=1.30075 W=4.67836 mAh_cumul=9.03553 Wh_cumul=0.0324309 
t=27 V=3.59708 A=1.30075 W=4.6789 mAh_cumul=9.39685 Wh_cumul=0.0337306 
t=28 V=3.59751 A=1.30077 W=4.67953 mAh_cumul=9.75817 Wh_cumul=0.0350305 
t=29 V=3.5979 A=1.30076 W=4.68 mAh_cumul=10.1195 Wh_cumul=0.0363305 
t=30 V=3.59833 A=1.30077 W=4.6806 mAh_cumul=10.4808 Wh_cumul=0.0376306 
t=31 V=3.59869 A=1.30076 W=4.68103 mAh_cumul=10.8421 Wh_cumul=0.0389309 
t=32 V=3.59906 A=1.30076 W=4.68151 mAh_cumul=11.2035 Wh_cumul=0.0402313 
t=33 V=3.5994 A=1.30077 W=4.68199 mAh_cumul=11.5648 Wh_cumul=0.0415319 
t=34 V=3.59972 A=1.30076 W=4.68237 mAh_cumul=11.9261 Wh_cumul=0.0428326 
t=35 V=3.60005 A=1.30075 W=4.68277 mAh_cumul=12.2874 Wh_cumul=0.0441333 
t=36 V=3.60039 A=1.30075 W=4.68321 mAh_cumul=12.6487 Wh_cumul=0.0454342 
t=37 V=3.60072 A=1.30076 W=4.68367 mAh_cumul=13.0101 Wh_cumul=0.0467352 
t=38 V=3.60101 A=1.30076 W=4.68405 mAh_cumul=13.3714 Wh_cumul=0.0480364 
t=39 V=3.60129 A=1.30076 W=4.68441 mAh_cumul=13.7327 Wh_cumul=0.0493376 
t=40 V=3.60162 A=1.30076 W=4.68484 mAh_cumul=14.094 Wh_cumul=0.0506389 
t=41 V=3.60191 A=1.30075 W=4.68518 mAh_cumul=14.4554 Wh_cumul=0.0519404 
t=42 V=3.6022 A=1.30074 W=4.68553 mAh_cumul=14.8167 Wh_cumul=0.0532419 
t=43 V=3.60251 A=1.30075 W=4.68596 mAh_cumul=15.178 Wh_cumul=0.0545436 
t=44 V=3.60276 A=1.30075 W=4.68629 mAh_cumul=15.5393 Wh_cumul=0.0558453 
t=45 V=3.60303 A=1.30076 W=4.68668 mAh_cumul=15.9006 Wh_cumul=0.0571472 
t=46 V=3.60333 A=1.30076 W=4.68707 mAh_cumul=16.262 Wh_cumul=0.0584491 
t=47 V=3.60358 A=1.30075 W=4.68736 mAh_cumul=16.6233 Wh_cumul=0.0597512 
t=48 V=3.60383 A=1.30076 W=4.68772 mAh_cumul=16.9846 Wh_cumul=0.0610533 
t=49 V=3.60405 A=1.30076 W=4.688 mAh_cumul=17.3459 Wh_cumul=0.0623555 
t=50 V=3.60428 A=1.30076 W=4.6883 mAh_cumul=17.7072 Wh_cumul=0.0636578 
t=51 V=3.60452 A=1.30077 W=4.68865 mAh_cumul=18.0686 Wh_cumul=0.0649602 
t=52 V=3.60472 A=1.30075 W=4.68884 mAh_cumul=18.4299 Wh_cumul=0.0662627 
