0 errors cleared
t=0 V=4.19323 A=0.00953604 W=0.0399868 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.19318 A=0.0095401 W=0.0400034 mAh_cumul=0.00530006 Wh_cumul=2.22241e-05 
t=3 V=4.16246 A=1.29999 W=5.41116 mAh_cumul=0.366408 Wh_cumul=0.00152532 
t=4 V=4.15895 A=1.29991 W=5.40626 mAh_cumul=0.727494 Wh_cumul=0.00302706 
t=5 V=4.15678 A=1.29989 W=5.40336 mAh_cumul=1.08858 Wh_cumul=0.00452799 
t=6 V=4.15499 A=1.29989 W=5.40103 mAh_cumul=1.44966 Wh_cumul=0.00602828 
t=7 V=4.15349 A=1.29987 W=5.399 mAh_cumul=1.81073 Wh_cumul=0.007528 
t=8 V=4.15212 A=1.29987 W=5.39722 mAh_cumul=2.17181 Wh_cumul=0.00902723 
t=9 V=4.15073 A=1.29988 W=5.39545 mAh_cumul=2.53288 Wh_cumul=0.010526 
t=10 V=4.1495 A=1.29988 W=5.39385 mAh_cumul=2.89396 Wh_cumul=0.0120243 
t=11 V=4.14834 A=1.29988 W=5.39234 mAh_cumul=3.25504 Wh_cumul=0.0135221 
t=12 V=4.14727 A=1.29988 W=5.39095 mAh_cumul=3.61612 Wh_cumul=0.0150196 
t=13 V=4.14615 A=1.29989 W=5.38954 mAh_cumul=3.9772 Wh_cumul=0.0165167 
t=14 V=4.14512 A=1.2999 W=5.38824 mAh_cumul=4.33828 Wh_cumul=0.0180134 
t=15 V=4.14418 A=1.2999 W=5.38702 mAh_cumul=4.69936 Wh_cumul=0.0195098 
t=16 V=4.14324 A=1.29989 W=5.38576 mAh_cumul=5.06044 Wh_cumul=0.0210059 
t=17 V=4.14236 A=1.2999 W=5.38465 mAh_cumul=5.42153 Wh_cumul=0.0225016 
t=18 V=4.14142 A=1.29989 W=5.38339 mAh_cumul=5.78261 Wh_cumul=0.023997 
t=19 V=4.14056 A=1.2999 W=5.38231 mAh_cumul=6.14369 Wh_cumul=0.0254921 
t=20 V=4.13975 A=1.29989 W=5.38122 mAh_cumul=6.50477 Wh_cumul=0.0269869 
t=21 V=4.13893 A=1.29989 W=5.38015 mAh_cumul=6.86585 Wh_cumul=0.0284814 
t=22 V=4.13817 A=1.2999 W=5.37921 mAh_cumul=7.22694 Wh_cumul=0.0299756 
t=23 V=4.13739 A=1.29989 W=5.37815 mAh_cumul=7.58802 Wh_cumul=0.0314695 
t=24 V=4.13666 A=1.29989 W=5.3772 mAh_cumul=7.9491 Wh_cumul=0.0329632 
t=25 V=4.13587 A=1.2999 W=5.37622 mAh_cumul=8.31018 Wh_cumul=0.0344566 
t=26 V=4.13514 A=1.2999 W=5.37527 mAh_cumul=8.67126 Wh_cumul=0.0359497 
t=27 V=4.13445 A=1.2999 W=5.37437 mAh_cumul=9.03235 Wh_cumul=0.0374426 
t=28 V=4.13376 A=1.29989 W=5.37343 mAh_cumul=9.39343 Wh_cumul=0.0389352 
t=29 V=4.13315 A=1.29989 W=5.37264 mAh_cumul=9.75451 Wh_cumul=0.0404276 
t=30 V=4.13245 A=1.2999 W=5.37177 mAh_cumul=10.1156 Wh_cumul=0.0419198 
t=31 V=4.13178 A=1.29989 W=5.37086 mAh_cumul=10.4767 Wh_cumul=0.0434117 
t=32 V=4.13114 A=1.29988 W=5.36999 mAh_cumul=10.8378 Wh_cumul=0.0449033 
t=33 V=4.1305 A=1.29989 W=5.3692 mAh_cumul=11.1988 Wh_cumul=0.0463948 
t=34 V=4.1299 A=1.29989 W=5.36842 mAh_cumul=11.5599 Wh_cumul=0.047886 
t=35 V=4.1293 A=1.29989 W=5.36764 mAh_cumul=11.921 Wh_cumul=0.049377 
t=36 V=4.12872 A=1.29989 W=5.36688 mAh_cumul=12.2821 Wh_cumul=0.0508678 
t=37 V=4.12815 A=1.29989 W=5.36614 mAh_cumul=12.6432 Wh_cumul=0.0523584 
t=38 V=4.12756 A=1.2999 W=5.36542 mAh_cumul=13.0042 Wh_cumul=0.0538488 
t=39 V=4.12706 A=1.29989 W=5.36472 mAh_cumul=13.3653 Wh_cumul=0.055339 
t=40 V=4.12654 A=1.29989 W=5.36405 mAh_cumul=13.7264 Wh_cumul=0.056829 
t=41 V=4.12604 A=1.29989 W=5.3634 mAh_cumul=14.0875 Wh_cumul=0.0583189 
t=42 V=4.1255 A=1.2999 W=5.36274 mAh_cumul=14.4486 Wh_cumul=0.0598085 
t=43 V=4.12502 A=1.29989 W=5.36207 mAh_cumul=14.8096 Wh_cumul=0.061298 
t=44 V=4.12451 A=1.2999 W=5.36145 mAh_cumul=15.1707 Wh_cumul=0.0627873 
t=45 V=4.12398 A=1.29989 W=5.36072 mAh_cumul=15.5318 Wh_cumul=0.0642763 
t=46 V=4.12344 A=1.29989 W=5.36002 mAh_cumul=15.8929 Wh_cumul=0.0657652 
t=47 V=4.12294 A=1.29989 W=5.35937 mAh_cumul=16.254 Wh_cumul=0.067254 
t=48 V=4.12248 A=1.29991 W=5.35885 mAh_cumul=16.6151 Wh_cumul=0.0687425 
t=49 V=4.12198 A=1.29989 W=5.35812 mAh_cumul=16.9761 Wh_cumul=0.0702309 
t=50 V=4.12151 A=1.2999 W=5.35755 mAh_cumul=17.3372 Wh_cumul=0.0717191 
t=51 V=4.12099 A=1.2999 W=5.35687 mAh_cumul=17.6983 Wh_cumul=0.0732071 
t=52 V=4.12053 A=1.2999 W=5.35628 mAh_cumul=18.0594 Wh_cumul=0.074695 
t=53 V=4.12009 A=1.2999 W=5.3557 mAh_cumul=18.4205 Wh_cumul=0.0761827 
t=54 V=4.11961 A=1.2999 W=5.35508 mAh_cumul=18.7816 Wh_cumul=0.0776702 
t=55 V=4.11919 A=1.2999 W=5.35454 mAh_cumul=19.1426 Wh_cumul=0.0791576 
t=56 V=4.11875 A=1.29991 W=5.354 mAh_cumul=19.5037 Wh_cumul=0.0806448 
t=57 V=4.11827 A=1.29991 W=5.35338 mAh_cumul=19.8648 Wh_cumul=0.0821318 
t=58 V=4.11783 A=1.29991 W=5.35281 mAh_cumul=20.2259 Wh_cumul=0.0836187 
t=59 V=4.11744 A=1.2999 W=5.35226 mAh_cumul=20.587 Wh_cumul=0.0851055 
t=60 V=4.11703 A=1.29991 W=5.35177 mAh_cumul=20.9481 Wh_cumul=0.0865921 
t=61 V=4.1166 A=1.2999 W=5.35117 mAh_cumul=21.3091 Wh_cumul=0.0880785 
t=62 V=4.11617 A=1.29989 W=5.35057 mAh_cumul=21.6702 Wh_cumul=0.0895648 
t=63 V=4.11578 A=1.2999 W=5.3501 mAh_cumul=22.0313 Wh_cumul=0.0910509 
t=64 V=4.11532 A=1.29991 W=5.34955 mAh_cumul=22.3924 Wh_cumul=0.0925369 
t=65 V=4.11489 A=1.2999 W=5.34895 mAh_cumul=22.7535 Wh_cumul=0.0940227 
t=66 V=4.11452 A=1.29989 W=5.34842 mAh_cumul=23.1146 Wh_cumul=0.0955084 
t=67 V=4.11412 A=1.2999 W=5.34794 mAh_cumul=23.4756 Wh_cumul=0.0969939 
t=68 V=4.11371 A=1.29989 W=5.34737 mAh_cumul=23.8367 Wh_cumul=0.0984793 
t=69 V=4.1133 A=1.29989 W=5.34684 mAh_cumul=24.1978 Wh_cumul=0.0999645 
t=70 V=4.11295 A=1.29991 W=5.34646 mAh_cumul=24.5589 Wh_cumul=0.10145 
t=71 V=4.11255 A=1.2999 W=5.3459 mAh_cumul=24.92 Wh_cumul=0.102935 
t=72 V=4.11215 A=1.29989 W=5.34534 mAh_cumul=25.2811 Wh_cumul=0.104419 
t=73 V=4.11179 A=1.29991 W=5.34496 mAh_cumul=25.6421 Wh_cumul=0.105904 
t=74 V=4.11143 A=1.29991 W=5.34449 mAh_cumul=26.0032 Wh_cumul=0.107389 
t=75 V=4.11102 A=1.29991 W=5.34396 mAh_cumul=26.3643 Wh_cumul=0.108873 
t=76 V=4.11063 A=1.29991 W=5.34345 mAh_cumul=26.7254 Wh_cumul=0.110357 
t=77 V=4.11025 A=1.2999 W=5.34291 mAh_cumul=27.0865 Wh_cumul=0.111842 
t=78 V=4.1099 A=1.2999 W=5.34246 mAh_cumul=27.4476 Wh_cumul=0.113326 
t=79 V=4.10956 A=1.2999 W=5.34202 mAh_cumul=27.8086 Wh_cumul=0.11481 
t=80 V=4.10921 A=1.2999 W=5.34156 mAh_cumul=28.1697 Wh_cumul=0.116293 
t=81 V=4.10884 A=1.2999 W=5.34108 mAh_cumul=28.5308 Wh_cumul=0.117777 
t=82 V=4.10851 A=1.29991 W=5.34069 mAh_cumul=28.8919 Wh_cumul=0.11926 
t=83 V=4.10813 A=1.2999 W=5.34016 mAh_cumul=29.253 Wh_cumul=0.120744 
t=84 V=4.10781 A=1.2999 W=5.33974 mAh_cumul=29.6141 Wh_cumul=0.122227 
t=85 V=4.10744 A=1.2999 W=5.33926 mAh_cumul=29.9752 Wh_cumul=0.12371 
t=86 V=4.10714 A=1.2999 W=5.33887 mAh_cumul=30.3362 Wh_cumul=0.125193 
t=87 V=4.10681 A=1.29991 W=5.33848 mAh_cumul=30.6973 Wh_cumul=0.126676 
t=88 V=4.10647 A=1.2999 W=5.338 mAh_cumul=31.0584 Wh_cumul=0.128159 
t=89 V=4.10613 A=1.29989 W=5.33752 mAh_cumul=31.4195 Wh_cumul=0.129642 
t=90 V=4.10582 A=1.29989 W=5.33711 mAh_cumul=31.7806 Wh_cumul=0.131124 
t=91 V=4.10549 A=1.2999 W=5.33673 mAh_cumul=32.1416 Wh_cumul=0.132607 
t=92 V=4.10511 A=1.29991 W=5.33627 mAh_cumul=32.5027 Wh_cumul=0.134089 
t=93 V=4.10479 A=1.2999 W=5.33582 mAh_cumul=32.8638 Wh_cumul=0.135571 
t=94 V=4.10448 A=1.29991 W=5.33545 mAh_cumul=33.2249 Wh_cumul=0.137053 
t=95 V=4.10415 A=1.2999 W=5.33498 mAh_cumul=33.586 Wh_cumul=0.138535 
t=96 V=4.1038 A=1.29991 W=5.33457 mAh_cumul=33.9471 Wh_cumul=0.140017 
t=97 V=4.10352 A=1.2999 W=5.33417 mAh_cumul=34.3082 Wh_cumul=0.141499 
t=98 V=4.10319 A=1.29991 W=5.33378 mAh_cumul=34.6692 Wh_cumul=0.14298 
t=99 V=4.10287 A=1.29991 W=5.33336 mAh_cumul=35.0303 Wh_cumul=0.144462 
t=100 V=4.10256 A=1.2999 W=5.33292 mAh_cumul=35.3914 Wh_cumul=0.145943 
t=101 V=4.10223 A=1.29991 W=5.33253 mAh_cumul=35.7525 Wh_cumul=0.147424 
t=102 V=4.10195 A=1.2999 W=5.33212 mAh_cumul=36.1136 Wh_cumul=0.148905 
t=103 V=4.10164 A=1.29989 W=5.33168 mAh_cumul=36.4747 Wh_cumul=0.150386 
t=104 V=4.10137 A=1.29991 W=5.33141 mAh_cumul=36.8357 Wh_cumul=0.151867 
t=105 V=4.10106 A=1.29991 W=5.33101 mAh_cumul=37.1968 Wh_cumul=0.153348 
t=106 V=4.10075 A=1.29991 W=5.33061 mAh_cumul=37.5579 Wh_cumul=0.154829 
t=107 V=4.10044 A=1.29991 W=5.3302 mAh_cumul=37.919 Wh_cumul=0.15631 
t=108 V=4.10017 A=1.29991 W=5.32985 mAh_cumul=38.2801 Wh_cumul=0.15779 
t=109 V=4.09981 A=1.2999 W=5.32934 mAh_cumul=38.6412 Wh_cumul=0.15927 
t=110 V=4.09951 A=1.29991 W=5.32899 mAh_cumul=39.0023 Wh_cumul=0.160751 
t=111 V=4.09922 A=1.29989 W=5.32854 mAh_cumul=39.3633 Wh_cumul=0.162231 
t=112 V=4.09891 A=1.29989 W=5.32813 mAh_cumul=39.7244 Wh_cumul=0.163711 
t=113 V=4.09867 A=1.2999 W=5.32786 mAh_cumul=40.0855 Wh_cumul=0.165191 
t=114 V=4.09834 A=1.2999 W=5.32743 mAh_cumul=40.4466 Wh_cumul=0.166671 
t=115 V=4.09808 A=1.29989 W=5.32705 mAh_cumul=40.8077 Wh_cumul=0.16815 
t=116 V=4.09777 A=1.2999 W=5.32669 mAh_cumul=41.1688 Wh_cumul=0.16963 
t=117 V=4.09752 A=1.2999 W=5.32637 mAh_cumul=41.5298 Wh_cumul=0.17111 
t=118 V=4.09722 A=1.29989 W=5.32594 mAh_cumul=41.8909 Wh_cumul=0.172589 
t=119 V=4.09698 A=1.29988 W=5.32558 mAh_cumul=42.252 Wh_cumul=0.174068 
t=120 V=4.09667 A=1.2999 W=5.32526 mAh_cumul=42.6131 Wh_cumul=0.175548 
t=121 V=4.09642 A=1.2999 W=5.32494 mAh_cumul=42.9742 Wh_cumul=0.177027 
t=122 V=4.0961 A=1.29991 W=5.32456 mAh_cumul=43.3352 Wh_cumul=0.178506  r_start 
t=123 V=4.10066 A=1.10494 W=4.53098 mAh_cumul=43.6422 Wh_cumul=0.179764 
t=124 V=4.10071 A=1.10495 W=4.53108 mAh_cumul=43.9491 Wh_cumul=0.181023 
t=125 V=4.10064 A=1.10496 W=4.53104 mAh_cumul=44.256 Wh_cumul=0.182282 
t=126 V=4.10059 A=1.10496 W=4.53099 mAh_cumul=44.563 Wh_cumul=0.18354 
t=127 V=4.10045 A=1.10495 W=4.53079 mAh_cumul=44.8699 Wh_cumul=0.184799 
t=128 V=4.10034 A=1.10496 W=4.53071 mAh_cumul=45.1768 Wh_cumul=0.186057 
t=129 V=4.10017 A=1.10495 W=4.53048 mAh_cumul=45.4838 Wh_cumul=0.187316 
t=130 V=4.10001 A=1.10496 W=4.53035 mAh_cumul=45.7907 Wh_cumul=0.188574 
t=131 V=4.09986 A=1.10494 W=4.5301 mAh_cumul=46.0976 Wh_cumul=0.189833 
t=132 V=4.0997 A=1.10495 W=4.52996 mAh_cumul=46.4046 Wh_cumul=0.191091  r_2 
t=133 V=4.08519 A=1.69017 W=6.90467 mAh_cumul=46.8741 Wh_cumul=0.193009 
t=134 V=4.08406 A=1.69017 W=6.90276 mAh_cumul=47.3435 Wh_cumul=0.194926 
t=135 V=4.08325 A=1.69018 W=6.90143 mAh_cumul=47.813 Wh_cumul=0.196843 
t=136 V=4.08254 A=1.69018 W=6.90023 mAh_cumul=48.2825 Wh_cumul=0.19876 
t=137 V=4.0819 A=1.69018 W=6.89915 mAh_cumul=48.752 Wh_cumul=0.200677 
t=138 V=4.08133 A=1.69018 W=6.89818 mAh_cumul=49.2215 Wh_cumul=0.202593 
t=139 V=4.08081 A=1.69019 W=6.89734 mAh_cumul=49.691 Wh_cumul=0.204509 
t=140 V=4.08033 A=1.69019 W=6.89653 mAh_cumul=50.1605 Wh_cumul=0.206424 
t=141 V=4.07984 A=1.69019 W=6.8957 mAh_cumul=50.63 Wh_cumul=0.20834 
t=142 V=4.07934 A=1.69019 W=6.89486 mAh_cumul=51.0995 Wh_cumul=0.210255  r_3 
t=143 V=4.09303 A=1.10496 W=4.52263 mAh_cumul=51.4064 Wh_cumul=0.211511 
t=144 V=4.09355 A=1.10496 W=4.52321 mAh_cumul=51.7134 Wh_cumul=0.212768 
t=145 V=4.09371 A=1.10496 W=4.52339 mAh_cumul=52.0203 Wh_cumul=0.214024 
t=146 V=4.0938 A=1.10496 W=4.52349 mAh_cumul=52.3272 Wh_cumul=0.215281 
t=147 V=4.09381 A=1.10496 W=4.5235 mAh_cumul=52.6342 Wh_cumul=0.216537 
t=148 V=4.09382 A=1.10496 W=4.52351 mAh_cumul=52.9411 Wh_cumul=0.217794 
t=149 V=4.09379 A=1.10496 W=4.52347 mAh_cumul=53.248 Wh_cumul=0.21905 
t=150 V=4.09373 A=1.10496 W=4.52341 mAh_cumul=53.555 Wh_cumul=0.220307 
t=151 V=4.09364 A=1.10497 W=4.52335 mAh_cumul=53.8619 Wh_cumul=0.221563 
t=152 V=4.09357 A=1.10496 W=4.52323 mAh_cumul=54.1688 Wh_cumul=0.22282  r_end r=0.0295522 
