0 errors cleared
t=0 V=2.98306 A=0.0067361 W=0.0200942 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.98465 A=0.0067339 W=0.0200983 mAh_cumul=0.00374106 Wh_cumul=1.11657e-05 
t=3 V=3.03392 A=1.30114 W=3.94755 mAh_cumul=0.365169 Wh_cumul=0.00110771 
t=4 V=3.08001 A=1.30088 W=4.00672 mAh_cumul=0.726524 Wh_cumul=0.00222069 
t=5 V=3.0976 A=1.30083 W=4.02945 mAh_cumul=1.08787 Wh_cumul=0.00333998 
t=6 V=3.11004 A=1.3008 W=4.04554 mAh_cumul=1.4492 Wh_cumul=0.00446374 
t=7 V=3.12038 A=1.30081 W=4.05902 mAh_cumul=1.81054 Wh_cumul=0.00559125 
t=8 V=3.12938 A=1.3008 W=4.0707 mAh_cumul=2.17187 Wh_cumul=0.006722 
t=9 V=3.13752 A=1.30078 W=4.08122 mAh_cumul=2.5332 Wh_cumul=0.00785567 
t=10 V=3.14469 A=1.30077 W=4.09052 mAh_cumul=2.89452 Wh_cumul=0.00899192 
t=11 V=3.15151 A=1.30078 W=4.09942 mAh_cumul=3.25585 Wh_cumul=0.0101307 
t=12 V=3.15792 A=1.30079 W=4.10779 mAh_cumul=3.61718 Wh_cumul=0.0112717 
t=13 V=3.16383 A=1.30077 W=4.11542 mAh_cumul=3.9785 Wh_cumul=0.0124149 
t=14 V=3.16935 A=1.30076 W=4.12256 mAh_cumul=4.33983 Wh_cumul=0.01356 
t=15 V=3.17443 A=1.30077 W=4.1292 mAh_cumul=4.70115 Wh_cumul=0.014707 
t=16 V=3.17934 A=1.30078 W=4.13562 mAh_cumul=5.06248 Wh_cumul=0.0158558 
t=17 V=3.18393 A=1.30078 W=4.14159 mAh_cumul=5.42381 Wh_cumul=0.0170063 
t=18 V=3.18836 A=1.30077 W=4.14732 mAh_cumul=5.78513 Wh_cumul=0.0181583 
t=19 V=3.19251 A=1.30077 W=4.15272 mAh_cumul=6.14646 Wh_cumul=0.0193118 
t=20 V=3.19647 A=1.30076 W=4.15784 mAh_cumul=6.50778 Wh_cumul=0.0204668 
t=21 V=3.20031 A=1.30076 W=4.16284 mAh_cumul=6.8691 Wh_cumul=0.0216231 
t=22 V=3.2039 A=1.30076 W=4.1675 mAh_cumul=7.23042 Wh_cumul=0.0227808 
t=23 V=3.20735 A=1.30078 W=4.17206 mAh_cumul=7.59175 Wh_cumul=0.0239397 
t=24 V=3.21072 A=1.30076 W=4.17638 mAh_cumul=7.95307 Wh_cumul=0.0250998 
t=25 V=3.21385 A=1.30077 W=4.18048 mAh_cumul=8.3144 Wh_cumul=0.026261 
t=26 V=3.21671 A=1.30077 W=4.1842 mAh_cumul=8.67572 Wh_cumul=0.0274233 
t=27 V=3.2197 A=1.30077 W=4.18809 mAh_cumul=9.03705 Wh_cumul=0.0285867 
t=28 V=3.22254 A=1.30077 W=4.19178 mAh_cumul=9.39837 Wh_cumul=0.029751 
t=29 V=3.22525 A=1.30077 W=4.19531 mAh_cumul=9.7597 Wh_cumul=0.0309164 
t=30 V=3.2279 A=1.30077 W=4.19876 mAh_cumul=10.121 Wh_cumul=0.0320827 
t=31 V=3.23053 A=1.30076 W=4.20214 mAh_cumul=10.4823 Wh_cumul=0.03325 
t=32 V=3.23302 A=1.30077 W=4.20542 mAh_cumul=10.8437 Wh_cumul=0.0344182 
t=33 V=3.2355 A=1.30077 W=4.20864 mAh_cumul=11.205 Wh_cumul=0.0355872 
t=34 V=3.23784 A=1.30077 W=4.21169 mAh_cumul=11.5663 Wh_cumul=0.0367571 
t=35 V=3.24015 A=1.30077 W=4.21469 mAh_cumul=11.9276 Wh_cumul=0.0379279 
t=36 V=3.24241 A=1.30077 W=4.21763 mAh_cumul=12.289 Wh_cumul=0.0390994 
t=37 V=3.24459 A=1.30078 W=4.2205 mAh_cumul=12.6503 Wh_cumul=0.0402718 
t=38 V=3.24675 A=1.30076 W=4.22324 mAh_cumul=13.0116 Wh_cumul=0.0414449 
t=39 V=3.24878 A=1.30076 W=4.22588 mAh_cumul=13.3729 Wh_cumul=0.0426188 
t=40 V=3.25085 A=1.30077 W=4.22861 mAh_cumul=13.7343 Wh_cumul=0.0437934 
t=41 V=3.25283 A=1.30075 W=4.23112 mAh_cumul=14.0956 Wh_cumul=0.0449687 
t=42 V=3.25474 A=1.30077 W=4.23367 mAh_cumul=14.4569 Wh_cumul=0.0461447 
t=43 V=3.25669 A=1.30077 W=4.2362 mAh_cumul=14.8182 Wh_cumul=0.0473215 
t=44 V=3.25853 A=1.30076 W=4.23857 mAh_cumul=15.1796 Wh_cumul=0.0484988 
t=45 V=3.26036 A=1.30077 W=4.24098 mAh_cumul=15.5409 Wh_cumul=0.0496769 
t=46 V=3.26205 A=1.30075 W=4.24311 mAh_cumul=15.9022 Wh_cumul=0.0508555 
t=47 V=3.26378 A=1.30077 W=4.24543 mAh_cumul=16.2635 Wh_cumul=0.0520348 
t=48 V=3.26551 A=1.30076 W=4.24764 mAh_cumul=16.6249 Wh_cumul=0.0532147 
t=49 V=3.2672 A=1.30077 W=4.24988 mAh_cumul=16.9862 Wh_cumul=0.0543952 
t=50 V=3.26885 A=1.30078 W=4.25205 mAh_cumul=17.3475 Wh_cumul=0.0555764 
t=51 V=3.27051 A=1.30076 W=4.25415 mAh_cumul=17.7088 Wh_cumul=0.0567581 
t=52 V=3.27219 A=1.30076 W=4.25633 mAh_cumul=18.0701 Wh_cumul=0.0579404 
t=53 V=3.27376 A=1.30077 W=4.25841 mAh_cumul=18.4315 Wh_cumul=0.0591233 
t=54 V=3.27534 A=1.30077 W=4.26046 mAh_cumul=18.7928 Wh_cumul=0.0603067 
t=55 V=3.27693 A=1.30076 W=4.2625 mAh_cumul=19.1541 Wh_cumul=0.0614908 
t=56 V=3.27839 A=1.30076 W=4.2644 mAh_cumul=19.5154 Wh_cumul=0.0626753 
t=57 V=3.2799 A=1.30076 W=4.26636 mAh_cumul=19.8768 Wh_cumul=0.0638604 
t=58 V=3.28136 A=1.30076 W=4.26826 mAh_cumul=20.2381 Wh_cumul=0.065046 
t=59 V=3.2829 A=1.30076 W=4.27027 mAh_cumul=20.5994 Wh_cumul=0.0662322 
t=60 V=3.28429 A=1.30076 W=4.27207 mAh_cumul=20.9607 Wh_cumul=0.0674189 
t=61 V=3.28571 A=1.30076 W=4.27392 mAh_cumul=21.3221 Wh_cumul=0.0686061 
t=62 V=3.28715 A=1.30076 W=4.27579 mAh_cumul=21.6834 Wh_cumul=0.0697938 
t=63 V=3.28856 A=1.30077 W=4.27766 mAh_cumul=22.0447 Wh_cumul=0.0709821 
t=64 V=3.28992 A=1.30075 W=4.27936 mAh_cumul=22.406 Wh_cumul=0.0721708 
t=65 V=3.29126 A=1.30076 W=4.28114 mAh_cumul=22.7673 Wh_cumul=0.07336 
t=66 V=3.29267 A=1.30076 W=4.28297 mAh_cumul=23.1287 Wh_cumul=0.0745497 
t=67 V=3.29395 A=1.30076 W=4.28464 mAh_cumul=23.49 Wh_cumul=0.0757399 
t=68 V=3.29527 A=1.30076 W=4.28636 mAh_cumul=23.8513 Wh_cumul=0.0769305 
t=69 V=3.29657 A=1.30076 W=4.28805 mAh_cumul=24.2126 Wh_cumul=0.0781217 
t=70 V=3.29785 A=1.30075 W=4.28968 mAh_cumul=24.574 Wh_cumul=0.0793132 
t=71 V=3.2991 A=1.30075 W=4.2913 mAh_cumul=24.9353 Wh_cumul=0.0805053 
t=72 V=3.30037 A=1.30074 W=4.29292 mAh_cumul=25.2966 Wh_cumul=0.0816978 
t=73 V=3.30165 A=1.30076 W=4.29465 mAh_cumul=25.6579 Wh_cumul=0.0828907 
t=74 V=3.3029 A=1.30075 W=4.29625 mAh_cumul=26.0192 Wh_cumul=0.0840841 
t=75 V=3.30415 A=1.30077 W=4.29794 mAh_cumul=26.3806 Wh_cumul=0.085278 
t=76 V=3.30534 A=1.30075 W=4.29942 mAh_cumul=26.7419 Wh_cumul=0.0864723 
t=77 V=3.30651 A=1.30076 W=4.30098 mAh_cumul=27.1032 Wh_cumul=0.087667 
t=78 V=3.30762 A=1.30075 W=4.30239 mAh_cumul=27.4645 Wh_cumul=0.0888621 
t=79 V=3.30874 A=1.30076 W=4.30388 mAh_cumul=27.8258 Wh_cumul=0.0900576 
t=80 V=3.30992 A=1.30075 W=4.30538 mAh_cumul=28.1872 Wh_cumul=0.0912536 
t=81 V=3.31108 A=1.30076 W=4.30692 mAh_cumul=28.5485 Wh_cumul=0.0924499 
t=82 V=3.3122 A=1.30075 W=4.30834 mAh_cumul=28.9098 Wh_cumul=0.0936467 
t=83 V=3.31339 A=1.30077 W=4.30996 mAh_cumul=29.2711 Wh_cumul=0.0948439 
