0 errors cleared
t=0 V=3.59346 A=0.00819985 W=0.0294658 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.59204 A=0.00819712 W=0.0294444 mAh_cumul=0.00455396 Wh_cumul=1.6358e-05 
t=3 V=3.59878 A=0.29028 W=1.04465 mAh_cumul=0.0851873 Wh_cumul=0.00030654 
t=4 V=3.59879 A=0.277218 W=0.997649 mAh_cumul=0.162192 Wh_cumul=0.000583664 
t=5 V=3.59879 A=0.268624 W=0.966721 mAh_cumul=0.23681 Wh_cumul=0.000852198 
t=6 V=3.59878 A=0.260999 W=0.939278 mAh_cumul=0.30931 Wh_cumul=0.00111311 
t=7 V=3.59874 A=0.255929 W=0.921022 mAh_cumul=0.380401 Wh_cumul=0.00136895 
t=8 V=3.59877 A=0.251301 W=0.904374 mAh_cumul=0.450207 Wh_cumul=0.00162016 
t=9 V=3.59878 A=0.246596 W=0.887445 mAh_cumul=0.518706 Wh_cumul=0.00186668 
t=10 V=3.59877 A=0.241757 W=0.870028 mAh_cumul=0.585861 Wh_cumul=0.00210835 
t=11 V=3.59881 A=0.237998 W=0.85651 mAh_cumul=0.651971 Wh_cumul=0.00234627 
t=12 V=3.59879 A=0.233815 W=0.841451 mAh_cumul=0.71692 Wh_cumul=0.00258001 
t=13 V=3.5988 A=0.229539 W=0.826065 mAh_cumul=0.780681 Wh_cumul=0.00280947 
t=14 V=3.59879 A=0.225846 W=0.812772 mAh_cumul=0.843416 Wh_cumul=0.00303524 
t=15 V=3.5988 A=0.222983 W=0.802471 mAh_cumul=0.905355 Wh_cumul=0.00325815 
t=16 V=3.59881 A=0.219736 W=0.790788 mAh_cumul=0.966393 Wh_cumul=0.00347781 
t=17 V=3.5988 A=0.215817 W=0.776682 mAh_cumul=1.02634 Wh_cumul=0.00369356 
t=18 V=3.5988 A=0.212038 W=0.763082 mAh_cumul=1.08524 Wh_cumul=0.00390552 
t=19 V=3.59877 A=0.209383 W=0.753521 mAh_cumul=1.1434 Wh_cumul=0.00411483 
t=20 V=3.59879 A=0.206035 W=0.741477 mAh_cumul=1.20064 Wh_cumul=0.0043208 
t=21 V=3.59876 A=0.203366 W=0.731865 mAh_cumul=1.25713 Wh_cumul=0.0045241 
t=22 V=3.59881 A=0.201573 W=0.725423 mAh_cumul=1.31312 Wh_cumul=0.0047256 
t=23 V=3.59879 A=0.199352 W=0.717426 mAh_cumul=1.36849 Wh_cumul=0.00492489 
t=24 V=3.5988 A=0.196528 W=0.707265 mAh_cumul=1.42309 Wh_cumul=0.00512135 
t=25 V=3.59875 A=0.19411 W=0.698553 mAh_cumul=1.477 Wh_cumul=0.00531539 
